run_id,teacher,student,method,seed,teacher_model,student_model,actor_gpus,teacher_gpus,rollout_tp,teacher_tp,rollout_iterations,status
t4_s1.7_vanilla_seed0,4,1.7,vanilla,0,Qwen/Qwen3-4B,Qwen/Qwen3-1.7B-Base,4,4,1,1,250,planned_not_submitted
t4_s1.7_ours_seed0,4,1.7,ours,0,Qwen/Qwen3-4B,Qwen/Qwen3-1.7B-Base,4,4,1,1,250,planned_not_submitted
t4_s4_vanilla_seed0,4,4,vanilla,0,Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,4,4,1,1,250,planned_not_submitted
t4_s4_ours_seed0,4,4,ours,0,Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,4,4,1,1,250,planned_not_submitted
t4_s8_vanilla_seed0,4,8,vanilla,0,Qwen/Qwen3-4B,Qwen/Qwen3-8B-Base,4,4,1,1,250,planned_not_submitted
t4_s8_ours_seed0,4,8,ours,0,Qwen/Qwen3-4B,Qwen/Qwen3-8B-Base,4,4,1,1,250,planned_not_submitted
t8_s1.7_vanilla_seed0,8,1.7,vanilla,0,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B-Base,4,4,1,1,250,planned_not_submitted
t8_s1.7_ours_seed0,8,1.7,ours,0,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B-Base,4,4,1,1,250,planned_not_submitted
t8_s4_vanilla_seed0,8,4,vanilla,0,Qwen/Qwen3-8B,Qwen/Qwen3-4B-Base,4,4,1,1,250,planned_not_submitted
t8_s4_ours_seed0,8,4,ours,0,Qwen/Qwen3-8B,Qwen/Qwen3-4B-Base,4,4,1,1,250,planned_not_submitted
t8_s8_vanilla_seed0,8,8,vanilla,0,Qwen/Qwen3-8B,Qwen/Qwen3-8B-Base,4,4,1,1,250,planned_not_submitted
t8_s8_ours_seed0,8,8,ours,0,Qwen/Qwen3-8B,Qwen/Qwen3-8B-Base,4,4,1,1,250,planned_not_submitted
t32_s1.7_vanilla_seed0,32,1.7,vanilla,0,Qwen/Qwen3-32B,Qwen/Qwen3-1.7B-Base,4,4,1,4,250,planned_not_submitted
t32_s1.7_ours_seed0,32,1.7,ours,0,Qwen/Qwen3-32B,Qwen/Qwen3-1.7B-Base,4,4,1,4,250,planned_not_submitted
t32_s4_vanilla_seed0,32,4,vanilla,0,Qwen/Qwen3-32B,Qwen/Qwen3-4B-Base,4,4,1,4,250,planned_not_submitted
t32_s4_ours_seed0,32,4,ours,0,Qwen/Qwen3-32B,Qwen/Qwen3-4B-Base,4,4,1,4,250,planned_not_submitted
t32_s8_vanilla_seed0,32,8,vanilla,0,Qwen/Qwen3-32B,Qwen/Qwen3-8B-Base,4,4,1,4,250,planned_not_submitted
t32_s8_ours_seed0,32,8,ours,0,Qwen/Qwen3-32B,Qwen/Qwen3-8B-Base,4,4,1,4,250,planned_not_submitted
