run,max_step,clip_late,len_late,eos_p_late,eos_q_late,entropy_late,status
n2_corr_s0_16k,250,0.2321875,10495.5546875,0.23254154556609805,0.1714901887843177,0.336021431684494,健康
a4_dagger_anneal_n0_s0_16k,220,0.2215625,9875.785625,0.3204385033325734,0.3282565850160292,0.4183119010925293,健康
a5_aggrevate_n0_s0_16k,189,0.2096875,9666.0703125,0.16350476091671862,0.4603030806404751,0.6040228176116943,健康
c3_intersection_corr_s0_16k,250,0.184375,8173.104375,,,2.299752883911133,健康
h3_random_segment_corr_s0_16k,248,0.1725,9324.0590625,0.6743090536131089,0.16389010512616004,0.3241723608970642,健康
h6_gen_sched_n0_s0_16k,208,0.153125,8987.9303125,0.8652177272874307,0.1282576336206181,0.3694771885871887,健康
a1_gkd_mix0.5_n0_s0_16k,222,0.12375,8347.463125,0.2887586817529829,0.4733194085259917,0.6098777842521668,健康
h10_task_subset_n0_s0_16k,108,0.12,9418.5996875,0.7588828510638227,0.08059800106766929,0.31914689660072326,健康
h1_first_segment_corr_s0_16k,250,0.106875,4947.3634375,0.48259533399813775,0.03799934871371988,0.08423227369785308,健康
vanilla_corr_s0_16k,250,0.105625,9670.2584375,0.49834880388407343,0.22569068297893946,0.3582711005210876,健康
b5_k2_corr_s0_16k,220,0.084375,9658.6696875,0.5527542133377443,0.16138495300347422,0.3556764185428619,健康
d3_teachability_corr_s0_16k,250,0.084375,11927.7015625,0.0947052289538522,0.029933178579059777,0.9719613361358642,健康
a3_offpolicy_n0_s0_16k,238,0.0815625,6771.718125,0.0033819889538513354,0.6734341838171946,0.9530382990837097,健康
f4_posclip_corr_s0_16k,141,0.066875,9127.1825,0.8313011846703029,0.1029771240260249,0.35390366435050963,健康
g5_rgopd_gate_corr_s0_16k,200,0.0665625,9131.47,0.7923535549309858,0.10573330484628522,0.3619458532333374,健康
d2_selectkd_corr_s0_16k,250,0.0640625,9059.88875,0.8359429754565109,0.10989581469564656,0.3150529682636261,健康
g2_fire_likelihood_corr_s0_16k,250,0.0640625,9347.436875,0.6257009223374689,0.16483940605500724,0.33637510061264037,健康
g6_seqmean_corr_s0_16k,225,0.0621875,9159.6171875,0.8338540776800274,0.11105467988437534,0.3765482532978058,健康
d1_tip_corr_s0_16k,198,0.061875,9068.2303125,0.7963595273188099,0.1111125931729843,0.36508558750152587,健康
g4_failure_only_corr_s0_16k,224,0.060625,9278.5790625,0.6897047957989595,0.12694008784608585,0.36254237294197084,健康
f2_hard_clip_corr_s0_16k,208,0.0571875,9058.45125,0.810157586848055,0.11644220152306582,0.36789079546928405,健康
c4_hq_s0,101,0.05625,8916.58125,,,0.5983815288543701,健康
c4_state_s0,100,0.055,8905.1684375,,,0.5970487380027771,健康
f5_tanh_corr_s0_16k,183,0.055,9027.96875,0.8430436525686233,0.11069054330760736,0.3729398000240326,健康
f1_soft_log_corr_s0_16k,208,0.045,9005.4440625,0.8564874342901345,0.09949316627708436,0.42620149850845335,健康
f2_clip2.3_corr_s0_16k,149,0.0421875,9066.8715625,0.8484348839835684,0.08016108526413665,0.449787015914917,健康
b1_skew_kl_corr_s0_16k,250,0.0278125,9380.4015625,0.4848685212717714,0.18713921657418095,0.4706349766254425,健康
f3_power_corr_s0_16k,139,0.025135869565217392,9111.831182065218,0.46641664039169584,0.05907230527893659,1.4332272280817446,健康
c4_carrier_s0,250,0.0190625,8762.166875,,,0.6362626433372498,健康
c4_rep_s0,250,0.01875,8761.6440625,,,0.6373936820030213,健康
c5_union_fkl_s0_16k,114,0.0184375,9655.93125,,,1.2201602840423584,健康
g1_verified_only_corr_s0_16k,142,0.5315625,13184.550625,0.10416512462211248,0.0575811142510327,0.1117677408456802,危险
h4_random_scatter_corr_s0_16k,155,0.45754076086956524,11435.595108695652,0.3111529311257839,0.11867445828913119,0.23252290746440057,危险
b2_forward_kl_corr_s0_16k,250,0.35625,11984.1671875,,,0.9492204737663269,危险
c4_pi_tail_budget_corr_s0,187,0.3428125,11216.6575,,,0.5475115203857421,危险
c5_union_rkl_s0_16k,91,0.3028125,10931.0153125,,,0.3055352199077606,危险
e2_set_coverage_a0_corr_s0_16k,229,0.8619791666666666,15133.390299479166,,,0.029401314832890976,塌缩
n2_termcal_s0_16k,112,0.85,15225.203125,0.011553181114977001,0.05133758333139045,0.22308637440204618,塌缩
h2_last_segment_corr_s0_16k,142,0.7865625,14092.25875,0.15434007475930067,0.09345669597026912,0.11706811845302578,塌缩
h7_gen512_n0_s0_16k,250,0.99125,510.844375,0.19038028097152712,0.10947222965238818,0.33207659125328065,预算封顶
h9_prune_adapt_n0_s0_16k,250,0.976875,1293.1359375,0.224406597982707,0.12160610420002843,0.42599384307861327,预算封顶
