wave,arm,step,val_acc,resp_len,clip_ratio
corr,b1_skew_kl,1,,1167.5390625,0.0078125
corr,b1_skew_kl,2,,1233.265625,0.015625
corr,b1_skew_kl,3,,1102.15625,0.015625
corr,b1_skew_kl,4,,1214.859375,0.0078125
corr,b1_skew_kl,5,,2059.546875,0.046875
corr,b1_skew_kl,6,,811.9609375,0.0078125
corr,b1_skew_kl,7,,1685.8359375,0.03125
corr,b1_skew_kl,8,,963.1171875,0.0078125
corr,b1_skew_kl,9,,1409.640625,0.0078125
corr,b1_skew_kl,10,,1468.2734375,0.015625
corr,b1_skew_kl,11,,1036.5234375,0.0078125
corr,b1_skew_kl,12,,1153.2265625,0.0078125
corr,b1_skew_kl,13,,1837.921875,0.03125
corr,b1_skew_kl,14,,1442.53125,0.0078125
corr,b1_skew_kl,15,,1222.1171875,0.0078125
corr,b1_skew_kl,16,,1014.515625,0.0078125
corr,b1_skew_kl,17,,1508.1796875,0.0234375
corr,b1_skew_kl,18,,1309.09375,0.015625
corr,b1_skew_kl,19,,1343.8828125,0.0078125
corr,b1_skew_kl,20,,1476.1640625,0.0078125
corr,b1_skew_kl,21,,1218.3671875,0.0078125
corr,b1_skew_kl,22,,1542.609375,0.0234375
corr,b1_skew_kl,23,,1674.0390625,0.015625
corr,b1_skew_kl,24,,1501.515625,0.0078125
corr,b1_skew_kl,25,0.574,1237.609375,0.0078125
corr,b1_skew_kl,26,,1720.7890625,0.015625
corr,b1_skew_kl,27,,1381.671875,0.0078125
corr,b1_skew_kl,28,,2070.9453125,0.0234375
corr,b1_skew_kl,29,,1555.7734375,0.015625
corr,b1_skew_kl,30,,1814.0078125,0.0078125
corr,b1_skew_kl,31,,2150.953125,0.0234375
corr,b1_skew_kl,32,,1687.0546875,0.015625
corr,b1_skew_kl,33,,3078.796875,0.03125
corr,b1_skew_kl,34,,3711.421875,0.078125
corr,b1_skew_kl,35,,3117.03125,0.03125
corr,b1_skew_kl,36,,3814.9140625,0.0625
corr,b1_skew_kl,37,,4430.3359375,0.0625
corr,b1_skew_kl,38,,5339.7109375,0.1640625
corr,b1_skew_kl,39,,6550.453125,0.21875
corr,b1_skew_kl,40,,7700.421875,0.296875
corr,b1_skew_kl,41,,9394.09375,0.375
corr,b1_skew_kl,42,,9384.4140625,0.375
corr,b1_skew_kl,43,,8943.8203125,0.375
corr,b1_skew_kl,44,,9720.6953125,0.40625
corr,b1_skew_kl,45,,10189.125,0.46875
corr,b1_skew_kl,46,,10575.765625,0.484375
corr,b1_skew_kl,47,,11143.8515625,0.4921875
corr,b1_skew_kl,48,,11129.859375,0.484375
corr,b1_skew_kl,49,,10585.96875,0.453125
corr,b1_skew_kl,50,0.626,10530.984375,0.4921875
corr,b1_skew_kl,51,,11094.78125,0.484375
corr,b1_skew_kl,52,,10668.84375,0.4453125
corr,b1_skew_kl,53,,10398.53125,0.4375
corr,b1_skew_kl,54,,9414.0234375,0.3359375
corr,b1_skew_kl,55,,10114.390625,0.3828125
corr,b1_skew_kl,56,,9231.8984375,0.3203125
corr,b1_skew_kl,57,,9859.40625,0.296875
corr,b1_skew_kl,58,,8579.84375,0.2421875
corr,b1_skew_kl,59,,8226.0078125,0.234375
corr,b1_skew_kl,60,,8339.0625,0.2109375
corr,b1_skew_kl,61,,7950.671875,0.171875
corr,b1_skew_kl,62,,8514.6484375,0.1953125
corr,b1_skew_kl,63,,8603.9296875,0.1796875
corr,b1_skew_kl,64,,7936,0.0703125
corr,b1_skew_kl,65,,8595.21875,0.15625
corr,b1_skew_kl,66,,8732.5,0.1328125
corr,b1_skew_kl,67,,8565.1171875,0.140625
