wave,arm,step,val_acc,resp_len,clip_ratio,tps,tokens,h_target,h9_budget
legacy,a1_gkd_mix0.5,1,,3896.7421875,0.046875,126.34830755740404,514466,,
legacy,a1_gkd_mix0.5,2,,4544.8671875,0.0703125,99.88934953138232,598092,,
legacy,a1_gkd_mix0.5,3,,3655.4609375,0.046875,94.08398174121976,485080,,
legacy,a1_gkd_mix0.5,4,,4786.7734375,0.078125,140.60882718488574,629359,,
legacy,a1_gkd_mix0.5,5,,3764.734375,0.046875,113.48435458913445,499981,,
legacy,a1_gkd_mix0.5,6,,3372.3125,0.03125,105.27104583010077,447761,,
legacy,a1_gkd_mix0.5,7,,4612.09375,0.078125,132.85403438284993,606006,,
legacy,a1_gkd_mix0.5,8,,3377.9453125,0.0390625,92.94008155167103,449061,,
legacy,a1_gkd_mix0.5,9,,4583.8125,0.046875,117.55420197173953,604153,,
legacy,a1_gkd_mix0.5,10,,3887.5859375,0.0625,110.72967142239213,514305,,
legacy,a1_gkd_mix0.5,11,,4226.0234375,0.0625,125.2880006171763,557908,,
legacy,a1_gkd_mix0.5,12,,4156.6640625,0.0546875,103.60461851209402,549483,,
legacy,a1_gkd_mix0.5,13,,3591.9921875,0.046875,113.51206571608782,477544,,
legacy,a1_gkd_mix0.5,14,,4339.6484375,0.078125,141.16822962090373,571229,,
legacy,a1_gkd_mix0.5,15,,4004.71875,0.03125,118.08726261556149,528122,,
legacy,a1_gkd_mix0.5,16,,4586.4140625,0.0625,136.72698872163892,603452,,
legacy,a1_gkd_mix0.5,17,,4965.5546875,0.1015625,184.7214099764824,650851,,
legacy,a1_gkd_mix0.5,18,,4889.9140625,0.078125,165.2333394922316,642530,,
legacy,a1_gkd_mix0.5,19,,4785.40625,0.0703125,166.05160426720977,629300,,
legacy,a1_gkd_mix0.5,20,,5448.6875,0.09375,173.11406491696835,715559,,
legacy,a1_gkd_mix0.5,21,,4927.1484375,0.09375,169.5191152021289,647649,,
legacy,a1_gkd_mix0.5,22,,4447.0390625,0.0546875,162.76351672410965,587138,,
legacy,a1_gkd_mix0.5,23,,4915.6875,0.1015625,168.23145432397723,645945,,
legacy,a1_gkd_mix0.5,24,,4738.9296875,0.09375,183.1682202257216,626340,,
legacy,a1_gkd_mix0.5,25,0.532,5619.6171875,0.0859375,202.0284312441945,735442,,
legacy,a1_gkd_mix0.5,26,,5433.3359375,0.0859375,180.40331560000777,712209,,
legacy,a1_gkd_mix0.5,27,,5062.21875,0.0625,168.98226446285844,664926,,
legacy,a1_gkd_mix0.5,28,,5403.8671875,0.1171875,185.08462604135275,709812,,
legacy,a1_gkd_mix0.5,29,,4607.3515625,0.0703125,133.89609835669398,605894,,
legacy,a1_gkd_mix0.5,30,,5317.7421875,0.109375,180.20756544172764,696982,,
legacy,a1_gkd_mix0.5,31,,6135.6015625,0.140625,217.91856000944972,801702,,
legacy,a1_gkd_mix0.5,32,,6241.7578125,0.1328125,234.51859224960208,814117,,
legacy,a1_gkd_mix0.5,33,,6535.4609375,0.1328125,228.14370793104172,853492,,
legacy,a1_gkd_mix0.5,34,,6536.265625,0.1015625,241.24882115796208,854465,,
legacy,a1_gkd_mix0.5,35,,6190.78125,0.140625,217.63152894377708,810690,,
legacy,a1_gkd_mix0.5,36,,6769.6640625,0.125,249.51258664950728,882915,,
legacy,a1_gkd_mix0.5,37,,6296.5234375,0.15625,226.85663206875324,822117,,
legacy,a1_gkd_mix0.5,38,,6943.203125,0.1796875,265.74162321165204,906090,,
legacy,a1_gkd_mix0.5,39,,6703.65625,0.15625,268.2036625370383,873025,,
legacy,a1_gkd_mix0.5,40,,6930.6953125,0.171875,271.3408047631383,902836,,
legacy,a1_gkd_mix0.5,41,,7142.2421875,0.1953125,273.4470896832645,930552,,
legacy,a1_gkd_mix0.5,42,,7091.015625,0.1875,293.3984116949141,924046,,
legacy,a1_gkd_mix0.5,43,,7876.9296875,0.2578125,375.1702494472265,1023284,,
legacy,a1_gkd_mix0.5,44,,6731.265625,0.1796875,237.07791482657194,878208,,
legacy,a1_gkd_mix0.5,45,,6306.015625,0.1171875,234.4664881117642,824251,,
legacy,a1_gkd_mix0.5,46,,7868.5546875,0.234375,337.8794025182724,1022698,,
legacy,a1_gkd_mix0.5,47,,7779.7421875,0.2265625,304.36883918195963,1011667,,
legacy,a1_gkd_mix0.5,48,,8026.7734375,0.2578125,323.451559137553,1044138,,
legacy,a1_gkd_mix0.5,49,,7612.921875,0.1484375,280.3421665430069,993069,,
legacy,a1_gkd_mix0.5,50,0.558,7926.203125,0.2421875,340.0517236739397,1031618,,
legacy,a1_gkd_mix0.5,51,,8401.46875,0.3359375,450.33605352044106,1092357,,
legacy,a1_gkd_mix0.5,52,,7345.75,0.203125,289.7250273488462,957146,,
legacy,a1_gkd_mix0.5,53,,8373.09375,0.3046875,372.23570261336863,1086667,,
legacy,a1_gkd_mix0.5,54,,8081.4921875,0.2265625,321.71285961195827,1050407,,
legacy,a1_gkd_mix0.5,55,,7462.703125,0.2109375,287.8148354012519,971713,,
legacy,a1_gkd_mix0.5,56,,7649.234375,0.21875,280.9885454252362,996398,,
legacy,a1_gkd_mix0.5,57,,7318.4375,0.2421875,308.14825692772865,953611,,
legacy,a1_gkd_mix0.5,58,,7107.3828125,0.1328125,248.61138282716274,924547,,
legacy,a1_gkd_mix0.5,59,,7336.0390625,0.2421875,308.7383472919464,955192,,
legacy,a1_gkd_mix0.5,60,,7646.9921875,0.203125,334.11703666858375,997202,,
legacy,a1_gkd_mix0.5,61,,6499.6640625,0.1640625,247.05811853706837,850456,,
legacy,a1_gkd_mix0.5,62,,8191.609375,0.2265625,313.77136422879994,1066882,,
legacy,a1_gkd_mix0.5,63,,7513.6796875,0.171875,273.446432614699,979110,,
legacy,a1_gkd_mix0.5,64,,7310.8671875,0.2109375,318.6239437479526,955477,,
legacy,a1_gkd_mix0.5,65,,7156.1015625,0.1796875,277.74302378483117,932837,,
legacy,a1_gkd_mix0.5,66,,8105.2265625,0.2734375,323.5597638320178,1054274,,
legacy,a1_gkd_mix0.5,67,,8667.25,0.2890625,392.5192180965096,1125758,,
legacy,a1_gkd_mix0.5,68,,7112.359375,0.171875,288.00084433332086,925277,,
legacy,a1_gkd_mix0.5,69,,8408.7734375,0.2890625,370.51671385765076,1092040,,
legacy,a1_gkd_mix0.5,70,,8613.5078125,0.2734375,352.3678790759295,1119902,,
legacy,a1_gkd_mix0.5,71,,9264.8203125,0.2890625,401.68631519190967,1202399,,
legacy,a1_gkd_mix0.5,72,,8655.46875,0.2734375,353.0615545399487,1124871,,
legacy,a1_gkd_mix0.5,73,,9227.1484375,0.2890625,401.2153126746416,1198885,,
legacy,a3_offpolicy,1,,6984.7734375,0.078125,155.822240781039,909734,,
legacy,a3_offpolicy,2,,7420.6484375,0.1171875,140.17833471670747,966192,,
legacy,a3_offpolicy,3,,6840.2265625,0.0703125,127.53808730468154,892730,,
legacy,a3_offpolicy,4,,7132.3515625,0.1015625,134.1564598120749,929593,,
legacy,a3_offpolicy,5,,6935.2578125,0.09375,134.74429988861084,905808,,
legacy,a3_offpolicy,6,,6692,0.109375,125.61611825972795,872681,,
legacy,a3_offpolicy,7,,7517.484375,0.1328125,143.2325715571642,977896,,
legacy,a3_offpolicy,8,,6530.5625,0.0625,130.5110100992024,852596,,
legacy,a3_offpolicy,9,,6883.2734375,0.0703125,129.55798237025738,898484,,
legacy,a3_offpolicy,10,,6839.0546875,0.1015625,129.56180312111974,892093,,
legacy,a3_offpolicy,11,,6861.703125,0.0859375,125.91322841122746,895275,,
legacy,a3_offpolicy,12,,6778.625,0.0859375,127.22117605805397,885094,,
legacy,a3_offpolicy,13,,6435.953125,0.0703125,126.88057861104608,841571,,
legacy,a3_offpolicy,14,,6894.6484375,0.078125,135.9542818814516,898269,,
legacy,a3_offpolicy,15,,6813.3125,0.0703125,132.06653998419642,887622,,
legacy,a3_offpolicy,16,,6602.265625,0.1015625,130.25541457533836,861481,,
legacy,a3_offpolicy,17,,6687.6640625,0.0625,124.7234225794673,871281,,
legacy,a3_offpolicy,18,,6300.3984375,0.0625,115.58622698485851,823072,,
legacy,a3_offpolicy,19,,6292.71875,0.0703125,118.99126759171486,822236,,
legacy,a3_offpolicy,20,,6757,0.0703125,124.39102697372437,883023,,
legacy,a3_offpolicy,21,,7203.7421875,0.1171875,138.85690815374255,939053,,
legacy,a3_offpolicy,22,,7157.453125,0.09375,129.06376790255308,934071,,
legacy,a3_offpolicy,23,,7488.796875,0.109375,139.01909932121634,975303,,
legacy,a3_offpolicy,24,,6752.484375,0.0703125,130.80220998823643,884075,,
legacy,a3_offpolicy,25,0.46,6805.921875,0.09375,158.33674047514796,887289,,
legacy,a3_offpolicy,26,,7477.5546875,0.1171875,144.17705364897847,973869,,
legacy,a3_offpolicy,27,,6352.859375,0.0625,120.68966305628419,830128,,
legacy,a3_offpolicy,28,,7411.7578125,0.125,141.3004318624735,966822,,
legacy,a3_offpolicy,29,,6403.6015625,0.0546875,118.62851100414991,835814,,
legacy,a3_offpolicy,30,,6786.921875,0.1015625,125.3383748754859,885037,,
legacy,a3_offpolicy,31,,7176.078125,0.0859375,132.18223008140922,934883,,
legacy,a3_offpolicy,32,,6315.328125,0.046875,120.70445775613189,823534,,
legacy,a3_offpolicy,33,,7321.3046875,0.109375,143.46910190954804,954080,,
legacy,a3_offpolicy,34,,6989.7890625,0.0625,130.01789731904864,912516,,
legacy,a3_offpolicy,35,,7132.4609375,0.125,133.01843489706516,931225,,
legacy,a3_offpolicy,36,,7307.53125,0.1015625,139.19824868440628,951762,,
legacy,a3_offpolicy,37,,6399.921875,0.09375,123.80418474972248,835352,,
legacy,a3_offpolicy,38,,6702.859375,0.0859375,129.8945990279317,875326,,
legacy,a3_offpolicy,39,,6193.3125,0.0390625,107.1377916187048,807701,,
legacy,a3_offpolicy,40,,6841.390625,0.0703125,127.59533967077732,891405,,
legacy,a3_offpolicy,41,,6804.1015625,0.0625,131.98540905490518,887270,,
legacy,a3_offpolicy,42,,7536.2421875,0.1484375,144.68685188516974,981035,,
legacy,a3_offpolicy,43,,6805.0078125,0.0859375,131.17707542330027,886078,,
legacy,a3_offpolicy,44,,6796.4296875,0.0625,128.23154239356518,886549,,
legacy,a3_offpolicy,45,,6370.0859375,0.0546875,131.03994369134307,832452,,
legacy,a3_offpolicy,46,,6232.75,0.0625,119.81460097432137,813315,,
legacy,a3_offpolicy,47,,6929.6015625,0.078125,128.71986611559987,902849,,
legacy,a3_offpolicy,48,,7301.953125,0.0859375,133.67971392720938,951361,,
legacy,a3_offpolicy,49,,7021.53125,0.0703125,132.74900609254837,917371,,
legacy,a3_offpolicy,50,0.56,6749.3203125,0.109375,163.47597973048687,880977,,
legacy,a3_offpolicy,51,,6406.328125,0.078125,153.7907229810953,836979,,
legacy,a3_offpolicy,52,,7111.6796875,0.1015625,132.10253277793527,927185,,
legacy,a3_offpolicy,53,,6641.09375,0.0859375,117.48319099843502,864971,,
legacy,a3_offpolicy,54,,6595.5,0.078125,120.36980029568076,860200,,
legacy,a3_offpolicy,55,,6386.046875,0.0625,127.06979639455676,833901,,
legacy,a3_offpolicy,56,,6810.5,0.0859375,123.18142033740878,889040,,
legacy,a3_offpolicy,57,,6998.703125,0.0625,123.1660026870668,912685,,
legacy,a3_offpolicy,58,,7066.3359375,0.078125,129.8387200050056,919293,,
