run,pid,it,plen,q_im,q_eot,top1,p_top1,top2,top3,q_stop,bucket
a1_gkd_mix0.5_s0_16k,test/prealgebra/1973.json,1,279,3.62237778835095e-12,3.892098181425144e-15, inches,0.9998595714569092, \, **,3.626269886532375e-12,1
a1_gkd_mix0.5_s0_16k,test/prealgebra/1973.json,2,407,0.7971796989440918,1.062469556778467e-12,<|im_end|>,0.7971796989440918, �, �,0.7971796989451543,2
a1_gkd_mix0.5_s0_16k,test/prealgebra/1973.json,3,422,0.9990270137786865,2.2649384538026007e-12,<|im_end|>,0.9990270137786865, �, �,0.9990270137809515,3
a1_gkd_mix0.5_s0_16k,test/prealgebra/1973.json,10,527,0.9721749424934387,7.661793833928232e-13,<|im_end|>,0.9721749424934387, �,"



",0.9721749424942049,10
a1_gkd_mix0.5_s0_16k,test/algebra/478.json,1,528,0.001025020843371749,1.825116273390659e-11, \,0.9919899106025696," 
",<|im_end|>,0.0010250208616229117,1
a1_gkd_mix0.5_s0_16k,test/algebra/478.json,2,601,0.9220744967460632,1.0429772280204364e-12,<|im_end|>,0.9220744967460632, �, �,0.9220744967471062,2
a1_gkd_mix0.5_s0_16k,test/algebra/478.json,3,623,0.9881008863449097,4.213262768185122e-13,<|im_end|>,0.9881008863449097, �, �,0.988100886345331,3
a1_gkd_mix0.5_s0_16k,test/algebra/478.json,10,742,0.9836744070053101,2.9252967236048644e-13,<|im_end|>,0.9836744070053101, �,"



",0.9836744070056026,10
a1_gkd_mix0.5_s0_16k,test/algebra/1547.json,1,634,0.09961777925491333,5.3242015830845535e-12," 
",0.4464558959007263, \,<|im_end|>,0.09961777926023753,1
a1_gkd_mix0.5_s0_16k,test/algebra/1547.json,2,899,0.040134236216545105,3.2899954462151104e-12, \,0.4314837157726288," 
", �,0.0401342362198351,2
a1_gkd_mix0.5_s0_16k,test/algebra/1547.json,3,925,0.9890672564506531,5.132809975660901e-12,<|im_end|>,0.9890672564506531, �, (,0.9890672564557859,3
a1_gkd_mix0.5_s0_16k,test/algebra/1547.json,10,2299,0.09302408993244171,1.4048906081445128e-13, �,0.8825880289077759,<|im_end|>,"



",0.0930240899325822,10
a1_gkd_mix0.5_s0_16k,test/prealgebra/1907.json,1,479,0.9782126545906067,2.967315976265539e-11,<|im_end|>,0.9782126545906067, �," 
",0.9782126546202798,1
