tier,run,step,why,path,GB
R1,vanilla_corr_s0_16k,250,判决表最后一个点,ckpt/simopd/vanilla_corr_s0_16k/global_step_250/actor/huggingface,3.4
R1,n2_corr_s0_16k,250,判决表最后一个点,ckpt/simopd/n2_corr_s0_16k/global_step_250/actor/huggingface,3.4
R1,b1_skew_kl_corr_s0_16k,250,判决表最后一个点,ckpt/simopd/b1_skew_kl_corr_s0_16k/global_step_250/actor/huggingface,3.4
R2,a3_offpolicy_s0_16k,200,修正波 @200 排名表,ckpt/simopd/a3_offpolicy_s0_16k/global_step_200/actor/huggingface,3.4
R2,b1_skew_kl_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/b1_skew_kl_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,b2_forward_kl_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/b2_forward_kl_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,b5_k2_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/b5_k2_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,c3_intersection_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/c3_intersection_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,d1_tip_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/d1_tip_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,d2_selectkd_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/d2_selectkd_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,d3_teachability_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/d3_teachability_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,e2_set_coverage_a0_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/e2_set_coverage_a0_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,f1_soft_log_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/f1_soft_log_corr_s0_16k/global_step_200/actor/huggingface,3.4
R2,f2_hard_clip_corr_s0_16k,200,修正波 @200 排名表,ckpt/simopd/f2_hard_clip_corr_s0_16k/global_step_200/actor/huggingface,3.4
