arm,seed,step,actor/distillation/abs_loss,actor/distillation/delta_ell_absmean,actor/distillation/delta_ell_p5,actor/distillation/delta_ell_p95,actor/distillation/entropy_gap_abs,actor/distillation/entropy_student,actor/distillation/entropy_teacher_topk,actor/distillation/loss,actor/distillation/overlap_student_mass,actor/distillation/overlap_teacher_mass,actor/distillation/overlap_token_advantage,actor/distillation/pg_clipfrac,actor/distillation/ppo_kl,actor/distillation/rank_kendall_tau,actor/distillation/student_mass,actor/distillation/teacher_mass,actor/entropy,actor/grad_norm,actor/loss,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/mean,critic/rewards/mean,critic/score/mean,perf/time_per_step,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/ppl_ratio,rollout_corr/rollout_ppl,rollout_corr/training_ppl,timing_s/gen,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,val/math500_greedy
a2_coldstart,0,25,0.545248,0.545248,-2.999,0.356361,,,,0.427583,,,,0,0,,,,0.47074,2.4342,0.427583,0,0,-0.0793986,0,0.0793986,0.109375,0.109375,802.093,0,0.59375,16384,13115.6,-0.0706621,0.00200522,0.000990558,0.000982748,1.00103,1.73418,1.73613,616.873,0.999087,0.258086,0.00508006,0.414
a2_coldstart,0,50,0.368037,0.368037,-2.05589,0.145933,,,,0.291866,,,,0,0,,,,0.22681,0.747462,0.291866,0,0,-0.0936129,0,0.0936129,0.09375,0.09375,1048.74,0,0.992188,16384,16381.5,-0.759028,0.00145304,0.00070498,0.000687807,1.00069,1.25931,1.2602,829.597,0.998766,0.338628,0.00383127,0.43
a2_coldstart,0,75,0.332445,0.332445,-1.85793,0.115187,,,,0.263065,,,,0,0,,,,0.210298,0.614463,0.263065,0,0,-0.0859374,0,0.0859374,0.0859375,0.0859375,1064.43,0,1,16384,16384,-0.976396,0.00134075,0.000684386,0.000703098,1.0007,1.23726,1.23815,829.169,0.99832,0.618913,0.0036139,0.42
a2_coldstart,0,100,0.356452,0.356452,-2.02149,0.140018,,,,0.280757,,,,0,0,,,,0.234816,0.549284,0.280757,0,0,-0.0390625,0,0.0390625,0.0390625,0.0390625,1063.43,0,1,16384,16384,-0.994461,0.00152564,0.000762402,0.000770521,1.00077,1.2669,1.26789,833.719,0.998643,0.548536,0.00392334,0.462
a2_coldstart,0,125,0.344763,0.344763,-1.92018,0.1453,,,,0.270981,,,,0,0,,,,0.236576,0.564172,0.270981,0,0,-0.0708157,0,0.0708157,0.0703125,0.0703125,1047.62,0,0.992188,16384,16267.6,-0.732671,0.0016135,0.000771013,0.000744569,1.00074,1.27178,1.27274,825.055,0.998627,0.353504,0.00396735,0.486
a2_coldstart,0,150,0.349498,0.349498,-1.95577,0.148424,,,,0.2745,,,,0,0,,,,0.241812,0.571178,0.2745,0,0,-0.0859374,0,0.0859374,0.0859375,0.0859375,1049.3,0,1,16384,16384,-0.859321,0.00158834,0.000789197,0.000793742,1.00079,1.2787,1.27974,831.636,0.998686,0.55094,0.00401731,0.504
a2_coldstart,0,175,0.312771,0.312771,-1.73531,0.117001,,,,0.244228,,,,0,0,,,,0.218704,0.503675,0.244228,0,0,-0.148437,0,0.148437,0.148438,0.148438,1059.1,0,1,16384,16384,-0.255159,0.0013938,0.000694405,0.000698394,1.0007,1.24769,1.24858,831.114,0.998757,0.301637,0.003567,0.492
a2_coldstart,0,200,0.324966,0.324966,-1.8132,0.131699,,,,0.25407,,,,0,0,,,,0.227799,0.592799,0.25407,0,0,-0.0937499,0,0.0937499,0.09375,0.09375,1059.51,0,1,16384,16384,-0.666672,0.0015291,0.000732119,0.000705884,1.00071,1.25969,1.2606,829.427,0.998685,0.669426,0.0037546,0.482
a2_coldstart,0,225,0.339739,0.339739,-1.88885,0.153549,,,,0.266152,,,,0,0,,,,0.243517,0.614734,0.266152,0,0,-0.117758,0,0.117758,0.117188,0.117188,1050.74,0,0.992188,16384,16304.6,-0.930336,0.00156307,0.000788163,0.000802611,1.00081,1.28063,1.28169,827.237,0.99969,0.629253,0.0040685,0.478
a2_coldstart,0,250,0.331552,0.331552,-1.84805,0.144526,,,,0.258145,,,,0,0,,,,0.239668,0.514999,0.258145,0,0,-0.0781249,0,0.0781249,0.078125,0.078125,1056.43,0,1,16384,16384,-0.997076,0.00153601,0.000769883,0.000779223,1.00078,1.27302,1.27403,831.411,0.998739,0.462575,0.00398703,0.482
