arm	global_step
vanilla_corr	25
vanilla_corr	50
vanilla_corr	75
vanilla_corr	100
vanilla_corr	125
vanilla_corr	150
vanilla_corr	175
vanilla_corr	200
vanilla_corr	225
vanilla_corr	250
vanilla_te	25
vanilla_te	50
vanilla_te	75
vanilla_te	100
vanilla_te	125
vanilla_te	150
vanilla_te	175
vanilla_te	200
vanilla_te	225
vanilla_te	250
c2_quantile_budget_corr	25
c2_quantile_budget_corr	50
c2_quantile_budget_corr	75
c2_quantile_budget_corr	100
c2_quantile_budget_corr	125
c2_quantile_budget_corr	150
c2_quantile_budget_corr	175
c2_quantile_budget_corr	200
c4_pi_tail_budget_corr	25
c4_pi_tail_budget_corr	50
c4_pi_tail_budget_corr	75
c4_pi_tail_budget_corr	100
c4_pi_tail_budget_corr	125
c4_pi_tail_budget_corr	150
c4_pi_tail_budget_corr	175
c4_pi_tail_budget_corr	200
c4_hq	25
c4_hq	50
c4_hq	75
c4_hq	100
c4_hq	125
c4_hq	150
c4_hq	175
c4_hq	200
c4_state	25
c4_state	50
c4_state	75
c4_state	100
c4_state	125
c4_state	150
c4_state	175
c2_qb_fixed8_corr	25
c2_qb_fixed8_corr	50
c2_qb_fixed8_corr	75
c2_qb_fixed8_corr	100
c2_qb_fixed8_corr	125
c2_qb_fixed8_corr	150
c2_qb_fixed8_corr	175
c2_qb_fixed8_corr	200
c2_qb_perseq_corr	25
c2_qb_perseq_corr	50
c2_qb_perseq_corr	75
c2_qb_perseq_corr	100
c2_qb_perseq_corr	125
c2_qb_perseq_corr	150
c2_qb_perseq_corr	175
c2_qb_perseq_corr	200
c5_union_rkl	25
c5_union_rkl	50
c5_union_rkl	75
c5_union_rkl	100
c5_union_rkl	125
c5_union_fkl	25
c5_union_fkl	50
c5_union_fkl	75
c5_union_fkl	100
c5_union_fkl	125
c5_union_fkl	150
c5_union_fkl	175
n2_corr	25
n2_corr	50
n2_corr	75
n2_corr	100
n2_corr	125
b1_skew_kl_corr	25
b1_skew_kl_corr	50
b1_skew_kl_corr	75
b1_skew_kl_corr	100
b1_skew_kl_corr	125
b1_skew_kl_corr	150
b2_forward_kl_corr	25
b2_forward_kl_corr	50
b2_forward_kl_corr	75
c3_intersection_corr	25
c3_intersection_corr	50
c3_intersection_corr	75
c3_intersection_corr	100
c3_intersection_corr	125
c3_intersection_corr	150
c3_intersection_corr	175
c3_intersection_corr	200
d2_selectkd_corr	25
d2_selectkd_corr	50
d2_selectkd_corr	75
d2_selectkd_corr	100
d2_selectkd_corr	125
d2_selectkd_corr	150
d2_selectkd_corr	175
d3_teachability_corr	25
d3_teachability_corr	50
d3_teachability_corr	75
d3_teachability_corr	100
d3_teachability_corr	125
d3_teachability_corr	150
d3_teachability_corr	175
d3_teachability_corr	200
e2_set_coverage_a0_corr	25
e2_set_coverage_a0_corr	50
e2_set_coverage_a0_corr	75
e2_set_coverage_a0_corr	100
e2_set_coverage_a0_corr	125
f2_hard_clip_corr	25
f2_hard_clip_corr	50
f2_hard_clip_corr	75
f2_hard_clip_corr	100
f3_power_corr	25
f3_power_corr	50
f3_power_corr	75
f3_power_corr	100
f3_power_corr	125
f3_power_corr	150
f3_power_corr	175
g6_seqmean_corr	25
g6_seqmean_corr	50
g1_verified_only_corr	25
g1_verified_only_corr	50
g1_verified_only_corr	75
g1_verified_only_corr	100
g1_verified_only_corr	125
h1_first_segment_corr	25
h1_first_segment_corr	50
h1_first_segment_corr	75
h1_first_segment_corr	100
h1_first_segment_corr	125
h1_first_segment_corr	150
h1_first_segment_corr	175
h1_first_segment_corr	200
h2_last_segment_corr	25
h2_last_segment_corr	50
h3_random_segment_corr	25
h3_random_segment_corr	50
h3_random_segment_corr	75
h3_random_segment_corr	100
h4_random_scatter_corr	25
h4_random_scatter_corr	50
h4_random_scatter_corr	75
h4_random_scatter_corr	100
a1_gkd_mix0.5_n0	25
a1_gkd_mix0.5_n0	50
a1_gkd_mix0.5_n0	75
a1_gkd_mix0.5_n0	100
a1_gkd_mix0.5_n0	125
a3_offpolicy_n0	25
a3_offpolicy_n0	50
a3_offpolicy_n0	75
a3_offpolicy_n0	100
a3_offpolicy_n0	125
a4_dagger_anneal_n0	25
a4_dagger_anneal_n0	50
a4_dagger_anneal_n0	75
a4_dagger_anneal_n0	100
a5_aggrevate_n0	25
a5_aggrevate_n0	50
