step	actor/distillation/abs_loss	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/qb_budget	actor/distillation/qb_captured_mass	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.2178155092212061	1.5588086534601946	2.4616898695627847	0.9751811656945696	0.2214143549790606	0.2178155092212061	0.5685025205214819	0.3199781908964117	0.12405281627824631	0.19530544718145393	19.13775634765625	-5.965481619796265e-08	0.00010565843750084032	0.00028107820022664026	0.019138789981051712	0.0008367216794151015	0.06783062527695922	0.20818574210473648	0.9284774624587347	2.2953221121182046	4.915362497170766	0.5567475035786629	0.8181220988432566	0.8323428332805634	-0.00705434127303306	0.24086076492676511	0.20643703928605342	0.28044809645507485	7.9999998807907104	0.7729940439263979	0.4212788827717304	0.8249669770399729	0.8564217289288839	2.5296034812927246	2.3999805450439453	0.22141435742378235	1e-06	211.10095977783203	43.34165096282959	50.505859375	0.9999990463256836	0.003862939076498151	0.0	0.9999990463256836	0.003862939076498151	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	184984	184984	184984	184984.0	184984	0	2	2.0	2	0.1858484457490501	0.11107966634154028	740.4279129071457	124.91695462539792	184984	0.0	516.0	122.5234375	44.0	0.0	0.0078125	16384.0	1322.6640625	2.0	0.0078125	16384.0	1322.6640625	2.0	1.0684089660644531	0.0022350549697875977	0.0010594193590804935	0.0010057514300569892	0.007059259340167046	0.0018809624016284943	0.0731043815612793	-0.07472515106201172	1.0019986629486084	2.8198633193969727	179.10440063476562	2.821744441986084	183.0411834716797	0.000821416048888145	0.5723148929475755	0.08358419074129608	0.1519488263875246	10.17128431238234	5.757678474823479	0.006197528913617134	76.6353176292032	19.79290748681524	12.30883951485157	-1	-1.0	-1	0.012501578778028488	76.6353176292032	-1	174	16384	0.0	0.0	0.0	0.0	96.89348369091749	9.1186990942806	5.291961133480072e-05		0.00031254254281520844	124.91695462539792	6.743520498275757e-05		15.461737940087914	2.4073387179523706	0	1	0.9998319149017334	0.11991488933563232	0.002767592901363969	0.00798044167459011	1					
2	0.25842601954936983	2.0928001940250396	3.1753278970718384	1.1667822659015656	0.25549928192049265	0.25842601954936983	0.6136066734790802	0.3041109353303909	0.18286980614066123	0.22518627643585204	25.309865951538086	-3.732639086706513e-08	6.618338814448065e-05	0.0007729742785755889	0.016558394016465174	0.0029737841404880784	0.08196539469063283	0.2684042826294899	1.0972472429275513	2.535268706083298	5.354406452178955	0.6072135448455811	0.759192830324173	0.7752261102199555	-0.0083591174101457	0.31136696189641955	0.2711639329791069	0.3569841653108597	7.999999904632569	0.7013659924268723	0.4705595999956131	0.7674408555030823	0.8034138917922974	3.197892427444458	3.8608853816986084	0.2554992735385895	1e-06	211.2032127380371	57.11678600311279	64.234375	0.9999990463256836	0.006823644507676363	0.0	0.9999990463256836	0.006823644507676363	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	165536	165536	165536	165536.0	165536	0	2	2.0	2	0.2045229733597394	0.3076024641140009	902.0226218721464	91.75823088362813	165536	0.0	743.0	127.7265625	47.0	0.0	0.0234375	16384.0	1165.5234375	2.0	0.0234375	16384.0	1165.5234375	2.0	5.273521900177002	0.0029418468475341797	0.0012630490818992257	0.0010607762960717082	0.005524579435586929	0.002488283673301339	0.06568622589111328	-0.02533435821533203	1.0025521516799927	2.6160850524902344	125.51438903808594	2.6185731887817383	126.56398010253906	0.0004652084310307001	0.47634031987398723	0.0784180342046396	0.07700874283909798	0.031166445463895798	0.007684854746912606	0.0038016848266124725	62.82435057871044	4.810505924120662	0.12717688456177711	-1	-1.0	-1	0.01390974409878254	62.82435057871044	-1	68	16384	0.0	0.0	0.0	0.0	71.06378330104053	4.119218597188592	2.6928260922431946e-05		6.072409451007843e-05	91.75823088362813	6.617233157157898e-05		12.98100771009922	2.704440565779805	0	2	0.9997963905334473	0.12229585647583008	0.003113016253337264	0.008486172184348106	1					
3	0.25332904425967073	1.2503271435076992	1.9549891262625654	0.8163994146097038	0.25013884811778553	0.25332904425967073	0.5859128402339088	0.3181627131998539	0.14952829409998636	0.22220019089743598	15.689852714538574	-1.1907685859569028e-07	1.9534638494454902e-07	1.3208784425147416e-05	0.010695241055448909	0.0003438953830002194	0.06261202746706356	0.2477906954720513	1.1089192068385374	2.7461993761567607	6.0145419173770485	0.570456518067254	0.8565732638041178	0.8734331793255277	-0.008884129294731084	0.18894998072129157	0.16247666025689492	0.22035789934711325	7.999999947018093	0.8320574429300096	0.4279833336671193	0.861675845252143	0.895009371969435	1.9313898086547852	2.2782390117645264	0.2501388490200043	1e-06	215.64404296875	57.11678600311279	64.234375	0.9999990463256836	0.009999541565775871	0.0	0.9999990463256836	0.009999541565775871	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	150487	150487	150487	150487.0	150487	0	2	2.0	2	0.2052402775038888	0.2772655979373549	972.4535473452047	77.37490413337946	150487	0.0	551.0	134.2265625	51.0	0.0	0.0078125	16384.0	1041.453125	2.0	0.0078125	16384.0	1041.453125	2.0	0.8035023212432861	0.0022276639938354492	0.0010112716117873788	0.0009119762689806521	0.006942098960280418	0.004842232447117567	0.07534599304199219	-0.028684139251708984	1.0049543380737305	2.5226211547851562	111.53620910644531	2.527463436126709	113.53446197509766	0.0005255479151234575	0.44409340334170566	0.07501486184966366	0.07908812910318375	0.02059038355946541	0.007646816869964823	0.004252614453434944	54.18401108123362	4.327787923728465	0.03963744826614857	-1	-1.0	-1	0.01136096753180027	54.18401108123362	-1	88	16384	0.0	0.0	0.0	0.0	59.20031522586942	3.4765455685555935	3.637745976448059e-05		5.906820297241211e-05	77.37490413337946	6.186030805110931e-05		11.288761515170336	2.44926474429667	0	3	0.9997533559799194	0.16085189580917358	0.0031050448305904865	0.00909695215523243	1					
4	0.17995282254802683	1.5330064628894131	2.3737471542165927	0.8942331826935211	0.1778754738625139	0.17995282254802683	0.5095744455854098	0.26417706566280685	0.10085977310542187	0.16295995332014476	13.818843841552734	-2.5655268132140918e-08	1.4680049895169725e-05	0.0001768640311117601	0.012506728135539316	0.0008441092713721935	0.051453201817139416	0.16088005491231647	0.7763757930079009	2.0539397777368626	4.656796410679817	0.5527614379922549	0.822129468123118	0.8385505229234695	-0.005982900414286026	0.22675837941642385	0.19851999661477748	0.26356663601472974	7.99999984105428	0.7839809606472651	0.4151139197250207	0.828183447321256	0.8596792121728262	2.365137815475464	1.953832983970642	0.17787547409534454	1e-06	214.76098251342773	57.11678600311279	64.234375	0.9999990463256836	0.005546326283365488	0.0	0.9999990463256836	0.005546326283365488	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	182888	182888	182888	182888.0	182888	0	2	2.0	2	0.20673716097830533	0.29841423169227155	995.4200115058819	91.86473944969475	182888	0.0	529.0	130.09375	47.0	0.0	0.0078125	16384.0	1298.71875	2.0	0.0078125	16384.0	1298.71875	2.0	0.550126314163208	0.0020422935485839844	0.0009288424625992775	0.000838673091493547	0.006458550691604614	0.003663334297016263	0.08261632919311523	-0.027637481689453125	1.0037636756896973	2.809426784515381	130.74940490722656	2.8130898475646973	130.873046875	0.0005230387182046118	0.42274462578551036	0.07720358007064858	0.09565750509500504	0.02906043641269207	0.008035836028284393	0.0036969874054193497	65.92796542868018	5.507798615391948	0.07446636632084846	-1	-1.0	-1	0.013094227761030197	65.92796542868018	-1	111	16384	0.0	0.0	0.0	0.0	70.2753756120801	3.9818352665752172	3.0016526579856873e-05		5.653686821460724e-05	91.86473944969475	5.749613046646118e-05		14.119608351960778	2.555956143885851	0	4	0.9998448491096497	0.20072990655899048	0.0023255120031535625	0.00720832496881485	1					
5	0.243311391522487	1.9180250217517216	2.8619942466417947	1.0121310551961262	0.24352448340505362	0.243311391522487	0.6036628981431326	0.40269917498032254	0.142989705498015	0.2743161569039027	20.326452255249023	-6.585189282759529e-08	4.206777236589095e-05	0.00029837138193518814	0.01962157429200791	0.0017544158849887026	0.07173324677569326	0.23230826544264951	1.0465636799732845	2.632354204853376	5.724399516979854	0.5742392390966415	0.777179462214311	0.7923882901668549	-0.00785743072628975	0.28294294451673824	0.24820060096681118	0.3216106214871009	7.999999920527141	0.7307567199071249	0.44393933067719143	0.7849077880382538	0.8186666468779246	2.8602283000946045	4.629322052001953	0.2435244917869568	1e-06	214.98458099365234	57.11678600311279	64.234375	0.9999990463256836	0.006097370758652687	0.0	0.9999990463256836	0.006097370758652687	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	183412	183412	183412	183412.0	183412	0	2	2.0	2	0.20915570840897443	0.3072869018118262	1016.6135264992334	90.2073379997164	183412	0.0	975.0	141.3671875	41.0	0.0	0.0078125	16384.0	1291.5390625	2.0	0.0078125	16384.0	1291.5390625	2.0	0.16307926177978516	0.0024417638778686523	0.0011264740023761988	0.0010321782901883125	0.006179944612085819	0.0025377552956342697	0.05895185470581055	-0.03856658935546875	1.0026087760925293	2.749752998352051	119.19632720947266	2.752290964126587	120.80712890625	0.0004861656984809628	0.41892962604381645	0.07583096105204586	0.08916862308979034	0.04007088206708431	0.00844414986204356	0.004147404804825783	64.85302055068314	5.550671764853178	0.06709224730730057	-1	-1.0	-1	0.012972356751561165	64.85302055068314	-1	86	16384	0.0	0.0	0.0	0.0	69.25618898868561	3.822524243965745	2.7667731046676636e-05		5.525723099708557e-05	90.2073379997164	4.9347057938575745e-05		13.908308228477836	2.3111397363245487	0	5	0.9997991919517517	0.31706753373146057	0.0029193887021392584	0.008638523519039154	1					
6	0.2455233708024025	2.29821457862854	3.3743715286254883	1.151588773727417	0.2434071758762002	0.2455233708024025	0.6512191116809845	0.3636690840125084	0.1421044475864619	0.2128601886332035	19.406888961791992	-5.290161197990528e-08	0.00027304149838158764	0.00099327087061738	0.02525449118693359	0.002340854053545627	0.08242137904744595	0.2222033968195319	1.0241253793239593	2.70903394818306	5.763773167133332	0.5950599640607834	0.7333794891834259	0.7523418128490448	-0.00826637560967356	0.33620307594537735	0.29637888446450233	0.38059682995080946	7.999999904632569	0.6792798787355423	0.4627485930919647	0.7424880981445312	0.7826074510812759	3.4082603454589844	2.913285493850708	0.24340717494487762	1e-06	217.0046157836914	57.11678600311279	64.234375	0.9999990463256836	0.008689493872225285	0.0	0.9999990463256836	0.008689493872225285	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	154663	154663	154663	154663.0	154663	0	2	2.0	2	0.20415074146239734	0.3068847388321439	960.8235035068666	80.48460483923554	154663	0.0	756.0	125.8203125	53.0	0.0	0.0078125	16384.0	1082.484375	2.0	0.0078125	16384.0	1082.484375	2.0	0.1236112117767334	0.002094864845275879	0.00121655676048249	0.0013865844812244177	0.0067463102750480175	0.0038827029056847095	0.07067537307739258	-0.03209829330444336	1.0039738416671753	3.0737555027008057	504.02294921875	3.0776383876800537	505.00457763671875	0.0005512954776382638	0.4476254825172987	0.07593863532384065	0.0852650124579668	0.048694273456931114	0.008411462404183112	0.0037087611854076385	57.09407573379576	4.400845435564406	0.06019086576998234	-1	-1.0	-1	0.015622459352016449	57.09407573379576	-1	105	16384	0.0	0.0	0.0	0.0	62.022091606631875	3.2689876332879066	2.7719885110855103e-05		5.618855357170105e-05	80.48460483923554	5.013123154640198e-05		11.744897155091166	2.5331516228616238	0	6	0.9998324513435364	0.12418901920318604	0.0025637547951191664	0.007811080664396286	1					
7	0.2081317739053206	1.6138332729989833	2.3964832109314473	0.8706291566010226	0.20651311878464185	0.2081317739053206	0.5708760781721636	0.3115457254461944	0.10807821734422098	0.19604130771900105	16.14253807067871	-8.787951344402245e-08	3.473060437424054e-06	0.00012663929070103305	0.008102485562134958	0.0006625485370725735	0.0520664502480279	0.19237593344190496	0.9330585629954427	2.3214411872269753	5.305071874098345	0.5460749674927105	0.8124644918875261	0.8255621790885925	-0.007232118538178673	0.24041888216214086	0.2103052771523256	0.2739441257964989	7.999999913302335	0.7727975872429934	0.4143047116019509	0.8195350847461007	0.8493886481631886	2.4209718704223633	2.330127477645874	0.20651312172412872	1e-06	221.66796875	57.11678600311279	64.234375	0.9999990463256836	0.006396353244781494	0.0	0.9999990463256836	0.006396353244781494	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	183097	183097	183097	183097.0	183097	0	2	2.0	2	0.20709391075512057	0.30034835672334853	1023.8993903629756	89.41161686554551	183097	0.0	531.0	122.328125	54.0	0.0	0.0078125	16384.0	1308.1171875	2.0	0.0078125	16384.0	1308.1171875	2.0	1.2683367729187012	0.002080082893371582	0.0010031170677393675	0.0010043514193966985	0.006620436441153288	0.0015033083036541939	0.08688640594482422	-0.07429933547973633	1.0016199350357056	2.782404899597168	153.41030883789062	2.7839081287384033	152.11622619628906	0.000533959276457535	0.4060501333918961	0.07628459911607202	0.0977663416415453	0.04224894568324089	0.009031444700667635	0.004160255193710327	61.8485944531858	5.651215552614303	0.09169098548591137	-1	-1.0	-1	0.015101106837391853	61.8485944531858	-1	133	16384	0.0	0.0	0.0	0.0	67.98862828500569	4.095317015424371	2.736784517765045e-05		5.959533154964447e-05	89.41161686554551	4.8587098717689514e-05		13.96748124435544	2.430381141602993	0	7	0.9998215436935425	0.6533032655715942	0.0024334972258657217	0.008442310616374016	1					
8	0.22011344958181409	1.527579862328077	2.2878627449866724	0.8373483529907059	0.21161561764893122	0.22011344958181409	0.5681260228157043	0.3145067023949444	0.10350856468060309	0.22829708090814	17.250051498413086	-6.141344499610568e-08	2.5940761609080907e-06	1.1966981126285894e-05	0.016871187007960874	0.00017780842001064394	0.05999770163692698	0.2036174116595	0.9779400632092305	2.3968081664590333	5.051672865043987	0.5260604294863614	0.8229921080849387	0.8394800939343192	-0.007914942879737779	0.22742817259330134	0.19844444596674293	0.26003546080425044	7.999999869953502	0.7926367521286011	0.39238667352633044	0.8290712481195276	0.8626098307696256	2.2626793384552	2.0355658531188965	0.21161562204360962	1e-06	217.6753692626953	57.11678600311279	64.234375	0.9999990463256836	0.02098890021443367	0.0	0.9999990463256836	0.02098890021443367	0.0	1.0	0.03125	0.0	1.0	0.03125	0.0	173481	173481	173481	173481.0	173481	0	2	2.0	2	0.20119244867176947	0.31295060062011354	903.8530186793672	95.96748387999833	173481	0.0	756.0	130.34375	44.0	0.0	0.0234375	16384.0	1224.9765625	2.0	0.0234375	16384.0	1224.9765625	2.0	0.6772483587265015	0.0016183853149414062	0.0009297774522565305	0.001051519182510674	0.0053103286772966385	0.0037616644985973835	0.06723308563232422	-0.011386632919311523	1.0038235187530518	2.5014808177948	91.51451110839844	2.5052425861358643	93.22057342529297	0.0004928252247704822	0.4774886666128039	0.08047498558520907	0.08549581281840801	0.04134909436106682	0.008167769134161063	0.004112547263503075	65.04796466045082	5.076579814645811	0.07189696468412876	-1	-1.0	-1	0.01671680063009262	65.04740361496806	-1	92	16384	0.0	0.0	0.0	0.0	74.86879045888782	3.7812284287065268	2.9476359486579895e-05		5.902908742427826e-05	95.96748387999833	9.075179696083069e-05		13.960880974307656	2.413604650646448	0	8	0.999855637550354	0.11696946620941162	0.0023718972224742174	0.0076440186239778996	1					
9	0.19641480618156493	1.6087202810615833	2.3260904907448485	0.7822868029387402	0.19686551041377243	0.19641480618156493	0.5807664341160229	0.3133110034146479	0.11058232102134623	0.20120662908136314	20.26225471496582	-4.9365951326763025e-08	0.00031624915464689707	0.000703026242072318	0.015747962118536765	0.0015137133783948034	0.05417164532127572	0.16884395240647013	0.8564156510318364	2.250488782567637	5.135246525917735	0.49949901551008224	0.8160700393574578	0.8294847118003028	-0.0066239850311831106	0.23079687327013484	0.2038435219895161	0.2608608522069907	7.999999829701015	0.784100130200386	0.39134331899029867	0.8221875450440815	0.851223281451634	2.336834669113159	2.6546225547790527	0.1968654990196228	1e-06	222.21957397460938	57.331626415252686	64.46875	0.9999990463256836	0.008367622271180153	0.0	0.9999990463256836	0.008367622271180153	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	222979	222979	222979	222979.0	222979	0	2	2.0	2	0.20928955551335282	0.3161195419404904	1076.0398002727209	103.61094447597861	222979	0.0	538.0	136.1328125	51.0	0.0	0.0078125	16384.0	1605.890625	2.0	0.0078125	16384.0	1605.890625	2.0	4.772831916809082	0.0016589164733886719	0.0008629855583421886	0.0009160233894363046	0.006386552006006241	0.0028128428384661674	0.08981561660766602	-0.04773664474487305	1.0029093027114868	2.672886848449707	229.46546936035156	2.6756999492645264	231.0900115966797	0.0003814456084658413	0.38136021113965657	0.07694429776645174	0.08505436033010483	0.04249515011906624	0.009664704266469926	0.004031304270029068	73.87939150631428	7.577005258164718	0.11125450395047665	-1	-1.0	-1	0.013193922117352486	73.87939150631428	-1	347	16384	0.0	0.0	0.0	0.0	78.39011684060097	4.627487463876605	2.7609989047050476e-05		8.576177060604095e-05	103.61094447597861	5.590356886386871e-05		17.156962571665645	2.5106412284076214	0	9	0.9998630881309509	0.1444687396287918	0.0020627181511372328	0.007150308229029179	1					
10	0.1924303755737268	1.0878727625195797	1.7485000846477656	0.7270699652055135	0.1938585981260985	0.1924303755737268	0.5230553356500772	0.29183256597473073	0.1252089693264749	0.20042888748531157	16.324357986450195	-4.938681641419862e-08	1.9164103659473032e-05	4.934993989991199e-05	0.011087657250475157	0.00026809402923460695	0.054516418756415636	0.17731642687263396	0.830210454761982	2.1738867043302608	5.147094625693101	0.5175421031621786	0.8725316386956435	0.8906934215472295	-0.006747540240981975	0.16979526011989668	0.145100686340951	0.19829278503759548	7.999999816601093	0.8513688169992887	0.41748834344056934	0.8772750084216778	0.9095336015407856	1.7386517524719238	1.7843838930130005	0.19385859370231628	1e-06	221.64400482177734	57.331626415252686	64.46875	0.9999990463256836	0.006364939734339714	0.0	0.9999990463256836	0.006364939734339714	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	195800	195800	195800	195800.0	195800	0	2	2.0	2	0.21061566199847723	0.3124803831566883	1022.0142042808537	95.79123224504292	195800	0.0	425.0	130.421875	46.0	0.0	0.0078125	16384.0	1399.265625	2.0	0.0078125	16384.0	1399.265625	2.0	11.579201698303223	0.001784682273864746	0.000826264382340014	0.0007650194456800818	0.0049216849729418755	0.0027222996577620506	0.049355506896972656	-0.02378058433532715	1.002761721611023	2.7965259552001953	259.5076904296875	2.799248218536377	263.261474609375	0.0004142701466005596	0.4084317293310334	0.0762090277577445	0.08111409470438957	0.040749404579401016	0.00766199101053644	0.003956630825996399	68.93468095362186	6.223466022333014	0.12348943203687668	-1	-1.0	-1	0.01104949600994587	68.93468095362186	-1	95	16384	0.0	0.0	0.0	0.0	73.15257331356406	4.480739085003734	3.032386302947998e-05		5.6702643632888794e-05	95.79123224504292	4.874914884567261e-05		14.921727634966373	2.2852462120354176	0	10	0.9997925162315369	0.11696535348892212	0.0024805425200611353	0.00788777507841587	1					
