step	actor/distillation/abs_loss	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/qb_budget	actor/distillation/qb_captured_mass	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.2727402418174527	0.9627793837677349	1.586247449571436	0.7006564821031961	0.27155407215468585	0.2727402418174527	0.8671320351687345	0.43010359528389847	0.12250318105163222	0.22257981087419798	19.351783752441406	-5.8432824801002425e-08	0.0	0.0	0.004478523347973929	8.127672944366086e-07	0.049390549062412574	0.2699430609672246	1.231205158274282	3.014826698736711	6.2811571684750644	0.5380964821035211	0.8863506588068876	0.8984816020185297	-0.006978412338701839	0.15696478381075643	0.13200388425453144	0.1851503107358109	7.958011410453103	0.8750133622776378	0.4008351740511981	0.8909562826156616	0.9176414175467058	1.616133213043213	2.7735109329223633	0.27155405282974243	1e-06	211.10095977783203	42.98661279678345	49.9453125	0.9999990463256836	0.007990911602973938	0.0	0.9999990463256836	0.007990911602973938	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	171610	171610	171610	171610.0	171610	0	2	2.0	2	0.19836428345734217	0.14184628198094404	687.3745292283708	124.83005457930267	171610	0.0	516.0	122.5234375	44.0	0.0	0.015625	16384.0	1218.1796875	2.0	0.015625	16384.0	1218.1796875	2.0	0.047928452491760254	0.0015811920166015625	0.0007954866741783917	0.0008060815162025392	0.006387442350387573	0.003904080018401146	0.0601043701171875	-0.03797626495361328	1.0039745569229126	2.6519649028778076	259.1432800292969	2.6558690071105957	261.2564392089844	0.000540272354815683	0.6468157446201251	0.08043813497526205	0.09271613880991936	10.166952602565289	7.0315601893235	0.006409600377082825	78.67880998179317	20.00496707986167	14.210718143731356	-1	-1.0	-1	0.014013087376952171	78.67880998179317	-1	151	16384	0.0	0.0	0.0	0.0	100.85603861138225	6.89972148090601	4.519335925579071e-05		0.0002868976444005966	124.83005457930267	5.67510724067688e-05		13.80398834310472	2.2477508168667555	0	1	0.9998247623443604	0.12318506836891174	0.002522073918953538	0.007885499857366085	1					
2	0.32045087082819507	1.590873127633875	2.4052704708142714	0.8985239917581732	0.32067500799894333	0.32045087082819507	0.9188147241419012	0.503575474023819	0.16140913927334954	0.28606526307042013	20.89396095275879	-2.3841855067985307e-07	0.0	0.0	0.015603222680676316	6.9492803463204344e-06	0.07939786604732614	0.3012169476238672	1.4526789838617498	3.439901731230996	7.319927193901756	0.5578016367825595	0.813152855092829	0.821963678706776	-0.007980745354540308	0.24098047326234254	0.2101484884253957	0.2754970660263842	7.9609356360002	0.7809689424254678	0.4294667135585438	0.8196912895549427	0.8473233092914928	2.5148935317993164	3.9472243785858154	0.3206750154495239	1e-06	211.67871856689453	55.90602779388428	63.109375	0.9999990463256836	0.0008974680094979703	0.0	0.9999990463256836	0.0008974680094979703	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	175686	175686	175686	175686.0	175686	0	2	2.0	2	0.20656208593466646	0.3100933840740516	970.8833999601932	90.47739409655333	175686	0.0	743.0	127.7265625	47.0	0.0	0.015625	16384.0	1244.8203125	2.0	0.015625	16384.0	1244.8203125	2.0	1.3915832042694092	0.002087831497192383	0.0010518713388592005	0.0010540420189499855	0.007952677085995674	0.004640153609216213	0.12664794921875	-0.06781005859375	1.0048329830169678	2.515292167663574	167.48776245117188	2.519932270050049	172.98731994628906	0.0005511914173800002	0.43512014720147485	0.07694696857262351	0.09683661535382271	0.041165851056575775	0.007873868875321932	0.004134396091103554	63.13147213682532	5.269507900753524	0.12369049154222012	-1	-1.0	-1	0.014209624379873276	63.13147213682532	-1	128	16384	0.0	0.0	0.0	0.0	69.3307388946414	4.272441616281867	3.445148468017578e-05		5.934573709964752e-05	90.47739409655333	5.0887465476989746e-05		13.518505120649934	2.409424927085638	0	2	0.9997943043708801	0.7046061754226685	0.0027405289001762867	0.008670547045767307	1					
3	0.302641363306479	2.2629397294738074	3.397018161686984	1.19608351317319	0.2973869889974594	0.302641363306479	0.6581258380954916	0.3842619157988917	0.1749795426783914	0.2845910042524338	28.587507247924805	-2.3841856489070778e-07	0.0	0.0	0.016108774590313922	0.0008981558494269848	0.09940123473378745	0.33026597852056677	1.2554898099465803	2.9513118375431406	6.165698723359541	0.6149972677230835	0.7365785512057218	0.7536626837470315	-0.007248207969083028	0.3385726525024934	0.2959900186820464	0.3851467885754325	7.960386406291615	0.6849620504812761	0.47488604892383923	0.7456313209100203	0.7827768732200969	3.5000791549682617	4.1798095703125	0.2973870038986206	1e-06	215.71929168701172	56.47773838043213	63.49609375	0.9999990463256836	0.0032664116006344557	0.0	0.9999990463256836	0.0032664116006344557	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	180663	180663	180663	180663.0	180663	0	2	2.0	2	0.21024166685730059	0.31470801143686883	928.6634748390709	97.27043482102454	180663	0.0	551.0	134.2265625	51.0	0.0	0.0234375	16384.0	1277.203125	2.0	0.0234375	16384.0	1277.203125	2.0	1.5582835674285889	0.002757430076599121	0.0012368187308311462	0.0010968598071485758	0.007113775238394737	0.00247689220122993	0.12128162384033203	-0.06895828247070312	1.0026096105575562	2.9785804748535156	128.9198760986328	2.981057643890381	129.483154296875	0.0004667362443891243	0.46446212410374094	0.07731009391204127	0.08432197012007236	0.04308249242603779	0.008649870957015082	0.004026863723993301	66.81560755334795	5.474285279866308	0.09816795028746128	-1	-1.0	-1	0.012991713359951973	66.81560755334795	-1	197	16384	0.0	0.0	0.0	0.0	75.93119697272778	3.8363210428506136	2.7609989047050476e-05		6.079860031604767e-05	97.27043482102454	5.494058132171631e-05		13.967073496431112	2.6133696418255568	0	3	0.9998323917388916	0.116204172372818	0.0026453612372279167	0.007671567611396313	1					
4	0.25921189949537315	1.5971327915166815	2.4250479927286506	0.8916623024657989	0.25391477227094583	0.25921189949537315	0.7570634146531423	0.47283266466110946	0.11683987779542804	0.3180927216075361	21.78562355041504	-2.3841856489070778e-07	1.9425779100856745e-07	2.4864296695644345e-07	0.016336195917513882	0.0007528747552896676	0.05855131250573322	0.23497492410242557	1.213783447506527	2.8763639892141026	5.89895051419735	0.5405321737130483	0.8103732744852702	0.8225999553998311	-0.006427427076656992	0.24490443017954627	0.21364163611239442	0.27885608837629355	7.9703795115153	0.7728023668130238	0.42369054555892943	0.8176883618036906	0.8461141169071198	2.5281498432159424	3.048628568649292	0.2539147734642029	1e-06	221.53276443481445	56.47773838043213	63.49609375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226032	226032	226032	226032.0	226032	0	2	2.0	2	0.21393846821236975	0.3158321266620708	985.9893754867065	114.62192474864423	226032	0.0	529.0	130.09375	47.0	0.0	0.0234375	16384.0	1635.78125	2.0	0.0234375	16384.0	1635.78125	2.0	5.756740093231201	0.0017420053482055664	0.0009372645290568471	0.0010056720348075032	0.006008442025631666	0.0028852946124970913	0.07087564468383789	-0.03560686111450195	1.0029628276824951	2.4292800426483154	136.92019653320312	2.4321651458740234	139.09039306640625	0.00043916391737354595	0.4205487848035596	0.07636324848172525	0.09926509857177734	0.03988299518823624	0.008431531896349043	0.003776323050260544	79.73502436839044	7.743794782931218	0.1308503933250904	-1	-1.0	-1	0.016668451949954033	79.73329030908644	-1	154	16384	0.0	0.0	0.0	0.0	88.05450456216931	4.668931568041444	2.61794775724411e-05		6.400980055332184e-05	114.62192474864423	5.697086453437805e-05		17.260537780821323	3.683802330866456	0	4	0.9998672604560852	0.295117050409317	0.002150575630366802	0.007300248835235834	1					
5	0.25268185196014553	1.5683116614818573	2.419720003238091	0.9279825641558721	0.25237083388492465	0.25268185196014553	0.8216672528248566	0.43569621415092397	0.12423692202159706	0.2164039188713874	17.8475284576416	-2.3841856489070778e-07	0.0	0.0	0.004544050058099786	0.0	0.04484137259155082	0.22879968812832466	1.1554446048461473	2.963089569256856	6.431607228059035	0.5484091513431989	0.8206115731826196	0.8338060791675861	-0.00668961766999788	0.24876428968631303	0.2090541092822185	0.2861470024173076	7.992842967693623	0.7717096083439313	0.42502082081941456	0.8261233063844534	0.8531715594805204	2.451014995574951	3.5795013904571533	0.25237083435058594	1e-06	216.45854949951172	56.47773838043213	63.517578125	0.9999990463256836	0.003106548683717847	0.0	0.9999990463256836	0.003106548683717847	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	208660	208660	208660	208660.0	208660	0	2	2.0	2	0.2054061780957811	0.31012218448809925	1115.3597051902516	93.53933041915298	208660	0.0	975.0	141.3671875	41.0	0.0	0.0078125	16384.0	1488.7890625	2.0	0.0078125	16384.0	1488.7890625	2.0	1.6439132690429688	0.0019506216049194336	0.0009628046536818147	0.0009518942679278553	0.005150434095412493	0.00015950149099808186	0.03375434875488281	-0.07123231887817383	1.0002187490463257	2.4436938762664795	123.8092041015625	2.4438533782958984	123.63506317138672	0.0003945629364958799	0.3681088596910048	0.07571991635519512	0.08232950232923031	0.017463697120547295	0.0066888299625134096	0.0036708079278469086	66.06661248020828	6.8418508861796	0.12939735688269138	-1	-1.0	-1	0.011238519102334976	66.06661248020828	-1	69	16384	0.0	0.0	0.0	0.0	70.14866484701633	4.312838701531291	2.551637589931488e-05		6.15883618593216e-05	93.53933041915298	5.226396024227142e-05		15.799717746675014	2.360460991039872	0	5	0.9998471736907959	0.3883468806743622	0.002390816807746887	0.007855348289012909	1					
6	0.3288941857489673	1.9742825329303741	2.9365639903328637	1.046618716283278	0.3268407844007015	0.3288941857489673	0.7154918096282266	0.3891072896393863	0.20666587886146523	0.29598657244985754	24.030118942260742	-2.384185791015625e-07	0.0	0.0	0.025410837613745487	0.0010745207863775167	0.1042608473322947	0.34690594469959085	1.3881670399145647	3.2324596643447876	6.415118737654253	0.5824346433986317	0.7740305770527233	0.7888542820106853	-0.0082978658716787	0.28784434632821515	0.25206131962212647	0.3283752440051599	7.961000919342041	0.7367279786955226	0.449986530975862	0.781654875386845	0.8155182058160956	3.008411169052124	4.482018947601318	0.3268407881259918	1e-06	220.1327133178711	56.47773838043213	63.517578125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178956	178956	178956	178956.0	178956	0	2	2.0	2	0.2070851739740557	0.29413416076167376	977.9808901831075	91.49258528277278	178956	0.0	756.0	125.8203125	53.0	0.0	0.0078125	16384.0	1272.2734375	2.0	0.0078125	16384.0	1272.2734375	2.0	0.8286197185516357	0.002375006675720215	0.0011656347196549177	0.0011450413148850203	0.004926003515720367	0.0015817256644368172	0.05927085876464844	-0.03956317901611328	1.0016433000564575	2.529423475265503	84.41571044921875	2.531005382537842	84.68608093261719	0.0004438619295706728	0.43230059349222716	0.07688449797916828	0.07943175546824932	0.06319752335548401	0.007945133314933628	0.004157816991209984	64.08897168934345	5.528846845641965	0.13399210944771767	-1	-1.0	-1	0.012999637052416801	64.08897168934345	-1	198	16384	0.0	0.0	0.0	0.0	70.40058395080268	4.019402680918574	3.209896385669708e-05		5.564466118812561e-05	91.49258528277278	6.720796227455139e-05		13.75894222036004	2.3881188854575157	0	6	0.9998191595077515	0.34393972158432007	0.0027841334231197834	0.008253898471593857	1					
7	0.30885240706530487	1.2825820310549303	1.913540707393126	0.7229843654415824	0.3078194339759648	0.30885240706530487	0.863219374960119	0.4743270723318512	0.14873916590162975	0.2599703079428185	22.087207794189453	-1.6192879570553487e-07	0.0	0.0	0.005280994341856885	3.637283093253659e-05	0.05824694486165589	0.2749804425984621	1.4515497819943861	3.6055589372461494	7.568414189598777	0.5267217430201444	0.8551881855184381	0.8663626990535043	-0.00795924867799675	0.18682647394863042	0.16243961216373878	0.21563349969007753	7.961238731037486	0.8403207009488886	0.4001874896613034	0.8600072508508508	0.8869474096731707	1.866838812828064	2.8394806385040283	0.3078194260597229	1e-06	218.82030868530273	56.47773838043213	63.517578125	0.9999990463256836	0.003357705194503069	0.0	0.9999990463256836	0.003357705194503069	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	171419	171419	171419	171419.0	171419	0	2	2.0	2	0.20180994307179867	0.2912319275186	1034.6376648303028	82.8401119671762	171419	0.0	531.0	122.328125	54.0	0.0	0.0	15958.0	1216.8828125	2.0	0.0	15958.0	1216.8828125	2.0	1.034581184387207	0.0021616220474243164	0.0009271142771467566	0.000788994540926069	0.007019462063908577	0.003215235425159335	0.06936311721801758	-0.07998085021972656	1.0033385753631592	2.516214370727539	145.8578643798828	2.5194296836853027	146.2599334716797	0.0005807823392013959	0.4012226331605816	0.07674205408218904	0.09955712780356407	0.018486225977540016	0.007236080738948658	0.003795575350522995	58.11518097668886	5.1569467508088565	0.060964375734329224	-1	-1.0	-1	0.011792119592428207	58.11518097668886	-1	105	15958	0.0	0.0	0.0	0.0	62.49483856372535	3.844515969976783	2.477318048477173e-05		5.722418427467346e-05	82.8401119671762	5.121156573295593e-05		13.155046168714762	2.4375394824892282	0	7	0.9997791051864624	0.4920494556427002	0.0027081577572971582	0.008718688040971756	1					
8	0.25701212135512225	1.3852804211589198	2.10044803134709	0.7931073078749856	0.2515251662116498	0.25701212135512225	0.714197895800074	0.4016844547101452	0.1448776227974425	0.21998442488256842	21.36614990234375	-2.3841856489070778e-07	0.0	0.0	0.0069786643025508965	9.217303424217486e-08	0.04940334603543306	0.25244075688351586	1.1554578182852613	2.8109634957897165	6.100271539762616	0.5435796578725179	0.8460204501946768	0.8562879711389542	-0.0065333994334650924	0.1986319609907999	0.17256708813268537	0.2312770024279113	7.962490836779277	0.8261856560905775	0.41449906925360364	0.8511261145273844	0.8755204280217489	2.05448842048645	2.565333127975464	0.2515251636505127	1e-06	216.68198013305664	56.887381076812744	64.302734375	0.9999990463256836	0.0023824970703572035	0.0	0.9999990463256836	0.0023824970703572035	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	192130	192130	192130	192130.0	192130	0	2	2.0	2	0.210878778337788	0.3136044429575015	949.3752176183236	101.187600241974	192130	0.0	756.0	130.34375	44.0	0.0	0.0234375	16384.0	1370.671875	2.0	0.0234375	16384.0	1370.671875	2.0	5.702704906463623	0.002254962921142578	0.0008515483932569623	0.0005744111840613186	0.0052351211197674274	0.0035704015754163265	0.05362987518310547	-0.03206825256347656	1.0036358833312988	2.7412989139556885	270.83453369140625	2.7448689937591553	274.7320556640625	0.00045310401680108035	0.447881083846362	0.07688909281801967	0.08705487474799156	0.05363419093191624	0.008585261792177334	0.004026714712381363	69.94538746960461	5.937179084910895	0.1168803945183754	-1	-1.0	-1	0.01419440284371376	69.94335823319852	-1	77	16384	0.0	0.0	0.0	0.0	78.57894463650882	4.126937357708812	0.0023127663880586624		7.041916251182556e-05	101.187600241974	5.879998207092285e-05		14.77270140312612	2.770091272890568	0	8	0.9998384714126587	0.23296622931957245	0.002382265403866768	0.00758828641846776	1					
9	0.2882914863526821	1.2332929274688165	1.9516024108976127	0.8095483059684435	0.28851741715334356	0.2882914863526821	0.7651338418324788	0.45486083179712294	0.18247660202905536	0.2652308288922844	19.554292678833008	-5.843281059014771e-08	0.0	0.0	0.0012919527915073558	0.0	0.06398723671833674	0.28843690107266107	1.273295448720455	3.1969187021255494	7.270946478843689	0.529930845896403	0.8506358345349629	0.8645142833391826	-0.007724239339586348	0.1967213924198101	0.16812155024769407	0.22790845745864013	7.970810000101725	0.8364544590314229	0.4116145849227905	0.8581300695737203	0.8880744775136312	1.9537317752838135	2.7380709648132324	0.28851741552352905	1e-06	219.51913452148438	56.887381076812744	64.302734375	0.9999990463256836	0.004272306803613901	0.0	0.9999990463256836	0.004272306803613901	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	232297	232297	232297	232297.0	232297	0	2	2.0	2	0.20802864920065536	0.30742044538212293	1173.8574168052878	98.94600343890488	232297	0.0	538.0	136.1328125	51.0	0.0	0.0078125	16384.0	1678.6875	2.0	0.0078125	16384.0	1678.6875	2.0	1.1209492683410645	0.0017334222793579102	0.0008709518588148057	0.0008796699112281203	0.005456836428493261	0.0025324986781924963	0.08612251281738281	-0.03498029708862305	1.002622127532959	2.6141982078552246	128.9156036376953	2.6167309284210205	129.12246704101562	0.00038575375668259876	0.3409516911590576	0.07504573616755626	0.08960944041609764	0.031443169340491295	0.007774680314469151	0.004143906757235527	68.41823795996606	8.142891871830216	0.0729578509926796	-1	-1.0	-1	0.012425202876329422	68.41823795996606	-1	128	16384	0.0	0.0	0.0	0.0	73.26097178272903	4.913919284939766	2.9996037483215332e-05		7.673166692256927e-05	98.94600343890488	5.39533793926239e-05		17.432899374514818	2.364433951675892	0	9	0.999811589717865	0.16784977912902832	0.0025561368092894554	0.007973895408213139	1					
10	0.28993188611431314	1.5031871394686667	2.3346040394888923	0.913924450586949	0.28442087252187775	0.28993188611431314	0.7370893699782235	0.41873230761640506	0.1689638662826058	0.3062025658301926	22.935832977294922	-2.3841855067985307e-07	3.5331816304408547e-07	4.5837269421359193e-07	0.01088134088123687	0.0017514672303410147	0.06805068535946443	0.30292564434369396	1.2799598516087696	2.9987147507241128	6.181029682180712	0.5688558795622417	0.8294050714799336	0.84454958992345	-0.007497644745723976	0.2231402163036234	0.19272552310056718	0.26086814046097323	7.969028438840594	0.8055065018790108	0.4515294794525419	0.8352705325399127	0.865892938205174	2.334716558456421	2.7856812477111816	0.28442084789276123	1e-06	219.52391815185547	56.887381076812744	64.302734375	0.9999990463256836	0.03104992024600506	0.0	0.9999990463256836	0.03104992024600506	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	222266	222266	222266	222266.0	222266	0	2	2.0	2	0.21336420334818415	0.315251536528409	1028.4595665516217	108.05772401206195	222266	0.0	425.0	130.421875	46.0	0.0	0.015625	16384.0	1606.03125	2.0	0.015625	16384.0	1606.03125	2.0	0.46950387954711914	0.0019252300262451172	0.00098835164681077	0.001016352791339159	0.0051005687564611435	0.002000482752919197	0.0743255615234375	-0.05493736267089844	1.0020723342895508	2.5517330169677734	170.559326171875	2.5537338256835938	170.92665100097656	0.00039350187654954685	0.4039639275809318	0.07569862454431045	0.08746208809316158	0.083341795951128	0.008820552597171627	0.0040157269686460495	73.97554548457265	7.4120784680126235	0.09897252731025219	-1	-1.0	-1	0.014363376423716545	73.97554548457265	-1	102	16384	0.0	0.0	0.0	0.0	83.04367252066731	4.992531534284353	2.8718262910842896e-05		6.401166319847107e-05	108.05772401206195	4.9289315938949585e-05		16.825230482965708	2.2483543176203966	0	10	0.9998072981834412	0.12310466170310974	0.002755288500338793	0.00820239819586277	1					
