step	actor/distillation/abs_loss	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/qb_budget	actor/distillation/qb_captured_mass	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.23378529492765665	1.0730593939467024	1.629257609679674	0.6186796969462497	0.22598215943435207	0.23378529492765665	0.7337033078074455	0.3530340696840237	0.11231180760660209	0.2259792091548055	18.158716201782227	-2.384185791015625e-07	1.6680635004225525e-05	2.5711606288799278e-05	0.0059546184617526405	3.9116362226347214e-05	0.045485614650412266	0.21999443666451649	1.0605187635907594	2.7049699269700795	6.005318954586983	0.4937741706768672	0.8768361459175745	0.8885896950960159	-0.005892069599212846	0.15950735669078617	0.1386357432541748	0.18409693174180575	7.959239522616069	0.8713701764742533	0.3830421268939972	0.8811155259609222	0.9048568308353424	1.6230720281600952	2.8830618858337402	0.2259821593761444	1e-06	206.26261138916016	43.08492469787598	50.212890625	0.9999990463256836	0.0038681132718920708	0.0	0.9999990463256836	0.0038681132718920708	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	195357	195357	195357	195357.0	195357	0	2	2.0	2	0.2020342836940895	0.1528540302867399	682.8358241737408	143.04829439520836	195357	0.0	516.0	122.5234375	44.0	0.0	0.03125	16384.0	1403.703125	2.0	0.03125	16384.0	1403.703125	2.0	0.8573827743530273	0.0016807317733764648	0.0007144513656385243	0.0005867952713742852	0.0067569236271083355	0.0032670546788722277	0.07498550415039062	-0.03194999694824219	1.003374457359314	2.3553974628448486	165.66116333007812	2.3586645126342773	166.84019470214844	0.0005305522890561831	0.6397338266841234	0.0825286938776579	0.10364710353314877	10.07442451454699	4.151938670853269	0.005309268832206726	92.36914644762874	23.585721943018143	16.08926354162395	-1	-1.0	-1	0.013095587491989136	92.36914644762874	-1	44	16384	0.0	0.0	0.0	0.0	114.94353557564318	7.698165846988559	3.910250961780548e-05		0.00032830797135829926	143.04829439520836	5.9081241488456726e-05		16.122558049857616	3.29323211312294	0	1	0.9998359084129333	0.778329074382782	0.001993665238842368	0.007406163029372692	1					
2	0.26715920042867464	2.235178231901955	3.1342897915358967	0.9601833812387971	0.2570924101746641	0.26715920042867464	0.7815336436033249	0.4143670394772319	0.17654448326235675	0.24381055910801783	19.02988624572754	-2.912014167577581e-07	1.3203194460705465e-06	1.6480391877848888e-06	0.023014501048237435	0.0024887743055993874	0.09407361253397539	0.2934166092103017	1.079047609610522	2.5266514374622298	5.125259407485525	0.54968635023882	0.7446370497345924	0.7539235974351565	-0.00609135993969782	0.3174346856503689	0.2821640794112075	0.3541816919629734	7.961846947669983	0.7066009615858396	0.41209516550103825	0.7531001220146815	0.7810358156760534	3.1613242626190186	3.7757863998413086	0.2570924162864685	1e-06	216.88968658447266	56.754477977752686	63.806640625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194133	194133	194133	194133.0	194133	0	2	2.0	2	0.21134036908858098	0.316360865213195	843.7172953376476	115.04623709432781	194133	0.0	743.0	127.7265625	47.0	0.0	0.015625	16384.0	1388.9375	2.0	0.015625	16384.0	1388.9375	2.0	-0.10748875141143799	0.0016952753067016602	0.0010435625445097685	0.0012376554077491164	0.007272530347108841	0.005320802330970764	0.09414386749267578	-0.022845745086669922	1.0054376125335693	2.838508367538452	194.8076629638672	2.8438291549682617	197.92259216308594	0.0005047028124402124	0.5068872767140463	0.0834965351152208	0.09797947108745575	0.04244586452841759	0.008497472663293593	0.0038295555859804153	80.44175894744694	6.38124802953098	0.07700636982917786	-1	-1.0	-1	0.01555234007537365	80.44119797460735	-1	112	16384	0.0	0.0	0.0	0.0	90.11644760333002	4.363853432238102	2.9595568776130676e-05		6.147101521492004e-05	115.04623709432781	5.6939199566841125e-05		16.20943285152316	3.4036250710487366	0	2	0.9998611211776733	0.5690022706985474	0.002199300331994891	0.007322569843381643	1					
3	0.24959730858413073	1.0250817171584528	1.6205036814252918	0.6655086487791357	0.2521750095183961	0.24959730858413073	0.7719358744529577	0.415150976095062	0.12597448818716936	0.21679737464504656	22.657039642333984	-2.3841855067985307e-07	1.2179875320966332e-06	2.2391240730275267e-06	0.009387900797387024	0.0006993544345710653	0.043981202461649306	0.22732644764563212	1.1416707378453934	2.928544933406206	6.425996850316341	0.5108292882259076	0.882539845429934	0.8955540977991544	-0.0062284129088276624	0.15422261024986467	0.1328276841825125	0.18083565257928477	7.966706789456881	0.879781933931204	0.4019426004244731	0.8868506275690519	0.9123993791066684	1.6704553365707397	2.928921699523926	0.2521750032901764	1e-06	215.95970153808594	57.384422302246094	64.529296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212387	212387	212387	212387.0	212387	0	2	2.0	2	0.2102172544838239	0.30745539132740896	1055.4087998808973	100.61835756152868	212387	0.0	551.0	134.2265625	51.0	0.0	0.015625	16384.0	1525.046875	1.0	0.015625	16384.0	1525.046875	1.0	8.367877960205078	0.0018739700317382812	0.0007990882149897516	0.0006628979463130236	0.006415197160094976	0.003923948388546705	0.17316722869873047	-0.04069638252258301	1.0041050910949707	2.557048797607422	307.2735595703125	2.5609729290008545	308.15997314453125	0.0003903092414286214	0.38683371221807716	0.0763121855045682	0.08289660885930061	0.06561299785971642	0.008353640005225316	0.0038099605590105057	69.31442135944963	6.966440887292265	0.08576969616115093	-1	-1.0	-1	0.014112811535596848	69.31385752558708	-1	104	16384	0.0	0.0	0.0	0.0	75.51226162724197	4.607420593500137	2.7397647500038147e-05		5.694478750228882e-05	100.61835756152868	5.4718926548957825e-05		16.207716142758727	3.3723450750112534	0	3	0.9998251795768738	0.29371729493141174	0.0024130712263286114	0.007829597219824791	1					
4	0.2852896662767638	1.8181044744666328	2.6425097014077683	0.8897952914068644	0.2850397096481174	0.2852896662767638	0.8108477646654303	0.4309603982520374	0.17117047517306425	0.2204081594774669	19.293519973754883	-1.0619168477887797e-07	8.545905736603097e-08	4.2040693932159973e-07	0.008346466458698904	7.123826435417868e-07	0.08965878847150387	0.2809294454160739	1.182810360227119	3.2232807102528485	6.973069927909157	0.5551369515332308	0.7893645329908892	0.7977874062278054	-0.0066410285984271795	0.2696282603375783	0.23646541467910123	0.3045995492085984	7.956207622181285	0.7594287612221458	0.4239836443554271	0.7968015074729919	0.8225793567570773	2.5977861881256104	3.560333490371704	0.2850396931171417	1e-06	216.9146385192871	57.384422302246094	64.529296875	0.9999990463256836	0.010190095752477646	0.0	0.9999990463256836	0.010190095752477646	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	174354	174354	174354	174354.0	174354	0	2	2.0	2	0.19716339596407767	0.30513134922076623	994.5566453689233	87.65413252823055	174354	0.0	529.0	130.09375	47.0	0.0	0.0078125	16384.0	1232.046875	2.0	0.0078125	16384.0	1232.046875	2.0	0.9864552021026611	0.001935720443725586	0.0009622504585422575	0.0009587680106051266	0.007071044761687517	0.0020002315286546946	0.12363433837890625	-0.04972505569458008	1.00213623046875	2.7069993019104004	128.93905639648438	2.7089996337890625	129.82177734375	0.0004334015155565493	0.4160638492165083	0.07960945960726412	0.0755652878433466	0.04129158332943916	0.008456039213342592	0.003859851509332657	61.088207041844726	5.27789046880207	0.13364203087985516	-1	-1.0	-1	0.011301031336188316	61.088207041844726	-1	133	16384	0.0	0.0	0.0	0.0	65.61410114914179	3.8588002007454634	2.5721266865730286e-05		5.475059151649475e-05	87.65413252823055	5.325116217136383e-05		13.880227720364928	3.3657928071916103	0	4	0.9998513460159302	0.28973859548568726	0.002182292751967907	0.007326862774789333	1					
5	0.2467783923711977	1.6129438075149665	2.471771238895599	0.9410090737619612	0.23746997994021513	0.2467783923711977	0.7462415210902691	0.4069346259784652	0.14754325661351686	0.21374109144016984	17.14794921875	-2.384185791015625e-07	7.032635554082844e-05	0.0006605868176734475	0.011977826379961698	0.0025174787484729677	0.08096494319170233	0.24516084857123133	1.047672100361524	2.5773065630164638	5.4487727344967425	0.5441963914781809	0.8126688525080681	0.8250245042145252	-0.0062888999473216245	0.24188140914338874	0.2110024266057735	0.2865726192303555	7.970975488424301	0.7785808071494102	0.4321983139961958	0.8190835639834404	0.8462037928402424	2.4648985862731934	3.483819007873535	0.23746998608112335	1e-06	213.00279235839844	57.384422302246094	64.529296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254849	254849	254849	254849.0	254849	0	2	2.0	2	0.21291048897081083	0.32256394122504145	901.7869412568424	141.30222358554602	254849	0.0	975.0	141.3671875	41.0	0.0	0.0546875	16384.0	1849.640625	2.0	0.0546875	16384.0	1849.640625	2.0	0.7652604579925537	0.001761317253112793	0.0009088307269848883	0.0009374897927045822	0.0064051831141114235	0.0014603640884160995	0.07603645324707031	-0.10750579833984375	1.0015740394592285	2.605217695236206	132.989990234375	2.6066782474517822	133.71234130859375	0.0003737822876146305	0.467212858860834	0.08067050465735764	0.09525804221630096	0.03947373479604721	0.007779985520755872	0.0038321036845445633	92.30259249731898	9.592839611199452	0.07234246842563152	-1	-1.0	-1	0.017560916021466255	92.30218230187893	-1	102	16384	0.0	0.0	0.0	0.0	110.6145131867379	5.730291847139597	2.619996666908264e-05		5.696527659893036e-05	141.30222358554602	5.549192428588867e-05		20.55879744142294	3.4301634337753057	0	5	0.9998544454574585	0.12532073259353638	0.0020319486502557993	0.006929673254489899	1					
6	0.3131079143948025	1.762334598435296	2.599056045214335	0.9184075163470374	0.31289273127913475	0.3131079143948025	0.8593422306908501	0.5127317044470046	0.13384707383940825	0.2604437462157673	18.614336013793945	-1.6624690601929615e-07	0.0	0.0	0.014165121234125562	0.001690691647430261	0.06706315610143873	0.2739512887265947	1.4631269176801045	3.500993808110555	7.149554861916436	0.5657891697353787	0.799364447593689	0.8083844317330254	-0.007848742159290446	0.2551645582748784	0.22351246120201218	0.29222090790669125	7.941226959228516	0.774370132221116	0.44997374878989327	0.8060987128151788	0.8333404329087999	2.663877487182617	3.4490838050842285	0.31289273500442505	1e-06	216.68620681762695	57.384422302246094	64.529296875	0.9999990463256836	0.029566539451479912	0.0	0.9999990463256836	0.029566539451479912	0.0	1.0	0.03125	0.0	1.0	0.03125	0.0	142261	142261	142261	142261.0	142261	0	2	2.0	2	0.20164343773924892	0.30024283962663645	942.0497427634012	75.50609778985381	142261	0.0	756.0	125.8203125	53.0	0.0	0.0	15273.0	985.59375	2.0	0.0	15273.0	985.59375	2.0	1.771036148071289	0.0017632246017456055	0.0010490032145753503	0.0012149952817708254	0.006893200799822807	0.004044166300445795	0.06871891021728516	-0.048404693603515625	1.0041297674179077	2.8856582641601562	171.81414794921875	2.889702558517456	172.66824340820312	0.0005850054625287139	0.4517317338749148	0.07808677502933181	0.08322346210479736	0.06526613049209118	0.009451152654946782	0.00372391939163208	52.97955005988479	4.030522654327797	0.0926322266459465	-1	-1.0	-1	0.013003980740904808	52.97955005988479	-1	116	15273	0.0	0.0	0.0	0.0	56.98866861872375	3.1946099158376455	2.3799017071723938e-05		6.59208744764328e-05	75.50609778985381	5.035288631916046e-05		11.108702702447772	3.3103603310883045	0	6	0.9998220801353455	0.18280935287475586	0.00270640617236495	0.008288527838885784	1					
7	0.2716533909241358	1.5831328640381495	2.454539759953817	0.9502467453479767	0.2668159403838217	0.2716533909241358	0.7968640128771464	0.47814653515815736	0.13978000755111378	0.2754271373152733	24.95644187927246	-1.9552751950868696e-07	-1.8185087213851148e-09	0.00035818247124552727	0.01381829142725716	0.0028144936077296734	0.055135240157445274	0.2704867161810398	1.2081978142261505	2.949154583613078	6.495559056599935	0.5630902210871379	0.8155864894390106	0.8244634012381236	-0.006444477833186587	0.24011392692724864	0.2095016327065726	0.2735358168060581	7.965554110209147	0.7830730458100637	0.42479174931844077	0.8232490579287212	0.8486981471379598	2.4780240058898926	3.2570669651031494	0.2668159604072571	1e-06	216.0737762451172	57.384422302246094	64.529296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234759	234759	234759	234759.0	234759	0	2	2.0	2	0.21467575812981396	0.31626840050792354	1018.5017721121234	115.24722215905786	234759	0.0	531.0	122.328125	54.0	0.0	0.03125	16384.0	1711.7265625	2.0	0.03125	16384.0	1711.7265625	2.0	12.28706169128418	0.0020657777786254883	0.0010131420567631721	0.0009936803253367543	0.00555393984541297	0.003405077615752816	0.1006474494934082	-0.03289914131164551	1.0034959316253662	2.534498929977417	118.53821563720703	2.5379040241241455	119.3056640625	0.0003998564578718869	0.4014073405208663	0.07681094030637453	0.0938699021935463	0.0188223198056221	0.007194875477580354	0.004148118197917938	77.35462455637753	8.153788751238608	0.15402907691895962	-1	-1.0	-1	0.015253106132149696	77.35462455637753	-1	83	16384	0.0	0.0	0.0	0.0	87.94874971546233	5.158174501731992	2.4400651454925537e-05		5.5538490414619446e-05	115.24722215905786	6.353482604026794e-05		18.032059535384178	3.182064138352871	0	7	0.9998177886009216	0.29126235842704773	0.002914449665695429	0.008294452913105488	1					
8	0.34637337452732025	1.1048004779731855	1.7646298608742654	0.7740563280181959	0.34333768105716445	0.34637337452732025	0.7927527666091919	0.4689437972381711	0.18193098331685179	0.3639803462079726	21.23345947265625	-3.5073160375986845e-08	4.3834981511281514e-08	9.21987975743832e-08	0.008330315657440223	1.986011966437218e-07	0.09143409498792607	0.3218951905146241	1.6009455336723477	3.804252803325653	7.688746140897274	0.5383065432310105	0.8730562925338745	0.8887120604515075	-0.009516717164660803	0.17237576686311512	0.14577705579577013	0.20379145949846134	7.948314666748047	0.8685637652873993	0.4108113318681717	0.8777826607227326	0.9102952659130097	1.7570915222167969	3.0367202758789062	0.34333768486976624	1e-06	217.07634735107422	57.384422302246094	64.529296875	0.9999990463256836	0.004629041999578476	0.0	0.9999990463256836	0.004629041999578476	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	159478	159478	159478	159478.0	159478	0	2	2.0	2	0.20534919969962362	0.3035749562026622	965.1313322583629	82.61984388530254	159478	0.0	756.0	130.34375	44.0	0.0	0.0078125	16384.0	1115.578125	2.0	0.0078125	16384.0	1115.578125	2.0	-0.04188799858093262	0.00167083740234375	0.0009058722062036395	0.0009795085061341524	0.0066343750804662704	0.004701531026512384	0.059598445892333984	-0.03416633605957031	1.004791498184204	2.679656744003296	140.3394317626953	2.6843581199645996	141.7010040283203	0.0008403877590977208	0.4370748832350582	0.07693307060632897	0.13402335904538631	0.06512563675642014	0.010700261336751282	0.003946254029870033	57.69032604433596	4.643723946021055	0.12814084440469742	-1	-1.0	-1	0.013206494972109795	57.69032604433596	-1	47	16384	0.0	0.0	0.0	0.0	62.4116708766669	3.6335220094770193	2.7162954211235046e-05		5.492381751537323e-05	82.61984388530254	5.9975311160087585e-05		12.269132234156132	3.342890966683626	0	8	0.9997717142105103	0.2460184097290039	0.0028521064668893814	0.008649681694805622	1					
9	0.26334140576156123	1.374234473798424	2.061064279771277	0.7626212515419216	0.26022402261151	0.26334140576156123	0.7960491648742131	0.4441448724267372	0.12158546783419817	0.2552130430537675	21.390859603881836	-1.8085998476635723e-08	6.5957958992969774e-06	8.23919046004968e-06	0.016728393502749635	0.0007638048669572786	0.0628515136943731	0.2136904134282044	1.215854820396219	3.0826133361884525	6.437934083598001	0.5204612037965229	0.8429293632507324	0.8566299953630993	-0.007032699643916983	0.20072168364588702	0.1752023438249515	0.23226594819113547	7.968922138214111	0.8307227534907204	0.4064514147383826	0.8482401818037033	0.8758662555898938	2.020035743713379	2.9948341846466064	0.26022401452064514	1e-06	216.67327880859375	57.384422302246094	64.529296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223235	223235	223235	223235.0	223235	0	2	2.0	2	0.21352743647080075	0.30324163777446467	1012.608690484973	110.22767338342965	223235	0.0	538.0	136.1328125	51.0	0.0	0.015625	16384.0	1607.890625	2.0	0.015625	16384.0	1607.890625	2.0	0.39574337005615234	0.0016684532165527344	0.0008100600098259747	0.0007879940676502883	0.005162960849702358	0.0015132331755012274	0.04536771774291992	-0.027657508850097656	1.0015625953674316	2.3661434650421143	91.99543762207031	2.367656707763672	91.61919403076172	0.00043064566115893837	0.40257944173429944	0.0795845931080615	0.09613518416881561	0.030476955696940422	0.008358138453331776	0.004029607400298119	75.77256652340293	7.729822384266299	0.10766963846981525	-1	-1.0	-1	0.012082204222679138	75.77256652340293	-1	132	16384	0.0	0.0	0.0	0.0	82.85487490333617	5.016863282769918	3.241188824176788e-05		8.101947605609894e-05	110.22767338342965	5.5769458413124084e-05		17.76606664247811	3.6543367207050323	0	9	0.9998571872711182	0.16438668966293335	0.0020427738782018423	0.007123679853975773	1					
10	0.3046930005463461	1.6165993204340339	2.454919833301877	0.908091097449263	0.2973481636727229	0.3046930005463461	0.7916026363770167	0.40320022771387204	0.17853400976552317	0.2438866843682869	22.21539306640625	-1.113173269118306e-07	2.3737444886743713e-05	3.98492278084935e-05	0.009562660784771046	0.0013471109268721193	0.10280927408408995	0.3207167724225049	1.2876914087682962	2.977353072259575	6.368741114934285	0.5422051462034384	0.8109121372302374	0.8271339684724808	-0.007278318303481986	0.24496454755232358	0.21289114974691378	0.28015909824171104	7.955881675084432	0.7920283103982607	0.4154435135424137	0.8181716228524843	0.8524307459592819	2.4636731147766113	3.201059579849243	0.29734814167022705	1e-06	216.12408447265625	57.384422302246094	64.529296875	0.9999990463256836	0.01700522005558014	0.0	0.9999990463256836	0.01700522005558014	0.0	1.0	0.0390625	0.0	1.0	0.0390625	0.0	188347	188347	188347	188347.0	188347	0	2	2.0	2	0.20976426857298247	0.3106782404271167	967.7787959562007	97.3089102525264	188347	0.0	425.0	130.421875	46.0	0.0	0.015625	16384.0	1341.0390625	2.0	0.015625	16384.0	1341.0390625	2.0	0.1730051040649414	0.001893758773803711	0.0009400335839018226	0.0009352496126666665	0.0042770011350512505	0.0017021067906171083	0.04430341720581055	-0.0357050895690918	1.00174081325531	2.522110939025879	114.36697387695312	2.523813009262085	114.56153869628906	0.0004457195015896214	0.4324724294880821	0.07766772744570442	0.08394993096590042	0.09791227243840694	0.008120782367768697	0.00420406274497509	66.77073808386922	5.773133257214795	0.11214539222419262	-1	-1.0	-1	0.02187269926071167	66.77073808386922	-1	194	16384	0.0	0.0	0.0	0.0	74.23518993891776	4.279527857899666	3.0016526579856873e-05		5.9153884649276733e-05	97.3089102525264	5.6276097893714905e-05		14.628483461216092	3.2245611641556025	0	10	0.9998481869697571	0.12126252055168152	0.002405070699751377	0.007676554843783379	1					
