step	actor/distillation/abs_loss	actor/distillation/c3_inter_size	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.6376104111021216	19.630869431929156	2.0231037492101844	2.7554053339091213	0.8139002268964594	-0.4839623421430588	0.6376104111021216	1.3607943220572039	0.7586364962837913	0.5405574974349954	0.5472565753893419	64.8250503540039	-35.67792510986328	-8.979276310313832	-4.414306575601751	-0.7332827868786725	-2.258846965703097	-0.19498621469194238	0.005711049168233082	0.38734414355712943	1.037654540755532	3.828144593672319	0.577378511428833	0.7494718053124168	0.7663171995769847	-0.014009996528991243	0.27839252657511016	0.2427273683927276	0.3165443559939211	0.4746079607443376	0.757526305588809	0.7966358797116713	2.638578414916992	3.5303401947021484	-0.4839623272418976	1e-06	177.09704971313477	43.82406520843506	51.12890625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168217	168217	168217	168217.0	168217	0	2	2.0	2	0.20562323924349615	0.1508519068929883	734.9133117471754	114.44683155900566	168217	0.0	516.0	122.5234375	44.0	0.0	0.0078125	16384.0	1191.671875	2.0	0.0078125	16384.0	1191.671875	2.0	0.9127511978149414	0.0023802518844604492	0.0010396246798336506	0.0008943198481574655	0.007770076859742403	0.0030522658489644527	0.1432781219482422	-0.04234123229980469	1.0032227039337158	2.443394184112549	178.64675903320312	2.446446418762207	180.36337280273438	0.0005055474892731766	0.6054811630455544	0.07636035760337978	0.08504168200306594	8.204331311048009	3.597833029537469	0.005488852970302105	73.45934272703016	16.370774783468278	9.037519849021919	-1	-1.0	-1	0.011930118955206126	73.45934272703016	-1	76	16384	0.0	0.0	0.0	0.0	92.3564637239906	6.323876044014469	4.004000220447779e-05		0.00025490601547062397	114.44683155900566	5.266995867714286e-05		12.845110274967737	2.256666209024843	0	1	0.9998183846473694	0.139143705368042	0.0027452928479760885	0.008181219920516014	1					
2	0.6448132378550676	20.135978185213528	2.519685872257329	3.434269125143496	0.9621252823674765	-0.5035677547566593	0.6448132378550676	1.3650580323659456	0.6930431995827419	0.525128429182447	0.6080283943850261	74.65182495117188	-39.801475524902344	-8.238632800487371	-3.8714780509471893	-0.7977091721617259	-2.145320707788834	-0.24440577396979699	-0.020383846520696983	0.38754435659211595	1.128308114714925	3.6892903688397802	0.5922346596534436	0.6892228355774512	0.7048376569381127	-0.010493591755780822	0.34240379361570095	0.30153998904279433	0.3868937087625874	0.4919889752681439	0.6987932003461398	0.737287292113671	3.4613068103790283	5.089332103729248	-0.5035677552223206	1e-06	181.54217529296875	56.16997480392456	63.16015625	0.9999990463256836	0.016622284427285194	0.0	0.9999990463256836	0.016622284427285194	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	208681	208681	208681	208681.0	208681	0	2	2.0	2	0.20784183820672691	0.30896831285519033	1027.3622785332032	101.56154472497292	208681	0.0	743.0	127.7265625	47.0	0.0	0.0234375	16384.0	1502.59375	2.0	0.0234375	16384.0	1502.59375	2.0	1.6645684242248535	0.002181529998779297	0.0011833867756649852	0.0012791425688192248	0.006379642523825169	0.0026145121082663536	0.11554813385009766	-0.036576271057128906	1.0027507543563843	2.8406190872192383	90.5307846069336	2.843233346939087	90.75747680664062	0.00041417683451427646	0.404627270901575	0.07663376254176593	0.08643083600327373	0.027683696011081338	0.0076324163351273455	0.0037796359974890947	73.37573789199814	6.793818909368383	0.15166111796861514	-1	-1.0	-1	0.020492423966061324	73.37288599199383	-1	132	16384	0.0	0.0	0.0	0.0	77.82277226704173	4.727373273984995	3.41809936799109e-05		5.938898539170623e-05	101.56154472497292	6.559601752087474e-05		15.992010200978257	2.4292743030237034	0	2	0.9998639822006226	0.23103207349777222	0.0023266503121703863	0.00709045585244894	1					
3	0.5735874863510783	19.619557814164594	1.6160589736378328	2.337196905843236	0.7952768337828192	-0.4509744802489877	0.5735874863510783	1.3276554508642717	0.6645785028284247	0.4536268985406919	0.5669729699465361	68.36520385742188	-38.474369049072266	-9.183258945291692	-4.048089972951195	-0.6529371784153309	-1.956425815820694	-0.22673933715982872	-0.0366847751905549	0.2646742298265136	0.8906833437080919	3.4660568411716004	0.5770458281040192	0.7962110584432428	0.8076842047951438	-0.012657943230640905	0.23134466260142456	0.1970351227844896	0.27016002783784643	0.47569396008144726	0.8032677715474908	0.8352808843959462	2.218392848968506	3.5230963230133057	-0.4509744942188263	1e-06	186.04396438598633	56.16997480392456	63.16015625	0.9999990463256836	0.010948989540338516	0.0	0.9999990463256836	0.010948989540338516	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	170437	170437	170437	170437.0	170437	0	2	2.0	2	0.20780093915961875	0.30404075261812763	982.247494988519	86.75868397200247	170437	0.0	551.0	134.2265625	51.0	0.0	0.015625	16384.0	1197.3125	2.0	0.015625	16384.0	1197.3125	2.0	1.6030502319335938	0.0021834373474121094	0.000942532904446125	0.0007967400597408414	0.006083411630243063	0.0033056759275496006	0.07967281341552734	-0.04707813262939453	1.0033937692642212	2.8099007606506348	174.79190063476562	2.813206672668457	175.96221923828125	0.00037029132766704613	0.44102348214749854	0.07535806160071151	0.06311134301358834	0.04342812404502183	0.00783144165552585	0.0038096520002000034	64.30876274802722	5.096647980740727	0.1372428439790383	-1	-1.0	-1	0.011300740006845444	64.30876274802722	-1	100	16384	0.0	0.0	0.0	0.0	67.58949477999704	3.4484294010326266	5.6240009143948555e-05		7.599301170557737e-05	86.75868397200247	5.810998845845461e-05		12.843801945040468	2.3078520630369894	0	3	0.9998229742050171	0.1681138277053833	0.0026132219936698675	0.008056391961872578	1					
4	0.6821751415729522	20.33925838470459	2.5158027172088624	3.3994813203811645	0.9564288794994354	-0.5011936761438847	0.6821751415729522	1.59523264169693	0.7232277572154999	0.5220490524545311	0.6156630724668503	55.55910873413086	-27.877439498901367	-9.873601341247559	-4.561063003540039	-0.7943682670593262	-2.340199112892151	-0.19739588648080825	0.0014810782893619034	0.4559174865484238	1.2838046491146087	6.753705620765686	0.5982134878635407	0.6859596788883209	0.7105605632066727	-0.014544823300093412	0.34584337323904035	0.30506730526685716	0.38938738852739335	0.49145173728466035	0.6953068643808364	0.7457540959119797	3.3834545612335205	3.551206111907959	-0.501193642616272	1e-06	183.1938705444336	56.16997480392456	63.16015625	0.9999990463256836	0.009120692498981953	0.0	0.9999990463256836	0.009120692498981953	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	154580	154580	154580	154580.0	154580	0	2	2.0	2	0.20624276663297197	0.299225826052295	1167.7351317746904	66.18795469700126	154580	0.0	529.0	130.09375	47.0	0.0	0.0	13665.0	1077.5625	2.0	0.0	13665.0	1077.5625	2.0	3.190267562866211	0.002505660057067871	0.0012784230057150126	0.001307638711296022	0.004320889245718718	0.0013283264124765992	0.03832435607910156	-0.033672332763671875	1.001359224319458	2.640401840209961	100.46519470214844	2.6417300701141357	100.56729125976562	0.0005681405033197349	0.3566004707964843	0.07189667843188115	0.08782315900316462	0.06295944197336212	0.008018362774691923	0.004032081051263958	47.09355699602747	4.611022469936415	0.14085487398551777	-1	-1.0	-1	0.012007798999547958	47.09355699602747	-1	112	13665	0.0	0.0	0.0	0.0	49.18518973601749	3.0531901790527627	3.0218972824513912e-05		6.788695463910699e-05	66.18795469700126	6.816501263529062e-05		11.113788552000187	2.250481683993712	0	4	0.9998111724853516	0.15131372213363647	0.002812881488353014	0.008280851878225803	1					
5	0.5425759411217379	18.99965899331229	2.0346048921346664	2.7938526840880513	0.8856985058103289	-0.4094588740626932	0.5425759411217379	1.2982418601002013	0.6549763485090807	0.42285504860670436	0.4424616554065973	148.25958251953125	-25.3077335357666	-7.600510107619422	-3.6522595565100864	-0.617976214670177	-1.894440928307761	-0.163176120483383	-0.01025021751307317	0.3194387199224106	1.0234851778617926	4.220493350178003	0.5588135038103376	0.7503024595124381	0.7593698629311153	-0.07975296681563902	0.2764618274980291	0.24101817597069644	0.3145341281945418	0.4602144328611238	0.7592778269733701	0.7898389867373875	2.929218053817749	4.201275825500488	-0.40945887565612793	1e-06	183.62138748168945	56.16997480392456	63.16015625	0.9999990463256836	0.0015377996023744345	0.0	0.9999990463256836	0.0015377996023744345	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	218381	218381	218381	218381.0	218381	0	2	2.0	2	0.21454416851379443	0.31915853863722987	1049.7001695949448	104.02065576700261	218381	0.0	975.0	141.3671875	41.0	0.0	0.03125	16384.0	1564.734375	2.0	0.03125	16384.0	1564.734375	2.0	1.355147361755371	0.001979827880859375	0.0010644589783623815	0.001140330103226006	0.005941787734627724	0.0030284845270216465	0.05775594711303711	-0.030959129333496094	1.0030930042266846	2.814272403717041	124.26576232910156	2.817300796508789	124.69351959228516	0.00041713707680995	0.4015931384370509	0.07443932462991268	0.09109481197083369	0.04070401098579168	0.007534710873187578	0.0037055540014989674	74.9129162140307	7.260076980884605	0.05403646797640249	-1	-1.0	-1	0.02231169299921021	74.91253651998704	-1	61	16384	0.0	0.0	0.0	0.0	80.43348332500318	4.21716522105271	3.23799904435873e-05		6.048299837857485e-05	104.02065576700261	5.38729946129024e-05		16.25613415200496	2.521979139011819	0	5	0.9998500347137451	0.23296856880187988	0.002485211007297039	0.007549326401203871	1					
6	0.5349162875541619	19.253631796155656	2.3397434051813826	3.116554146166891	0.8302743972744793	-0.36205576080828905	0.5349162875541619	1.3878817643438066	0.6539059355854988	0.44028865386332783	0.4875261251415525	78.30355834960938	-43.12883377075195	-7.5651437640190125	-3.4548178889921735	-0.5887478909322194	-1.7700383471591132	-0.1667067780758121	0.02026251512584817	0.4632222252608439	1.111784590460177	4.078140557643825	0.566283289875303	0.7085085447345462	0.7292469846350806	-0.010529753785314304	0.3192688465683854	0.28267359151504934	0.35591685002769474	0.4676722948040281	0.7176086413008826	0.7591823637485504	3.154054641723633	3.3645057678222656	-0.3620557487010956	1e-06	187.38484954833984	56.66155385971069	63.8828125	0.9999990463256836	0.011063899844884872	0.0	0.9999990463256836	0.011063899844884872	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	217842	217842	217842	217842.0	217842	0	2	2.0	2	0.21359150640267316	0.32020280268632856	1038.450782607161	104.88797526498092	217842	0.0	756.0	125.8203125	53.0	0.0	0.0234375	16384.0	1576.0703125	2.0	0.0234375	16384.0	1576.0703125	2.0	5.182507038116455	0.002454996109008789	0.0010705108288675547	0.0009169636759907007	0.005673624109476805	0.002352043054997921	0.07750415802001953	-0.039215803146362305	1.0024302005767822	3.015371084213257	191.93475341796875	3.0177228450775146	196.006591796875	0.000285815210020544	0.40233177368566253	0.07485821645049594	0.06226255698129535	0.027789874002337456	0.007579792047636147	0.0035497539793141186	76.68515060597565	7.338057502808169	0.10584306600503623	-1	-1.0	-1	0.010741222009528428	76.68515060597565	-1	97	16384	0.0	0.0	0.0	0.0	81.1652050280245	4.216032815980725	2.794997999444604e-05		5.7326979003846645e-05	104.88797526498092	6.362301064655185e-05		16.307263588008936	2.6082507880055346	0	6	0.9998798966407776	0.2085619568824768	0.002032279269769788	0.0070279259234666824	1					
7	0.680464992672205	19.59577522277832	2.4336373336613177	3.2503747552633286	0.8770602203905582	-0.43438296765089035	0.680464992672205	1.3702710032463075	0.750725516397506	0.5991385102272033	0.6444591201841832	57.072052001953125	-36.854759216308594	-8.565394735336303	-4.210803294181824	-0.7344967652112245	-2.2038132309913636	-0.2047252157703042	0.00984335340326652	0.7031520613323664	1.4974555014632642	6.087356823682785	0.5763463318347931	0.6998624712228775	0.7196309894323349	-0.012094951584003866	0.3287811441347003	0.29200818948447704	0.3699962569400668	0.475822788476944	0.7083212554454803	0.7518278777599334	3.2857816219329834	3.683485746383667	-0.43438297510147095	1e-06	186.8263931274414	56.66155385971069	63.8828125	0.9999990463256836	0.012443765997886658	0.0	0.9999990463256836	0.012443765997886658	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	158621	158621	158621	158621.0	158621	0	2	2.0	2	0.20438189197664322	0.3037691592800968	1011.0788702459065	78.44145727297291	158621	0.0	531.0	122.328125	54.0	0.0	0.0078125	16384.0	1116.8984375	2.0	0.0078125	16384.0	1116.8984375	2.0	3.401538848876953	0.0024917125701904297	0.00114610290620476	0.0010479565244168043	0.008152211084961891	0.0005140288849361241	0.06609535217285156	-0.14168977737426758	1.0006935596466064	3.1309854984283447	209.5214385986328	3.1314995288848877	210.11412048339844	0.0004206785232069369	0.4234515168471312	0.0745813241311277	0.06672844802960753	0.03995937400031835	0.008079530475242791	0.0038158289971761405	58.15246684901649	4.588993737846522	0.053934415976982564	-1	-1.0	-1	0.013810075004585087	58.15246684901649	-1	169	16384	0.0	0.0	0.0	0.0	60.53789920301642	3.150956182042137	2.765102544799447e-05		5.774199962615967e-05	78.44145727297291	5.237600998952985e-05		11.830164215003606	2.364968431997113	0	7	0.9998440146446228	0.3423495888710022	0.00248023122549057	0.007619613781571388	1					
8	0.5007328723485653	18.59890387608455	2.3201041204425006	3.093164226756646	0.8124343449106584	-0.3848324690479785	0.5007328723485653	1.4157449282132661	0.6287613081244322	0.36809635219665676	0.47048813047317356	54.972694396972656	-54.98186492919922	-7.426691183677087	-3.4656476699388943	-0.5415080247017053	-1.7485659477802424	-0.17854089960634995	-0.012982537728930765	0.32452554170651216	0.9090446159243584	3.1545727230035343	0.5470265837816092	0.7186287435201498	0.7330897748470306	-0.008023307461721392	0.30793732651867545	0.27372466910254356	0.34579498775733203	0.4676741441855064	0.7265218496322632	0.7579758190191709	3.0747804641723633	3.1802010536193848	-0.3848324716091156	1e-06	190.03729248046875	57.19501733779907	64.390625	0.9999990463256836	0.01810525357723236	0.0	0.9999990463256836	0.01810525357723236	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	214306	214306	214306	214306.0	214306	0	2	2.0	2	0.21397554110824704	0.31258323457272746	1060.7212815067417	101.01899704302195	214306	0.0	756.0	130.34375	44.0	0.0	0.0234375	16384.0	1543.921875	2.0	0.0234375	16384.0	1543.921875	2.0	372.3319091796875	0.00250399112701416	0.001013820176012814	0.0007726777112111449	0.005887832958251238	0.0018974598497152328	0.059957027435302734	-0.05131864547729492	1.001975178718567	2.9405691623687744	211.6195068359375	2.9424664974212646	211.88941955566406	0.0003300501851249077	0.39592814253990866	0.0738119809340342	0.07073173497337848	0.028997818008065224	0.008423872169259994	0.003947758988942951	73.72786704596365	7.124273224296758	0.10675329499645159	-1	-1.0	-1	0.017982812016271055	73.72786704596365	-1	154	16384	0.0	0.0	0.0	0.0	78.24411138502182	4.135420749953482	2.5641988031566143e-05		7.202598499134183e-05	101.01899704302195	4.828296368941665e-05		15.818350386049133	2.2640548369963653	0	8	0.9998781681060791	0.47341036796569824	0.0020193892996758223	0.006977046839892864	1					
9	0.6243091396366557	19.916435877482098	2.4987596354912966	3.283198870252818	0.8371346841255823	-0.46163972397334874	0.6243091396366557	1.2935476650794346	0.7015564441680908	0.46557722442472976	0.5691169002093375	63.94135665893555	-28.809003829956055	-7.922282775243123	-3.8197680339217186	-0.7146893204189837	-2.0231349893535175	-0.23484379751607776	-0.014120656584054814	0.39421922773666057	1.201224833377637	3.9346819588293633	0.5857775236169497	0.6955409521857897	0.714780293405056	-0.0108661404325782	0.33295884510152973	0.2958427980969039	0.3721865476691164	0.46858055392901105	0.704418383538723	0.7448106110095978	3.358813762664795	3.846733331680298	-0.4616397023200989	1e-06	191.95265579223633	57.19501733779907	64.390625	0.9999990463256836	0.006809358950704336	0.0	0.9999990463256836	0.006809358950704336	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	199674	199674	199674	199674.0	199674	0	2	2.0	2	0.21528615078679753	0.3200461983095094	1028.3098819343445	97.08843778900336	199674	0.0	538.0	136.1328125	51.0	0.0	0.03125	16384.0	1423.8203125	2.0	0.03125	16384.0	1423.8203125	2.0	2.541799545288086	0.0021729469299316406	0.0010958195198327303	0.0011079462710767984	0.00499044731259346	0.0018952366663143039	0.06121635437011719	-0.033600807189941406	1.0019491910934448	2.867671489715576	187.13360595703125	2.8695669174194336	188.09805297851562	0.00041390477987330844	0.41559045055397426	0.07353019286436081	0.08264602301642299	0.029308416007552296	0.0066248668135813205	0.004083584004547447	70.45025195699418	6.26499126540466	0.09164887602673844	-1	-1.0	-1	0.009677501977421343	70.45025195699418	-1	108	16384	0.0	0.0	0.0	0.0	75.74094402301125	3.8555476060137153	2.7919013518840075e-05		5.9281999710947275e-05	97.08843778900336	6.92229950800538e-05		14.68206772999838	2.2424179049558006	0	9	0.9998705983161926	0.22589874267578125	0.002080410486087203	0.007062425836920738	1					
10	0.5611119569678392	19.001056058066233	2.087900871544012	2.843808791932783	0.7991981074114197	-0.4176939642056823	0.5611119569678392	1.0637454688549042	0.7049441211690594	0.41998901231480495	0.5222159212654722	113.6206283569336	-26.375768661499023	-6.939799568482807	-3.490503741162164	-0.6303308098576963	-1.8626723978668451	-0.20652556595658617	-0.010244994935679383	0.36342138941732366	1.0297083965935079	4.481010031013284	0.5588545884404864	0.7384385424000877	0.7586937142269952	-0.009498930034169462	0.290269259629505	0.2537917414738331	0.3285537746809756	0.46398256506238666	0.7464560291596821	0.7860244661569595	2.9487357139587402	3.518953561782837	-0.41769397258758545	1e-06	185.3585433959961	57.19501733779907	64.390625	0.9999990463256836	0.0013057788601145148	0.0	0.9999990463256836	0.0013057788601145148	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	218872	218872	218872	218872.0	218872	0	2	2.0	2	0.2153557589767813	0.31396047129209276	1011.0855754824371	108.23614009900484	218872	0.0	425.0	130.421875	46.0	0.0	0.03125	16384.0	1579.515625	2.0	0.03125	16384.0	1579.515625	2.0	0.11688888072967529	0.0017396211624145508	0.0009904562029987574	0.001109920907765627	0.005020731594413519	0.0012262091040611267	0.03503990173339844	-0.06143522262573242	1.0012778043746948	2.8877739906311035	144.6722869873047	2.889000177383423	143.92112731933594	0.00033615190626664227	0.41628928932433745	0.07490214554178792	0.07357424002839252	0.028641104989219457	0.006761301015558274	0.0037095999578014016	78.95693129801657	7.358134948953648	0.070093029004056	-1	-1.0	-1	0.011287931993138045	78.95693129801657	-1	287	16384	0.0	0.0	0.0	0.0	84.1645359370159	4.72220204496989	2.5711022317409515e-05		5.8151024859398603e-05	108.23614009900484	4.881899803876877e-05		16.393982399022207	2.3724076059879735	0	10	0.9998911619186401	0.5169358849525452	0.0019125007092952728	0.006865347269922495	1					
