step	actor/distillation/abs_loss	actor/distillation/c4_budget	actor/distillation/c4_eps_missed	actor/distillation/c4_freeze_frac	actor/distillation/c4_hq_freeze	actor/distillation/c4_pi_tail	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.25220449158223346	13.796775589386622	0.38254973469884135	0.0003526506237297629	0.0003526506237297629	0.18417925047833705	1.463287162866133	2.131263540689057	0.7313379458064446	0.24695704755868064	0.25220449158223346	0.6765774277349313	0.3754085662464301	0.17360546110042682	0.2195772516230742	24.65451431274414	-3.82448774871591e-08	0.0	0.0	0.012061001732945442	0.0	0.0748030487447977	0.22862031310796738	1.111665611465772	2.8649828732013702	5.986138482888539	0.5306142506500086	0.8122775256633759	0.8243436614672343	-0.011830729607633353	0.2115275495792351	0.1801184279708347	0.24655720690983193	0.44379375129938126	0.8198815733194351	0.8515912592411041	2.2172815799713135	2.8279848098754883	0.24695704877376556	1e-06	208.39810180664062	42.96131086349487	49.958984375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177898	177898	177898	177898.0	177898	0	2	2.0	2	0.19701631912867518	0.15050084542471107	692.0899133975553	128.5223180949688	177898	0.0	516.0	122.5234375	44.0	0.0	0.015625	16384.0	1267.3046875	2.0	0.015625	16384.0	1267.3046875	2.0	1.1088383197784424	0.0017330646514892578	0.0009497207356616855	0.0010361885651946068	0.00798342190682888	0.0034168835263699293	0.07498550415039062	-0.03545522689819336	1.0035240650177002	2.959184408187866	288.2184753417969	2.9626011848449707	294.5287780761719	0.0006008039628929065	0.6372965022003416	0.08163589294060233	0.10688182339072227	6.951377373188734	4.196679514498101	0.006818775087594986	84.25121204555035	22.03355826534971	16.83110535889864	-1	-1.0	-1	0.014661580324172974	84.25121204555035	-1	137	16384	0.0	0.0	0.0	0.0	103.37905210442841	6.789139987900853	3.68952751159668e-05		0.00024803541600704193	128.5223180949688	5.4467469453811646e-05		14.522862082347274	3.111879548057914	0	1	0.9998207092285156	0.23006486892700195	0.0027217890601605177	0.008093636482954025	1					
2	0.2533778790384531	21.230819956461588	0.6140730400880178	0.0002391629100505573	0.0002391629100505573	0.34085097728917996	2.7925116175164777	3.84542713239789	1.10226207288603	0.24753196656820364	0.2533778790384531	0.7410303354263306	0.3656707844578174	0.191049354771773	0.2427114943663279	19.0638427734375	-3.82448774871591e-08	0.0	0.003702911292202771	0.0422348548968633	0.013044067472219468	0.12066162923971811	0.2842206060886383	0.9128348191579183	2.173212186495463	4.636032183965047	0.5939103722572326	0.6512292087078094	0.6736419975757599	-0.010221992215762535	0.38673247091161705	0.3371295843583842	0.4398502215432624	0.47533318201700847	0.6628704289595286	0.7097663342952728	3.799177646636963	3.2045822143554688	0.2475319653749466	1e-06	211.36196899414062	56.14655685424805	63.28125	0.9999990463256836	0.015106774866580963	0.0	0.9999990463256836	0.015106774866580963	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	234860	234860	234860	234860.0	234860	0	2	2.0	2	0.21489868053428735	0.3151076851000661	986.4302999580805	119.04541051201522	234860	0.0	743.0	127.7265625	47.0	0.0	0.0390625	16384.0	1707.1171875	2.0	0.0390625	16384.0	1707.1171875	2.0	3.260319232940674	0.002901434898376465	0.0013200639514252543	0.0011927057057619095	0.0063614207319915295	0.0036143579054623842	0.1002039909362793	-0.03295564651489258	1.0037106275558472	2.9272327423095703	217.4904022216797	2.93084716796875	219.96876525878906	0.00035709430321887353	0.42030580732602246	0.07674988259442476	0.08386716805398464	0.06791495345532894	0.010073116223793477	0.0037888213992118835	84.30689098872244	8.454362430609763	0.07509947381913662	-1	-1.0	-1	0.012954602017998695	84.30689098872244	-1	172	16384	0.0	0.0	0.0	0.0	91.84144226461649	5.338875148445368	3.8567930459976196e-05		7.046200335025787e-05	119.04541051201522	6.269104778766632e-05		18.0254774261266	3.2220513597130775	0	2	0.9998362064361572	0.19050484895706177	0.002486896701157093	0.0074569168500602245	1					
3	0.28420615792274473	13.7721848487854	0.3835166424512863	0.0005957717425189912	0.0005957717425189912	0.20589842535555364	1.7025561302900314	2.323145094513893	0.7085419505834579	0.2833242751657963	0.28420615792274473	0.7688872337341308	0.42632089257240297	0.12875583346467465	0.2652088403701782	19.86994171142578	-3.82448774871591e-08	0.0	0.0027995919808745384	0.013955461233854294	0.005143263190984726	0.057225736975669864	0.2241035820916295	1.3355394363403321	3.373182499408722	7.310336017608643	0.5418595671653748	0.7906409204006195	0.7982630133628845	-0.01410751948133111	0.23251278437674044	0.2020143337547779	0.26576667837798595	0.4355132520198822	0.7979856759309769	0.8263324856758117	2.3668789863586426	3.4842848777770996	0.283324271440506	1e-06	216.66725540161133	56.184789180755615	63.28125	0.9999990463256836	0.0169198177754879	0.0	0.9999990463256836	0.0169198177754879	0.0	1.0	0.0390625	0.0	1.0	0.0390625	0.0	162277	162277	162277	162277.0	162277	0	2	2.0	2	0.20504446888166594	0.30546430691976945	1034.5360255816665	78.42984487116337	162277	0.0	551.0	134.2265625	51.0	0.0	0.0078125	16384.0	1133.5625	2.0	0.0078125	16384.0	1133.5625	2.0	0.06461215019226074	0.0021092891693115234	0.0009705447591841221	0.0008879821980372071	0.006780447904020548	0.00379372900351882	0.10586929321289062	-0.05350685119628906	1.0039293766021729	2.6252453327178955	117.36561584472656	2.6290388107299805	118.48197174072266	0.0003965263872966072	0.4090030833384751	0.07382556805715587	0.06434711255133152	0.043988918885588646	0.008413719639065675	0.003907978534698486	56.618741599842906	4.812570908921771	0.1283759754151106	-1	-1.0	-1	0.014109816402196884	56.618741599842906	-1	135	16384	0.0	0.0	0.0	0.0	59.34471138007939	3.260117005556822	2.6173889636993408e-05		5.05298376083374e-05	78.42984487116337	4.576332867145538e-05		11.980191707611084	3.287562547251582	0	3	0.9998156428337097	0.3726986050605774	0.002613399177789688	0.008334736339747906	1					
4	0.2547954589438935	16.08720310529073	0.46088827525575954	0.00032816106371077086	0.00032816106371077086	0.25873027835041285	2.1092038887242475	2.839238961537679	0.7761379865308603	0.24943830678239465	0.2547954589438935	0.7224302142858505	0.3840677297363679	0.14096450545669845	0.2121942169032991	19.901752471923828	-2.842018886894948e-08	0.0	0.0	0.014222579232106606	0.0	0.08827351468304794	0.2644142160813014	1.0331036305675905	2.6911838203668594	5.778407633304596	0.5301286975542704	0.7356015046437582	0.7551688353220621	-0.01073666091542691	0.2893763678148389	0.25562705666137236	0.32563220569863915	0.4332700197895368	0.7443729564547539	0.786312480767568	2.8249223232269287	2.650947332382202	0.2494383007287979	1e-06	216.22098541259766	56.184789180755615	63.28125	0.9999990463256836	0.01832756958901882	0.0	0.9999990463256836	0.01832756958901882	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	188033	188033	188033	188033.0	188033	0	2	2.0	2	0.20229241886147503	0.30745450298731597	1035.197747984739	90.81984595023096	188033	0.0	529.0	130.09375	47.0	0.0	0.015625	16384.0	1338.9140625	2.0	0.015625	16384.0	1338.9140625	2.0	1.884110450744629	0.0019325017929077148	0.0010362655157223344	0.0011072388151660562	0.005718494765460491	0.0027470989152789116	0.061280250549316406	-0.0492711067199707	1.0028204917907715	2.8954474925994873	148.43959045410156	2.8981945514678955	149.63607788085938	0.0003418632653936055	0.3983228226130775	0.07673228364708945	0.06428157538175583	0.047405289486050606	0.008354327132110484	0.004095196723937988	64.70850881747901	5.91235979385965	0.07192588597536087	-1	-1.0	-1	0.013363910838961601	64.70850881747901	-1	86	16384	0.0	0.0	0.0	0.0	68.26496366225183	3.7539356406778097	2.8660520911216736e-05		5.330890417098999e-05	90.81984595023096	5.47356903553009e-05		14.42820149101317	3.7907817102968693	0	4	0.9998645186424255	0.21025162935256958	0.002188755664974451	0.007153513841331005	1					
5	0.3083113600150682	15.152509905397892	0.4323842785015586	0.0002750984549493296	0.0002750984549493296	0.23721563064464135	1.9766257946612313	2.6511459640751127	0.7775606217328459	0.29872743970918236	0.3083113600150682	0.6515476540662348	0.3440926349721849	0.23975946557038696	0.21956032351590693	20.421138763427734	-3.82448774871591e-08	0.0	0.0	0.08377326210029423	0.0022508883848786354	0.17792958160862327	0.3612875025719404	1.027767390012741	2.272525809446961	4.913845999166369	0.5084881680086255	0.7575460206717253	0.7771125547587872	-0.08430779689842893	0.2665912744778325	0.2345245491778769	0.3012533038017864	0.4249849710613489	0.7654754519462585	0.805721327662468	2.504389762878418	2.221280813217163	0.29872745275497437	1e-06	216.5512237548828	56.184789180755615	63.28125	0.9999990463256836	0.013499424792826176	0.0	0.9999990463256836	0.013499424792826176	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	245586	245586	245586	245586.0	245586	0	2	2.0	2	0.21294867459516084	0.3027953473126003	1042.4684826338462	117.79061146266758	245586	0.0	975.0	141.3671875	41.0	0.0	0.0234375	16384.0	1777.2734375	2.0	0.0234375	16384.0	1777.2734375	2.0	0.6055136919021606	0.0018547773361206055	0.0009008914930745959	0.0008759349002502859	0.006170493550598621	0.0012164446525275707	0.11458873748779297	-0.05289649963378906	1.0013178586959839	2.902353048324585	165.8205108642578	2.9035699367523193	165.89047241210938	0.00028662823699628613	0.39556237852519527	0.07671484910705585	0.07039188221096992	0.045040275901556015	0.009041049619554542	0.0038291458040475845	85.24140693619847	8.957928859832464	0.24420471861958504	-1	-1.0	-1	0.011996516957879066	85.24140693619847	-1	96	16384	0.0	0.0	0.0	0.0	89.9868810530752	5.060308152809739	2.580508589744568e-05		6.907433271408081e-05	117.79061146266758	5.976669490337372e-05		18.84009293280542	3.3286796677857637	0	5	0.999874472618103	0.16442221403121948	0.001912198611535132	0.006753037683665752	1					
6	0.2260712943971157	10.400544452667237	0.27084309943020346	0.0005079972470412031	0.0005079972470412031	0.1308268983848393	1.078421488404274	1.5665466889739037	0.576693082228303	0.23110798047855496	0.2260712943971157	0.7305103063583374	0.38549537062644956	0.11595001545747437	0.1773042193497531	18.226057052612305	-3.82448774871591e-08	0.0	0.0	0.006521318852901459	0.0	0.046504339575767516	0.17888461351394652	1.021432214230299	2.953591299057007	6.555560159683227	0.4916257977485657	0.8686724901199341	0.879598331451416	-0.008535704505629838	0.14983130246400833	0.12674447475001216	0.17743740659207105	0.4095712423324585	0.8732555091381073	0.9027943551540375	1.6149612665176392	2.1531472206115723	0.23110798001289368	1e-06	217.50154876708984	57.13154363632202	64.373046875	0.9999990463256836	0.0025789299979805946	0.0	0.9999990463256836	0.0025789299979805946	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	161514	161514	161514	161514.0	161514	0	2	2.0	2	0.2057074465364368	0.30331226175295284	1211.2480055964297	66.6725556012243	161514	0.0	756.0	125.8203125	53.0	0.0	0.0	11382.0	1136.0078125	2.0	0.0	11382.0	1136.0078125	2.0	0.557063102722168	0.0014948844909667969	0.0007340711890719831	0.0007231819326989353	0.004256281070411205	0.0010206501465290785	0.025696277618408203	-0.04646921157836914	1.001051425933838	2.5104384422302246	168.76675415039062	2.5114588737487793	170.0493927001953	0.0004396235922580444	0.3265394374347704	0.07419422959566399	0.07100536487996578	0.07145833037793636	0.009439885034225881	0.003864683210849762	44.93375630490482	4.86822954681702	0.14662009850144386	-1	-1.0	-1	0.015437396243214607	44.93375630490482	-1	66	11382	0.0	0.0	0.0	0.0	47.48177305795252	3.3126913961023092	2.5719404220581055e-05		5.746819078922272e-05	66.6725556012243	4.783645272254944e-05		11.983406798914075	3.3160382863134146	0	6	0.9998413324356079	0.11652141809463501	0.0022452075500041246	0.0072886524721980095	1					
7	0.23661721711978317	9.548023295402526	0.24878203719854355	0.000516358099412173	0.000516358099412173	0.1263335832860321	0.9938328566029668	1.4291263476014138	0.5094793641008437	0.23294943023938686	0.23661721711978317	0.7884334206581116	0.383280386030674	0.11827177254599519	0.1825647221878171	18.570331573486328	-3.82448774871591e-08	0.0	0.0	0.0	0.0	0.031063105538487436	0.20037911981344222	1.1576450496912003	2.933631408214569	6.0542098641395565	0.4955670744180679	0.8725796163082122	0.8849572896957397	-0.01212602661398705	0.1427662822417915	0.12284179306589067	0.16633017868734895	0.4163748860359192	0.8771582305431366	0.9070404052734375	1.3920027017593384	2.04848051071167	0.23294943571090698	1e-06	214.20532989501953	57.13154363632202	64.373046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160895	160895	160895	160895.0	160895	0	2	2.0	2	0.2078573376405682	0.30872869710974354	951.2824428734278	84.56741801835597	160895	0.0	531.0	122.328125	54.0	0.0	0.015625	16384.0	1134.6640625	2.0	0.015625	16384.0	1134.6640625	2.0	0.9035699367523193	0.0012525320053100586	0.000725383753888309	0.0008254820131696761	0.006588159129023552	0.002572549507021904	0.08642101287841797	-0.03342628479003906	1.0026518106460571	2.846904993057251	231.24070739746094	2.849477529525757	232.839599609375	0.0003971318059972417	0.4497834087056112	0.07595878717612514	0.06389652192592621	0.05443224497139454	0.009873196919215843	0.003998525440692902	61.76436638459563	4.6257010508852545	0.07636882551014423	-1	-1.0	-1	0.014868214726448059	61.76403943821788	-1	131	16384	0.0	0.0	0.0	0.0	65.32519293017685	3.316387016326189	2.5724992156028748e-05		5.92060387134552e-05	84.56741801835597	5.001947283744812e-05		12.221389062702656	3.1534935869276524	0	7	0.9998084902763367	0.11979693174362183	0.002178977942094207	0.007619096431881189	1					
8	0.20587236056962865	12.74077594280243	0.3593311170116067	0.00029156736854929477	0.00029156736854929477	0.20279114953882527	1.6889940634864615	2.247694431222044	0.6084471799113089	0.2041035055735847	0.20587236056962865	0.6715891235508025	0.30860014562495053	0.12189407115056383	0.18501075176754966	18.32365608215332	-3.82448774871591e-08	0.0	0.0	0.022771972813643515	0.006961516453884542	0.06282510633172933	0.18717524968087673	0.8573181540705264	2.2377927098423243	5.131600350141525	0.5009521134197712	0.7931789048016071	0.8028741646558046	-0.008955962260188244	0.2265510682227614	0.20022325519676087	0.25493040574474435	0.4087345218285918	0.7997767403721809	0.8268744144588709	2.2170495986938477	2.473003625869751	0.2041034996509552	1e-06	222.44417190551758	57.13154363632202	64.373046875	0.9999990463256836	0.008827400393784046	0.0	0.9999990463256836	0.008827400393784046	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	253220	253220	253220	253220.0	253220	0	2	2.0	2	0.21590258943091803	0.3217290943853215	999.1863811747517	126.71309616044164	253220	0.0	756.0	130.34375	44.0	0.0	0.03125	16384.0	1847.9375	2.0	0.03125	16384.0	1847.9375	2.0	1.0847501754760742	0.001687765121459961	0.0008229588274843991	0.0008085385197773576	0.00490996427834034	0.0016227364540100098	0.05733346939086914	-0.034287452697753906	1.0016728639602661	2.4521539211273193	123.275634765625	2.4537765979766846	122.65097045898438	0.0002562019633565146	0.4165069502155464	0.07615733225139554	0.06487546116113663	0.051646215841174126	0.008435247640591115	0.003973212093114853	92.96703221835196	9.695415575566585	0.04632801562547684	-1	-1.0	-1	0.03400343097746372	92.96703221835196	-1	155	16384	0.0	0.0	0.0	0.0	98.51888797618449	4.968947308138013	2.483278512954712e-05		6.248801946640015e-05	126.71309616044164	5.1993876695632935e-05		19.28455967269838	3.345462515950203	0	8	0.9998820424079895	0.277299165725708	0.0018405272858217359	0.0068465303629636765	1					
9	0.2920770136018594	18.7027880748113	0.5333024971187115	0.0003726268041646108	0.0003726268041646108	0.28536558865259093	2.2077878788113594	3.117596904436747	0.9853550295035044	0.2898045312613249	0.2920770136018594	0.6239760778844357	0.35744275028506917	0.1866467216362556	0.25052207335829735	29.10891342163086	-3.82448774871591e-08	0.0	0.0	0.027866750800361235	0.0065055435212949915	0.0855387574993074	0.3139812598625819	1.2065348600347836	2.8598474313815436	5.896537433067958	0.5453267022967339	0.7048399274547895	0.7177043582002322	-0.012603399770644804	0.326879171654582	0.28149736889948446	0.3732028976082802	0.43570792923371	0.7185026407241821	0.7568348521987597	3.1854872703552246	4.810849189758301	0.28980451822280884	1e-06	220.74530792236328	57.13154363632202	64.373046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186141	186141	186141	186141.0	186141	0	2	2.0	2	0.20962485620508248	0.29581976991844017	1039.7509264026469	89.51230303011835	186141	0.0	538.0	136.1328125	51.0	0.0	0.015625	16384.0	1318.09375	2.0	0.015625	16384.0	1318.09375	2.0	0.6003508567810059	0.0021222829818725586	0.001209767535328865	0.00136043771635741	0.005970391910523176	0.0020909460727125406	0.0682363510131836	-0.04334545135498047	1.0021620988845825	2.776190757751465	149.35275268554688	2.7782816886901855	149.52183532714844	0.0003349850338332167	0.40165122338127746	0.07421968328679712	0.062354449182748795	0.02950963005423546	0.008128364497679286	0.004148069769144058	64.0409725587815	5.720337870414369	0.12665530294179916	-1	-1.0	-1	0.012952374294400215	64.0409725587815	-1	95	16384	0.0	0.0	0.0	0.0	67.76498780399561	3.93048114515841	2.5812536478042603e-05		5.807913839817047e-05	89.51230303011835	4.667416214942932e-05		13.815326066687703	3.4257623720914125	0	9	0.9998195767402649	0.20165055990219116	0.0027317022904753685	0.008151138201355934	1					
10	0.3099422874987464	15.207127397710627	0.4243426343256777	0.00043798716929317874	0.00043798716929317874	0.21956679656233807	1.7651761935134842	2.5180901835503224	0.8454699791883203	0.30586587070138194	0.3099422874987464	0.7430154627019708	0.4238041910258206	0.18400162593884903	0.26135080138390715	18.124692916870117	-4.1561737162965073e-08	0.0	0.0	0.017402256500314583	0.0	0.07900564338673245	0.2995224954052405	1.3882275223731995	3.2955920804630625	6.842156345194036	0.559631117365577	0.7757095369425687	0.7978142960505052	-0.01638861139971678	0.2542471438302362	0.21535786914120597	0.294814958673669	0.45427580042318866	0.7846421274271879	0.8291597095402804	2.48079514503479	2.687101364135742	0.3058658838272095	1e-06	213.45340728759766	57.13154363632202	64.373046875	0.9999990463256836	0.05042077973484993	0.0	0.9999990463256836	0.05042077973484993	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	169250	169250	169250	169250.0	169250	0	2	2.0	2	0.20777501647594773	0.30902714432506523	988.2614736469716	85.63017203100026	169250	0.0	425.0	130.421875	46.0	0.0	0.015625	16384.0	1191.84375	3.0	0.015625	16384.0	1191.84375	3.0	1.0630760192871094	0.002615213394165039	0.0011064016725867987	0.0009294675546698272	0.004035955760627985	0.0005344261880964041	0.029785633087158203	-0.02830052375793457	1.00055992603302	2.3631534576416016	109.34304809570312	2.3636879920959473	108.57930755615234	0.0004708853438826748	0.4266042519156539	0.07542286384052857	0.07969734445214272	0.023495616391301155	0.006955078075407073	0.003995165228843689	61.364701768383384	4.946433043573052	0.16229027323424816	-1	-1.0	-1	0.013541527092456818	61.364701768383384	-1	102	16384	0.0	0.0	0.0	0.0	65.0810382552445	3.913505107164383	3.719888627529144e-05		6.214529275894165e-05	85.63017203100026	4.772655665874481e-05		12.76531970500946	3.29827200435102	0	10	0.9997813105583191	0.18224824965000153	0.0029116938821971416	0.008732425980269909	1					
