step	actor/distillation/abs_loss	actor/distillation/c4_budget	actor/distillation/c4_eps_missed	actor/distillation/c4_pi_tail	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.29008737206459045	15.279851603507996	0.40247157514095305	0.1945902042090893	1.60620988458395	2.2127505630254745	0.696626229584217	0.29277720116078854	0.29008737206459045	0.8669826924800873	0.502482470870018	0.13692027516590316	0.2575696833431721	16.097076416015625	-3.82448774871591e-08	0.0	0.0	0.011628934368491172	0.004801482427865267	0.05777530185878277	0.23252034559845924	1.3791939556598662	3.4987685799598696	7.352126860618592	0.5672552675008774	0.8030241072177887	0.8162947714328765	-0.014328190451487898	0.21954633817076682	0.19105769023299218	0.25090548396110535	0.45912781059741975	0.8092798292636871	0.8430774420499801	2.298405647277832	2.986851215362549	0.2927771806716919	1e-06	241.8425750732422	42.98122596740723	50.01953125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155491	155491	155491	155491.0	155491	0	2	2.0	2	0.19046292364677941	0.09631954247613618	616.682049803159	126.07063887268305	155491	0.0	516.0	122.5234375	44.0	0.0	0.0078125	16384.0	1092.25	2.0	0.0078125	16384.0	1092.25	2.0	0.8388818502426147	0.0021448135375976562	0.0009716476779431105	0.00087523995898664	0.005149874836206436	0.0022886896040290594	0.03391146659851074	-0.028571128845214844	1.0023267269134521	2.511521816253662	160.8490753173828	2.513810396194458	161.70692443847656	0.0006483011365296394	0.7260506680899492	0.08170651473967115	0.10080499202013016	10.125045608729124	6.862046476788237	0.00648128055036068	71.52112191356719	17.652027216361603	12.422174146398902	-1	-1.0	-1	0.013922851532697678	71.52112191356719	-1	90	16384	0.0	0.0	0.0	0.0	101.50769180431962	8.580066379159689	4.089437425136566e-05		0.0002550985664129257	126.07063887268305	6.402656435966492e-05		12.704627683386207	2.585671028122306	0	1	0.9997999668121338	0.15593713521957397	0.0029700561426579952	0.008524877019226551	1					
2	0.30434396759268234	17.539074074138295	0.4725219058719548	0.2545011914811436	2.0741127541458066	2.867816682312299	0.864039974223653	0.2982907268597046	0.30434396759268234	0.8371522399512205	0.42953852631829004	0.19001192748758264	0.24528895589438351	18.932220458984375	-3.82448774871591e-08	0.0	0.0	0.02418836070732637	0.008589272471991453	0.09747156433083794	0.3013528449968858	1.2927703965793957	3.129337939349088	6.475236356258392	0.5678819390860471	0.7409817224199121	0.7628110294992273	-0.013573707234834066	0.2887389574686743	0.25151231306583877	0.33034376246558333	0.4803545745936307	0.7488211528821425	0.7939511185342615	2.9353249073028564	3.183764696121216	0.2982907295227051	1e-06	239.99357223510742	55.78228998184204	62.693359375	0.9999990463256836	0.006577054504305124	0.0	0.9999990463256836	0.006577054504305124	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	173258	173258	173258	173258.0	173258	0	2	2.0	2	0.20469267716901096	0.30658259035382474	968.9533973808615	89.4047125838697	173258	0.0	743.0	127.7265625	47.0	0.0	0.015625	16384.0	1225.8515625	2.0	0.015625	16384.0	1225.8515625	2.0	1.0575597286224365	0.0024346113204956055	0.0011036748765036464	0.0009936806745827198	0.006936365272849798	0.003862913465127349	0.07521963119506836	-0.04825735092163086	1.0039639472961426	2.8563036918640137	167.1221160888672	2.860166549682617	168.48907470703125	0.000505602467863588	0.4339924590933288	0.07723409057982496	0.08759967237710953	0.029344791546463966	0.007500569568946958	0.0038635041564702988	64.67651123180985	5.120516058887006	0.12151901610195637	-1	-1.0	-1	0.01206439733505249	64.67651123180985	-1	70	16384	0.0	0.0	0.0	0.0	68.09732276387513	4.257053209468722	3.697536885738373e-05		6.244704127311707e-05	89.4047125838697	5.687214434146881e-05		13.381424065679312	3.0668918434530497	0	2	0.9998436570167542	0.17544865608215332	0.002422603080049157	0.0077072568237781525	1					
3	0.25245647348929195	11.660033214092255	0.2944908655481413	0.15389928669901565	1.276455618115142	1.7759156851097941	0.5841930253896862	0.24707203585421667	0.25245647348929195	0.7479869335889816	0.3297283247113228	0.11162202227860689	0.20062883645296098	18.5570011138916	-5.516241685654677e-08	0.0	0.0	0.0064351513981819155	0.0	0.04633832350373268	0.22131062094122173	1.1957445934414863	2.95083869099617	6.023273386061192	0.5569854944944381	0.8454254329204559	0.8587207555770874	-0.012536229223769624	0.17333515031496063	0.15038573128695135	0.2003112662467174	0.4459777235984802	0.8499451160430909	0.8803809285163879	1.7192704677581787	2.5336523056030273	0.2470720410346985	1e-06	243.2509536743164	56.190125465393066	63.15625	0.9999990463256836	0.002536717802286148	0.0	0.9999990463256836	0.002536717802286148	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	161856	161856	161856	161856.0	161856	0	2	2.0	2	0.2059276225999089	0.31346606758724976	972.0393743195923	83.25588668324053	161856	0.0	551.0	134.2265625	51.0	0.0	0.0078125	16384.0	1130.2734375	2.0	0.0078125	16384.0	1130.2734375	2.0	1.150697946548462	0.001454472541809082	0.0008038508240133524	0.0008829208672977984	0.006681965664029121	0.0024361219257116318	0.06572866439819336	-0.04390144348144531	1.0025289058685303	2.7337145805358887	189.41612243652344	2.7361507415771484	187.5201873779297	0.00043246079062819834	0.4396877565031866	0.07657742861252516	0.06999637372791767	0.04207574017345905	0.008646328511531465	0.003708072006702423	61.07316077686846	4.603520051983651	0.1284780465066433	-1	-1.0	-1	0.012571033090353012	61.07316077686846	-1	84	16384	0.0	0.0	0.0	0.0	63.61182617209852	3.3048174679279327	3.1303614377975464e-05		6.606802344322205e-05	83.25588668324053	6.111152470111847e-05		12.394516285508871	3.3318993635475636	0	3	0.9998103976249695	0.16112196445465088	0.0023818076588213444	0.007968730293214321	1					
4	0.2975104611653548	21.91274019388052	0.6057717547966883	0.3566622579326996	2.9571647277245154	3.9133211924479556	1.0142128696808448	0.2985519738867879	0.2975104611653548	0.798560000382937	0.4410138359436622	0.16654514034207052	0.30030674315415895	19.10109519958496	-3.82448774871591e-08	0.00025867085115840804	0.0017461647781041951	0.03964760426718455	0.008891971781849861	0.10042874285807976	0.29669021986998045	1.1985121873708873	3.004705731685345	6.299291042181162	0.614240783911485	0.6364788756920741	0.6592064499855042	-0.012480571400374174	0.39842858337439024	0.3534829364373134	0.44592526440437025	0.5046292841434479	0.6468448203343612	0.6939675349455613	3.8510525226593018	3.423811674118042	0.2985519766807556	1e-06	240.58168411254883	56.190125465393066	63.15625	0.9999990463256836	0.004279565066099167	0.0	0.9999990463256836	0.004279565066099167	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	198446	198446	198446	198446.0	198446	0	2	2.0	2	0.21178113631743975	0.3121639609331982	1120.1548422931187	88.57971795834601	198446	0.0	529.0	130.09375	47.0	0.0	0.0078125	16384.0	1420.265625	2.0	0.0078125	16384.0	1420.265625	2.0	1.127779245376587	0.002652764320373535	0.0013106509577482939	0.001295894500799477	0.005047489423304796	0.0024393806234002113	0.04362821578979492	-0.031836509704589844	1.0024871826171875	2.773650646209717	184.27194213867188	2.776090145111084	184.35455322265625	0.0004916591847142219	0.36885297109898435	0.07241717682350331	0.09756779856979847	0.028745561838150024	0.0075105709984200075	0.0035687796771526337	64.51168208383024	6.345228153892094	0.08016083016991615	-1	-1.0	-1	0.0122786033898592	64.51168208383024	-1	79	16384	0.0	0.0	0.0	0.0	67.05525702796876	3.8396246321499348	3.0308961868286133e-05		6.08246773481369e-05	88.57971795834601	5.951710045337677e-05		14.370899071916938	2.675184516236186	0	4	0.999815046787262	0.1607610583305359	0.0025162375532090664	0.007924042642116547	1					
5	0.22817845691187197	13.830489319913527	0.36534297912080277	0.19670296653844965	1.5945555248694934	2.1974567903465974	0.6574521125396987	0.22907269097777316	0.22817845691187197	0.7059562776018592	0.34951169175260205	0.13713693047140943	0.22261804605231567	22.6810302734375	-3.82448774871591e-08	0.0	0.0013394681188990088	0.02146613904658486	0.0017360996674088871	0.06483461751657374	0.22440573923728047	0.9598201197736403	2.393154386211844	5.261344951741836	0.5381324501598582	0.7991925267612233	0.8113304008455837	-0.009713845110073796	0.22180083643401946	0.19367289828882991	0.2511620719365858	0.4402679774691077	0.8065783802200767	0.8366459643139559	2.200011968612671	3.263728618621826	0.2290726900100708	1e-06	244.7710304260254	57.11685037612915	64.390625	0.9999990463256836	0.00353955733589828	0.0	0.9999990463256836	0.00353955733589828	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	274624	274624	274624	274624.0	274624	0	2	2.0	2	0.21771852058785046	0.3244794648724932	1183.168973665829	116.05442929640412	274624	0.0	975.0	141.3671875	41.0	0.0	0.015625	16384.0	2004.1328125	2.0	0.015625	16384.0	2004.1328125	2.0	0.3426400423049927	0.0022864341735839844	0.0009073068504221737	0.0008658106089569628	0.006304824259132147	0.0036675739102065563	0.06511688232421875	-0.043839454650878906	1.0037553310394287	2.632485866546631	122.380859375	2.636153221130371	123.26516723632812	0.00032991450404749623	0.3399919605073336	0.07258448522565945	0.0906024407595396	0.029474658891558647	0.007549385089077987	0.0040248241275548935	83.8876822758466	10.473167321062647	0.12489542178809643	-1	-1.0	-1	0.01350640133023262	83.8876822758466	-1	108	16384	0.0	0.0	0.0	0.0	87.21779763698578	5.11551764421165	2.7393922209739685e-05		6.128475069999695e-05	116.05442929640412	8.809193968772888e-05		19.9334416706115	3.113855054602027	0	5	0.9998670220375061	0.2742138206958771	0.0021620704792439938	0.007322073448449373	1					
6	0.24891014612064913	14.587568503159742	0.38941050664736676	0.20895973564340517	1.697671686943907	2.3296907948186765	0.691040710474436	0.24720592773519456	0.24891014612064913	0.7760937030498798	0.4347720868312396	0.11356808664165258	0.2597464076601542	29.614845275878906	-3.5073160375986845e-08	0.0007685954467608378	0.0018955391760055835	0.009813595563173294	0.004200275629185713	0.06523074897435996	0.21987368517483658	1.1085943098251636	2.929763654103646	6.455556291800279	0.5406544254376338	0.787484354697741	0.8010893899660844	-0.011518121513430603	0.23551253342212966	0.20626315109145182	0.26707248404048956	0.4472789741479434	0.7939984133610358	0.8259238509031442	2.3113956451416016	2.8696744441986084	0.2472059279680252	1e-06	242.1132698059082	57.11685037612915	64.390625	0.9999990463256836	0.008522644639015198	0.0	0.9999990463256836	0.008522644639015198	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	209472	209472	209472	209472.0	209472	0	2	2.0	2	0.20954753249260166	0.30615353445709065	1025.6795722414165	102.11376226507127	209472	0.0	756.0	125.8203125	53.0	0.0	0.0234375	16384.0	1510.6796875	2.0	0.0234375	16384.0	1510.6796875	2.0	0.2984468936920166	0.0015735626220703125	0.0008964420994743705	0.0010053942678496242	0.006098137237131596	0.001451642718166113	0.04868197441101074	-0.05198478698730469	1.00152587890625	2.65793514251709	117.96755981445312	2.65938663482666	117.44046020507812	0.00046643105828084603	0.406799417913268	0.0760765596172834	0.09770424664020538	0.06477876752614975	0.008827659257804044	0.003893524408340454	73.97589656710625	6.827728109652526	0.06761704385280609	-1	-1.0	-1	0.018162677064538002	73.97589656710625	-1	78	16384	0.0	0.0	0.0	0.0	78.66158304363489	4.18612427636981	2.6091933250427246e-05		7.934123277664185e-05	102.11376226507127	8.44709575176239e-05		15.93590909615159	2.694666527211666	0	6	0.9998677372932434	0.21263480186462402	0.002147670602425933	0.007411308586597443	1					
7	0.27697652119856614	15.082280415755053	0.39868885507950413	0.23009585159329268	1.9579907655715942	2.579604611946986	0.7117052536744338	0.2774265892803669	0.27697652119856614	0.7900809141305777	0.4506274599295396	0.1534672981271377	0.2685985920520929	18.387853622436523	-6.120465911862993e-08	3.083708669202259e-05	0.002309178073818867	0.02371883449646143	0.003851706591936258	0.05363448050159674	0.2378668595965092	1.2820904850959778	3.277151878063495	6.831692713957566	0.5776814887156854	0.7675745968635266	0.7823278720562274	-0.014206802973953577	0.25456808450130314	0.22626704464738184	0.2865598534162228	0.4792521710579212	0.773996176627966	0.8080606368871835	2.5760419368743896	2.7407612800598145	0.2774266004562378	1e-06	242.3947410583496	57.11685037612915	64.390625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215256	215256	215256	215256.0	215256	0	2	2.0	2	0.215632496867498	0.3181589154448614	1188.1189443716146	90.58688989840448	215256	0.0	531.0	122.328125	54.0	0.0	0.0078125	16384.0	1559.359375	2.0	0.0078125	16384.0	1559.359375	2.0	3.459360122680664	0.0020394325256347656	0.0010248292237520218	0.001029104576446116	0.005343438591808081	0.0037962733767926693	0.054467201232910156	-0.018657207489013672	1.0038573741912842	2.513298273086548	200.766357421875	2.517094612121582	204.55416870117188	0.0004588335526951155	0.34114302219553216	0.07041977760457625	0.09876667521893978	0.04151054657995701	0.007827080800780095	0.003977678716182709	65.64318045973778	7.469295945891645	0.22780023515224457	-1	-1.0	-1	0.013411268591880798	65.64318045973778	-1	80	16384	0.0	0.0	0.0	0.0	68.09146494418383	3.9969734847545624	2.7958303689956665e-05		7.103756070137024e-05	90.58688989840448	5.768798291683197e-05		15.158279648050666	2.679963819682598	0	7	0.999821662902832	0.43990588188171387	0.0026288949884474277	0.00845478754490614	1					
8	0.28291675746440886	11.639511775970458	0.2928366459906101	0.13565956857055425	1.0894465193152427	1.6197768151760101	0.6097883120179176	0.2866389090195298	0.28291675746440886	0.7861498594284058	0.46895667016506193	0.09477060675853863	0.23853142438456415	21.24295997619629	-3.82448774871591e-08	0.0	0.0	0.010575110092759132	0.004106619209051132	0.04014514270238578	0.22081865519285201	1.4032687067985534	3.4124328255653382	6.723648357391357	0.5109354376792907	0.8636871099472045	0.8810042858123779	-0.013950767181813716	0.15586747154593467	0.13229521978646516	0.18484666459262372	0.4186027318239212	0.8680015504360199	0.9050273954868316	1.7212084531784058	3.0230607986450195	0.28663888573646545	1e-06	245.72509002685547	57.11685037612915	64.390625	0.9999990463256836	0.011068458668887615	0.0	0.9999990463256836	0.011068458668887615	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	156089	156089	156089	156089.0	156089	0	2	2.0	2	0.20180202692092966	0.2939721673037185	1009.3800037353535	77.31924519129097	156089	0.0	756.0	130.34375	44.0	0.0	0.0078125	16384.0	1089.1015625	2.0	0.0078125	16384.0	1089.1015625	2.0	1.1092255115509033	0.0015642642974853516	0.0008467400912195444	0.0009134650463238358	0.0048630572855472565	0.002441959222778678	0.06403160095214844	-0.04912090301513672	1.0024948120117188	2.4302549362182617	75.38402557373047	2.43269681930542	75.75821685791016	0.00046495580698191626	0.42199438030898223	0.07497630980696365	0.07257448695600033	0.03379574976861477	0.007981545830261894	0.0035954490303993225	56.320116175338626	4.448565902072005	0.06889703497290611	-1	-1.0	-1	0.013018615543842316	56.320116175338626	-1	189	16384	0.0	0.0	0.0	0.0	58.82812658697367	3.1855926793068647	3.181584179401398e-05		7.316656410694122e-05	77.31924519129097	5.58365136384964e-05		11.70297722145915	3.0345872323960066	0	8	0.9998012185096741	0.21331310272216797	0.0025608455762267113	0.008186041377484798	1					
9	0.264917084161425	15.074075892567635	0.3967696894360415	0.20407442144642118	1.6941413269378245	2.3677475105505437	0.745777212549001	0.26578141542267986	0.264917084161425	0.7494017388671637	0.3983871611417271	0.17472316477142158	0.2343874592334032	19.70721435546875	-9.043887416737562e-08	0.0	0.0016983910463750362	0.011259741149842739	0.005026223370805383	0.06391318218084052	0.24845593702048063	1.2485178876668215	3.0241026543080807	6.12058886513114	0.5542729012668133	0.7937295902520418	0.8144301455467939	-0.014760342572117224	0.22967350687395083	0.20024800064857118	0.263867697223759	0.4715138264000416	0.7999654710292816	0.8380775153636932	2.4296321868896484	2.817599296569824	0.2657814025878906	1e-06	244.11692810058594	57.11685037612915	64.390625	0.9999990463256836	0.0022961427457630634	0.0	0.9999990463256836	0.0022961427457630634	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	259570	259570	259570	259570.0	259570	0	2	2.0	2	0.21958191434725421	0.3268801923512565	1083.6967810832598	119.76135969534516	259570	0.0	538.0	136.1328125	51.0	0.0	0.03125	16384.0	1891.7578125	2.0	0.03125	16384.0	1891.7578125	2.0	3.296133041381836	0.002069711685180664	0.0009988840902224183	0.0009639759664423764	0.006817033514380455	0.0028748949989676476	0.14522552490234375	-0.05140495300292969	1.0030370950698853	2.5265262126922607	210.33551025390625	2.5294010639190674	208.26573181152344	0.0003114013100995825	0.38161680976805784	0.07314899608452093	0.08083043806254864	0.043393149971961975	0.00885380599356722	0.00383906252682209	86.7999112084508	9.583865572072682	0.13772873394191265	-1	-1.0	-1	0.01589607447385788	86.7999112084508	-1	127	16384	0.0	0.0	0.0	0.0	92.40660240128636	4.885559352114797	3.6990270018577576e-05		6.275251507759094e-05	119.76135969534516	5.909241735935211e-05		18.987284913659096	2.8742750510573387	0	9	0.9998283386230469	0.30432432889938354	0.0025261766277253628	0.008064396679401398	1					
10	0.2360272335499758	14.19230879843235	0.37418854628049303	0.20103779880446382	1.6828113268129528	2.3058563269441947	0.687579883786384	0.2360273263329873	0.2360272335499758	0.700928496196866	0.32930299546569586	0.14507128469631425	0.21689620008692145	18.852581024169922	-3.82448774871591e-08	0.0	0.0036745270481333137	0.01760285021737218	0.006408526562154293	0.05742778140120208	0.23243292700499296	1.028384036384523	2.446796802803874	5.508029535412788	0.5574799217283726	0.7962340284138918	0.8076763916760683	-0.010391112393335789	0.22586425353074446	0.19766257241280982	0.25777158639539266	0.4605450574308634	0.8025522157549858	0.8312883842736483	2.356199026107788	3.168731689453125	0.2360273152589798	1e-06	242.5694808959961	57.11685037612915	64.390625	0.9999990463256836	0.004856124985963106	0.0	0.9999990463256836	0.004856124985963106	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	264834	264834	264834	264834.0	264834	0	2	2.0	2	0.21631988921685122	0.32508214920602846	1097.9430380463361	120.60461737215519	264834	0.0	425.0	130.421875	46.0	0.0	0.0390625	16384.0	1938.59375	2.0	0.0390625	16384.0	1938.59375	2.0	3.20355224609375	0.002118349075317383	0.0009378138929605484	0.0008184348698705435	0.005424211733043194	0.0034510064870119095	0.09975481033325195	-0.024185657501220703	1.0035550594329834	2.2731680870056152	99.88170623779297	2.2766191959381104	100.8188247680664	0.00025474230762369466	0.3715727034035328	0.07552401889268474	0.06746442429721355	0.027942104265093803	0.006997511824010871	0.004121581092476845	85.57747527211905	9.911973105496145	0.07543332315981388	-1	-1.0	-1	0.013232400640845299	85.57747527211905	-1	120	16384	0.0	0.0	0.0	0.0	92.20205062255263	4.889511331915855	3.94526869058609e-05		6.35441392660141e-05	120.60461737215519	7.401406764984131e-05		20.001328019425273	2.8897107113152742	0	10	0.9998573064804077	0.15253734588623047	0.0023431212175637484	0.0078021506778895855	1					
