step	actor/distillation/abs_loss	actor/distillation/c4_budget	actor/distillation/c4_eps_missed	actor/distillation/c4_freeze_frac	actor/distillation/c4_hq_freeze	actor/distillation/c4_pi_tail	actor/distillation/c4_rep_freeze	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.27738758381456136	14.394304466247558	0.4006554871797562	0.29571659974753856	0.0005179173676879145	0.20725232744589447	0.29519868083298206	1.6751031927764415	2.3618440558202565	0.7677734213881194	0.27188179962104186	0.27738758381456136	0.7373534619808197	0.3805967092514038	0.1355783080245601	0.24964719829149545	16.138198852539062	-3.82448774871591e-08	0.0	0.0008841834031045436	0.010103682801127434	0.002333688922226429	0.0625647597014904	0.2636411592364311	1.2652375102043152	3.1154428482055665	6.49820374250412	0.5370965451002121	0.7912155985832214	0.8046345293521882	-0.012685116875218228	0.2344700974121224	0.2015073650982231	0.2718951592454687	0.43857080936431886	0.7984926462173462	0.8339118659496307	2.3753502368927	2.501248598098755	0.2718818187713623	1e-06	235.05414581298828	44.37423849105835	51.669921875	0.9999990463256836	0.0037765465676784515	0.0	0.9999990463256836	0.0037765465676784515	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	167144	167144	167144	167144.0	167144	0	2	2.0	2	0.19931383783256046	0.16192898244465145	630.6661373112896	132.51385329850018	167144	0.0	516.0	122.5234375	44.0	0.0	0.015625	16384.0	1183.2890625	2.0	0.015625	16384.0	1183.2890625	2.0	0.4754490852355957	0.0022881031036376953	0.0010623002890497446	0.000985067104920745	0.009015376679599285	0.004360577091574669	0.0873575210571289	-0.06864261627197266	1.0045528411865234	2.596465587615967	94.13371276855469	2.600825786590576	95.49822235107422	0.0006592129455894576	0.7238162712217312	0.08052528812831951	0.1101834885776043	10.312953788787127	6.446044211726985	0.006816452369093895	78.29366689547896	17.996592497234815	12.13031043484807	-1	-1.0	-1	0.012899763882160187	78.29366689547896	-1	205	16384	0.0	0.0	0.0	0.0	109.62993625551462	5.959368426352739	3.762170672416687e-05		0.0003328043967485428	132.51385329850018	5.636177957057953e-05		13.459318758919835	2.764332478865981	0	1	0.9998143911361694	0.4958636164665222	0.002624099375680089	0.00841161236166954	1					
2	0.2776762381196022	15.271796178817748	0.431340953707695	0.2793184921145439	0.0004155014743446372	0.22284540943801404	0.27890298925340173	1.7598796129226684	2.503829871118069	0.8167260020971299	0.2776218937942758	0.2776762381196022	0.7242415353655816	0.4161742730997503	0.17626479766331613	0.23132371092215182	19.774316787719727	-3.82448774871591e-08	0.0	0.0	0.016740677505731584	0.0	0.09604794811457396	0.273605141043663	1.156729723419994	3.0604782670736315	6.387966275215149	0.5223605617880821	0.7739254981279373	0.7824473559856415	-0.013244926009792834	0.25046979524195195	0.21627787752076982	0.28725949916988613	0.44354678988456725	0.7837221264839173	0.8157448172569275	2.4318394660949707	3.104525327682495	0.27762189507484436	1e-06	239.50163650512695	57.16985368728638	64.294921875	0.9999990463256836	0.0029986135195940733	0.0	0.9999990463256836	0.0029986135195940733	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	158748	158748	158748	158748.0	158748	0	2	2.0	2	0.20088784514396588	0.30478323804009844	955.4626035487388	83.07389499619603	158748	0.0	743.0	127.7265625	47.0	0.0	0.0078125	16384.0	1112.4921875	2.0	0.0078125	16384.0	1112.4921875	2.0	0.8410652875900269	0.0022842884063720703	0.0010354126570746303	0.0009328820742666721	0.006327235605567694	0.004240831360220909	0.0871133804321289	-0.019622802734375	1.0043258666992188	2.7564048767089844	182.57879638671875	2.760645627975464	186.3648681640625	0.0004316417306401032	0.44824508219897286	0.07761587424787933	0.0685222614556551	0.03154088370501995	0.007946957150124945	0.003618905320763588	61.0222058724612	4.539302195174969	0.08241174183785915	-1	-1.0	-1	0.011235224083065987	61.0222058724612	-1	207	16384	0.0	0.0	0.0	0.0	63.82965146005154	3.7422404661774635	4.065781831741333e-05		6.342492997646332e-05	83.07389499619603	5.2671879529953e-05		12.321364805102348	2.564442778006196	0	2	0.999810516834259	0.20810973644256592	0.0027979067526757717	0.008372489362955093	1					
3	0.27679887428306615	19.745547954852764	0.5831835315777705	0.2021545022009657	0.00039981237820869026	0.3525870397928744	0.20175468971809515	2.925141152710869	3.806530475150794	0.931732141224739	0.2697571624594275	0.27679887428306615	0.7124833785570585	0.3526889102963301	0.17977785261777732	0.25239558861805844	19.61100959777832	-3.82448774871591e-08	0.0	0.0	0.03613280218381148	0.0022032205015420914	0.12307505768079025	0.298689441039012	1.0325854168488429	2.612195372581482	5.833316429392793	0.5750773755403665	0.6396284447266505	0.6532321664003226	-0.010722926408141995	0.3932922045351006	0.34873332994175144	0.4392633874533483	0.44472838365114653	0.6512666848989633	0.689202911578692	3.7511391639709473	6.079230785369873	0.2697571814060211	1e-06	237.5495834350586	57.16985368728638	64.294921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192187	192187	192187	192187.0	192187	0	2	2.0	2	0.2030716030839829	0.31536788598008714	995.6528551690446	96.51305623352528	192187	0.0	551.0	134.2265625	51.0	0.0	0.015625	16384.0	1367.234375	2.0	0.015625	16384.0	1367.234375	2.0	0.7108449935913086	0.0021638870239257812	0.001175934448838234	0.0012692956952378154	0.007683932781219482	0.003299265867099166	0.09900188446044922	-0.05602455139160156	1.0034351348876953	2.859562397003174	156.20521545410156	2.8628616333007812	157.32662963867188	0.0004611438152979093	0.42495742570412803	0.07868861931916571	0.0886258464306593	0.028923748061060905	0.007294000926776789	0.0038344450294971466	70.72519995085895	6.098931831045775	0.14668729901313782	-1	-1.0	-1	0.013738377019762993	70.72519995085895	-1	234	16384	0.0	0.0	0.0	0.0	74.37009924277663	3.9750962667167187	4.07882034778595e-05		5.338899791240692e-05	96.51305623352528	6.0014426708221436e-05		15.1229296810925	2.393741277977824	0	3	0.9998829960823059	0.15181857347488403	0.002008211798965931	0.006871835794299841	1					
4	0.27193621259469253	22.74487928243784	0.6780212452778449	0.12415287006073274	0.00037251431450176123	0.4189832646113176	0.12378035320972021	3.479993026990157	4.472541900781485	1.0455609582937682	0.2670900225639343	0.27193621259469253	0.7602125658438756	0.4207673817873001	0.1771785284464176	0.27016118283455187	24.214744567871094	-3.82448774871591e-08	0.0017886730627371715	0.0036020389256569054	0.054324543819977686	0.00875953040443934	0.11176142225471827	0.28604816588071674	1.0123674388115222	2.4716774912980886	5.3953564533820515	0.5881454692437098	0.5704484031750605	0.5830923410562369	-0.010369105980946468	0.4664311764331964	0.415180290547701	0.5165129046027477	0.4553921062212724	0.5848197180491227	0.6238044225252591	4.536673545837402	4.01039981842041	0.2670900225639343	1e-06	242.14636993408203	57.16985368728638	64.294921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198816	198816	198816	198816.0	198816	0	2	2.0	2	0.20843895119248612	0.3146436786249148	972.5739751332397	102.21124823577702	198816	0.0	529.0	130.09375	47.0	0.0	0.03125	16384.0	1423.15625	2.0	0.03125	16384.0	1423.15625	2.0	0.17144346237182617	0.002407550811767578	0.0013170482125133276	0.0014312347630038857	0.005479157902300358	0.002251849975436926	0.05041694641113281	-0.06697440147399902	1.0023174285888672	3.10857892036438	176.99574279785156	3.110830545425415	178.9744415283203	0.0003211670507956161	0.4388402581867839	0.07721364787481	0.06385314837098122	0.03417356126010418	0.007955321110785007	0.00383058562874794	74.52734584920108	6.353905221796595	0.08031648397445679	-1	-1.0	-1	0.013394156470894814	74.52734584920108	-1	133	16384	0.0	0.0	0.0	0.0	79.9408967923373	3.92549517005682	2.396106719970703e-05		5.815736949443817e-05	102.21124823577702	5.754828453063965e-05		15.351308615878224	2.3977425526827574	0	4	0.9998610615730286	0.15206265449523926	0.001997041516005993	0.006763136480003595	1					
5	0.2612682977183299	15.204971053383566	0.4314897791905837	0.28887146431952715	0.00048107689045454293	0.23177875961515715	0.28839038718830456	1.8851294241506944	2.600268965756351	0.7804109085859223	0.25685719965258613	0.2612682977183299	0.7306868826801126	0.3872146660631353	0.1538468316536058	0.22692801329222592	18.644203186035156	-3.82448774871591e-08	0.0	0.0	0.014384674077684229	0.0019349350847981193	0.08069547333500603	0.23821759918196636	1.121642687103965	2.875426330349662	6.394274993376299	0.5553571636026556	0.7650569135492499	0.7823502421379089	-0.011985105896283958	0.2597051889169961	0.22704823266460814	0.2963973199102012	0.4517986205491153	0.7729517465287988	0.8116694959727201	2.604555606842041	2.996142864227295	0.2568572163581848	1e-06	244.5413589477539	57.16985368728638	64.294921875	0.9999990463256836	0.004726029466837645	0.0	0.9999990463256836	0.004726029466837645	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	178060	178060	178060	178060.0	178060	0	2	2.0	2	0.207709266931774	0.30698431891899375	1030.1850975955533	86.42136273160577	178060	0.0	975.0	141.3671875	41.0	0.0	0.015625	16384.0	1249.7265625	2.0	0.015625	16384.0	1249.7265625	2.0	0.20932936668395996	0.0017796754837036133	0.0009924840414896607	0.0010938284685835242	0.007415056694298983	0.0016407407820224762	0.06996297836303711	-0.09485912322998047	1.0017625093460083	2.8578600883483887	151.60768127441406	2.8595008850097656	151.82423400878906	0.00038571598425241423	0.4144496436991808	0.07546022951755245	0.06868058815598488	0.041879888623952866	0.00845817472145427	0.0035811420530080795	62.802847899496555	5.342538930097362	0.053181979805231094	-1	-1.0	-1	0.013189181685447693	62.802847899496555	-1	102	16384	0.0	0.0	0.0	0.0	66.29743725433946	3.635887026786804	5.2036717534065247e-05		7.366016507148743e-05	86.42136273160577	8.791685104370117e-05		13.436448467895389	2.3009404726326466	0	5	0.9998435378074646	0.12434500455856323	0.002378982724621892	0.007654752116650343	1					
6	0.2750443115153096	14.797514286908237	0.41061123344115913	0.27255170165815135	0.00046820443094475195	0.20200189663393592	0.27208349548957567	1.599993473511528	2.333758604035459	0.8108278038826856	0.2792330677912105	0.2750443115153096	0.8155023726550016	0.43912498923865234	0.13741573906215557	0.2766431976448406	22.284706115722656	-2.2733082971626573e-08	0.0	0.0	0.017791078849272293	0.0007035472345623103	0.06771483780308203	0.2787313000722365	1.171489493413405	2.989174582741477	6.224212982437828	0.544410608031533	0.794474409385161	0.8091144453395497	-0.01361339753731789	0.2300742656542835	0.19684536150783638	0.2669008801881732	0.45333138650113886	0.803154625675895	0.8399597948247736	2.3284912109375	2.671135902404785	0.27923303842544556	1e-06	244.76939392089844	57.16985368728638	64.294921875	0.9999990463256836	0.041250504553318024	0.0	0.9999990463256836	0.041250504553318024	0.0	1.0	0.0390625	0.0	1.0	0.0390625	0.0	165800	165800	165800	165800.0	165800	0	2	2.0	2	0.2075515554963005	0.31299418890610675	956.059931021193	86.7100453749299	165800	0.0	756.0	125.8203125	53.0	0.0	0.0078125	16384.0	1169.4921875	2.0	0.0078125	16384.0	1169.4921875	2.0	2.1602466106414795	0.002537250518798828	0.0010187301086261868	0.000771095510572195	0.005911950021982193	0.00032825276139192283	0.08669471740722656	-0.06396198272705078	1.0004196166992188	2.765227794647217	145.28390502929688	2.7655563354492188	145.07066345214844	0.00040291100785369897	0.45066506734169565	0.07662271578606349	0.06680264510214329	0.06266828626394272	0.009704492578748614	0.003800494596362114	64.82041171565652	5.01438001418137	0.07885564304888248	-1	-1.0	-1	0.012291057035326958	64.82041171565652	-1	171	16384	0.0	0.0	0.0	0.0	67.46230725571513	3.4056525081396103	3.9614737033843994e-05		7.370114326477051e-05	86.7100453749299	5.373358726501465e-05		12.704046277329326	2.4974446948617697	0	6	0.9997865557670593	0.12175062298774719	0.002873787423595786	0.008412286639213562	1					
7	0.29575063509400934	15.831709850918163	0.4484267453874715	0.2790183448669268	0.0005681218052896755	0.2668123627557758	0.2784502218392762	2.1056567344560544	2.8146883537569507	0.8215511225756597	0.2939028868859168	0.29575063509400934	0.7083238769661296	0.37193596363067627	0.1367986921792511	0.2457009811292995	16.047439575195312	-3.82448774871591e-08	0.0	0.007704178548671983	0.02868065576661717	0.013703479346903887	0.09526579488407481	0.31227679550647736	1.2300330779769204	2.8274647051637825	5.9027876935221935	0.5340139324014838	0.7434417388655923	0.7524729804559187	-0.013826250602671114	0.28232578424186533	0.2482029037359594	0.3199055540819906	0.4386073350906372	0.7517970962957903	0.7906318496574055	2.785158395767212	3.535396099090576	0.2939028739929199	1e-06	245.25050354003906	57.16985368728638	64.294921875	0.9999990463256836	0.008426996879279613	0.0	0.9999990463256836	0.008426996879279613	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	165296	165296	165296	165296.0	165296	0	2	2.0	2	0.19600981405365933	0.3094945868195779	995.5733517338385	83.01548033207655	165296	0.0	531.0	122.328125	54.0	0.0	0.0078125	16384.0	1169.046875	3.0	0.0078125	16384.0	1169.046875	3.0	14.346631050109863	0.0022679567337036133	0.0010499539785087109	0.0009689258877187967	0.004962289240211248	0.001486512366682291	0.03532552719116211	-0.04738426208496094	1.0015294551849365	2.665496349334717	97.87313079833984	2.666982650756836	97.94062805175781	0.000423085068080002	0.4260449991193581	0.07886307879899451	0.06993426941335201	0.041327785700559616	0.00853812308923807	0.003906792029738426	61.0648752450943	4.8048423128639115	0.242526363581419	-1	-1.0	-1	0.012262977659702301	61.0648752450943	-1	119	16384	0.0	0.0	0.0	0.0	63.75252157822251	3.292958391830325	4.759989678859711e-05		5.2751973271369934e-05	83.01548033207655	6.742589175701141e-05		13.035751473158598	2.3140252958983183	0	7	0.9998271465301514	0.17911067605018616	0.0025806839112192392	0.007946604862809181	1					
8	0.2718749019232663	11.615145618265325	0.3132438009858809	0.3259529042142359	0.0004834190608975901	0.17257030450061642	0.3254694905640049	1.4121433598074047	1.910927172411572	0.6159772635860876	0.27703935373574495	0.2718749019232663	0.8562089204788208	0.4470196745612405	0.10865640473044054	0.21037400818683885	20.17764663696289	-3.82448774871591e-08	0.0	0.0	0.011850649660283869	0.005158069797537543	0.049909372221339836	0.22418131882494147	1.2541326040571386	3.3070277842608364	7.15197788585316	0.49765692244876514	0.8296765034848993	0.839496826583689	-0.016875122250481087	0.18946555210277438	0.16497441118752415	0.21790236607193947	0.4207049608230591	0.8350255787372589	0.8675333586606112	1.8935497999191284	2.662172317504883	0.2770393490791321	1e-06	244.44223022460938	57.16985368728638	64.294921875	0.9999990463256836	0.002849217038601637	0.0	0.9999990463256836	0.002849217038601637	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	160934	160934	160934	160934.0	160934	0	2	2.0	2	0.20443470312911385	0.3054000720602668	1172.533618321972	68.62660374306142	160934	0.0	756.0	130.34375	44.0	0.0	0.0	12801.0	1126.953125	2.0	0.0	12801.0	1126.953125	2.0	1.2723686695098877	0.001578211784362793	0.0008297082385979593	0.0008714188588783145	0.0062426733784377575	0.0022557880729436874	0.05318021774291992	-0.06197643280029297	1.0023285150527954	2.6360836029052734	112.03545379638672	2.6383397579193115	112.46685791015625	0.00039877501873689916	0.3500759605466803	0.07410709421381668	0.06417645886540413	0.04205307550728321	0.008927289905841462	0.003966972231864929	48.54710558615625	4.706633087451337	0.07977289147675037	-1	-1.0	-1	0.011187892407178879	48.54710558615625	-1	137	12801	0.0	0.0	0.0	0.0	50.49845730885863	3.1533231269568205	7.059238851070404e-05		5.4933130741119385e-05	68.62660374306142	6.56377524137497e-05		11.926351100206375	2.4629110395908356	0	8	0.9998259544372559	0.14682263135910034	0.002373351948335767	0.007765684276819229	1					
9	0.2558197415006968	12.558756828308105	0.3427985608577728	0.34163131083672243	0.00034095528462785296	0.17661071774394563	0.34129035465108853	1.4367893575690687	2.0331358705104017	0.6721624749479815	0.2534972341818502	0.2558197415006968	0.702393519381682	0.39038790483027697	0.1537509343276421	0.23398569598793983	23.464664459228516	-7.014630654111897e-08	0.0	0.0	0.012510652343432108	0.0	0.061083084593216576	0.22703696539004645	1.1650065730015438	2.962620367606481	6.2437231838703156	0.5037245793888966	0.8234506522615751	0.8408415466547012	-0.013149416804177841	0.19729550977353938	0.17073669197755711	0.2289773372710139	0.42886879791816074	0.829263299703598	0.8654333104689916	1.9963414669036865	2.1637890338897705	0.2534972131252289	1e-06	243.68135833740234	57.16985368728638	64.294921875	0.9999990463256836	0.007903973571956158	0.0	0.9999990463256836	0.007903973571956158	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	188225	188225	188225	188225.0	188225	0	2	2.0	2	0.2071727494507819	0.3085137321788989	1018.8716541929219	92.36933779902756	188225	0.0	538.0	136.1328125	51.0	0.0	0.015625	16384.0	1334.375	2.0	0.015625	16384.0	1334.375	2.0	1.6528465747833252	0.001711130142211914	0.0008922589477151632	0.0009344319114461541	0.005684921517968178	0.0015068160137161613	0.06784391403198242	-0.05053901672363281	1.0015798807144165	2.4524126052856445	116.36839294433594	2.4539191722869873	117.42396545410156	0.00037091710578874377	0.4180187336768981	0.07546653787260718	0.0698158722370863	0.02606857195496559	0.006699660618323833	0.003841254860162735	67.94632760994136	5.8714967498672195	0.12444981932640076	-1	-1.0	-1	0.010486496612429619	67.94632760994136	-1	115	16384	0.0	0.0	0.0	0.0	71.3975997120142	3.8286618664860725	4.5552849769592285e-05		6.66007399559021e-05	92.36933779902756	5.739741027355194e-05		14.204689091071486	2.2671268600970507	0	9	0.9998201727867126	0.17848119139671326	0.0025592022575438023	0.008056765422224998	1					
10	0.27290822731863174	14.360295883246831	0.40386440466889845	0.2895713819723044	0.00038745449637644924	0.2509371333445805	0.28918392716773916	1.881326227349096	2.505772094990659	0.7736146197629361	0.2694320368464105	0.27290822731863174	0.6660226940044335	0.34583394482199636	0.15887530605375236	0.2554549523296633	20.653793334960938	-3.82448774871591e-08	0.0	0.0	0.019806681466954097	0.00420164263674191	0.08609063471002239	0.2667754590511322	1.160033451659339	2.8445386716297696	6.042417598622186	0.5120146790785449	0.7727420393909726	0.7889256179332733	-0.036469910769873035	0.25028747239308097	0.21983957615780778	0.2845312679980582	0.43390667864254545	0.7801604079348701	0.8171579177890506	2.472153902053833	2.863008737564087	0.26943203806877136	1e-06	245.51706314086914	57.16985368728638	64.294921875	0.9999990463256836	0.008887281641364098	0.0	0.9999990463256836	0.008887281641364098	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	214167	214167	214167	214167.0	214167	0	2	2.0	2	0.20847065961868416	0.3171070314114091	1064.9849995676611	100.54930355213583	214167	0.0	425.0	130.421875	46.0	0.0	0.0234375	16384.0	1542.7578125	2.0	0.0234375	16384.0	1542.7578125	2.0	0.09289336204528809	0.0017682313919067383	0.0009661504882387817	0.0010500280186533928	0.004025026224553585	0.0025573065504431725	0.04704618453979492	-0.051929473876953125	1.0025969743728638	2.344613552093506	147.28826904296875	2.34717059135437	148.5690460205078	0.0002899241654677755	0.38741441700416307	0.07522476657590445	0.062092188745737076	0.027803372591733932	0.006437957126763649	0.0038882121443748474	71.72894447855651	6.975145034622983	0.1121147908270359	-1	-1.0	-1	0.017904605716466904	71.72828085720539	-1	102	16384	0.0	0.0	0.0	0.0	76.50388716906309	4.651177192106843	3.064051270484924e-05		6.570853292942047e-05	100.54930355213583	7.90674239397049e-05		16.11066258326173	2.707181317731738	0	10	0.9998173713684082	0.1948256492614746	0.002444533398374915	0.008002284914255142	1					
