step	actor/distillation/abs_loss	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/distillation/un_budget	actor/distillation/un_dup_frac	actor/distillation/un_p_eot	actor/distillation/un_p_imend	actor/distillation/un_q_eot	actor/distillation/un_q_imend	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.3415586504464348	1.563286079869916	2.234231753119578	0.7499942424086233	0.342955536354566	0.3415586504464348	0.8447056743833754	0.41976584705925135	0.20671303703663094	0.28607224335024106	36.44023895263672	-0.1573510766029358	-0.04717617323984216	-0.020058002150417704	0.012583150082516821	-0.004696768037522108	0.0754317303217249	0.31449977338019786	1.4788031809035198	4.095857742501216	9.374947779708439	0.5396276513735453	0.8030952148967319	0.8222773472468058	-0.01390635676620554	0.21961363274992132	0.19025631399644125	0.2533320595070513	0.4429727594057719	0.8097436825434366	0.851268470287323	47.248161739773224	0.5859949191411337	0.0010492842258018856	1.4295180816858988e-08	1.0167081500388968e-07	0.00037934250250120586	2.147904634475708	5.4932403564453125	0.3429555296897888	1e-06	184.89777374267578	41.2904691696167	48.04296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130308	130308	130308	130308.0	130308	0	2	2.0	2	0.18245537213438162	0.05559482061440562	640.8502036963919	101.66806474304758	130308	0.0	516.0	122.5234375	44.0	0.0	0.0	13466.0	895.5078125	2.0	0.0	13466.0	895.5078125	2.0	15.236200332641602	0.0023440122604370117	0.001014645560644567	0.0008632844546809793	0.008407492190599442	0.00438307411968708	0.10614585876464844	-0.048693180084228516	1.0045419931411743	2.5966224670410156	95.70426177978516	2.6010055541992188	97.64140319824219	0.0006865262917975406	0.6635934220974292	0.08283738143420237	0.08945986803155392	7.262211872031912	4.152468786475765	0.005838267970830202	58.14215532399248	16.35043513029086	12.783427653019316	-1	-1.0	-1	0.012993401964195073	58.14215532399248	-1	206	13466	0.0	0.0	0.0	0.0	76.06439600791782	11.582267485093325	4.6106986701488495e-05		0.0002914379583671689	101.66806474304758	8.301099296659231e-05		10.794373499928042	2.564534564036876	0	1	0.9997919797897339	0.175700843334198	0.002971218666061759	0.008580418303608894	1					
2	0.333048436883837	1.0719996799714864	1.5839172220788895	0.5852665480284486	0.3260131228598766	0.333048436883837	0.8865119934082031	0.5000317318714224	0.10640214125742205	0.31049466440745166	37.75825500488281	-0.16332748532295227	-0.052818503612154545	-0.013649954850393442	0.005277755081988289	-0.0016139249841216952	0.056526399308495456	0.2824917694233591	1.5273693856899626	4.191762169427238	8.906967747211457	0.5143014162778854	0.8636629581451416	0.8801782429218292	-0.014138684794306754	0.1543139989837073	0.13145463247783482	0.18170070951455272	0.43315413892269133	0.8685453832149506	0.9050866901874542	47.99470176696777	0.5626655787229538	0.0009200921645970084	1.4235438203225037e-08	6.321013903062834e-08	0.00034055095732128394	1.556613802909851	4.824086666107178	0.32601311802864075	1e-06	193.97187042236328	55.83634090423584	62.791015625	0.9999990463256836	0.005386278964579105	0.0	0.9999990463256836	0.005386278964579105	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	153735	153735	153735	153735.0	153735	0	2	2.0	2	0.19458835324907447	0.28962391326332954	974.2398454697537	78.89997556293383	153735	0.0	743.0	127.7265625	47.0	0.0	0.0078125	16384.0	1073.328125	2.0	0.0078125	16384.0	1073.328125	2.0	6.932354927062988	0.0019055604934692383	0.0008005172712728381	0.0006539018359035254	0.00541265681385994	0.0018963078036904335	0.05451822280883789	-0.027362346649169922	1.0019457340240479	2.5084991455078125	106.83355712890625	2.5103952884674072	108.158447265625	0.0005578653655257342	0.4358893061596359	0.0784232008918244	0.08576343196909875	0.04336795397102833	0.00867008946261194	0.004109088913537562	57.38257761404384	4.364067936533502	0.1295881550759077	-1	-1.0	-1	0.013201161986216903	57.38257761404384	-1	162	16384	0.0	0.0	0.0	0.0	59.885088216047734	3.83302525698673	3.278197254985571e-05		5.872291512787342e-05	78.89997556293383	5.382706876844168e-05		12.056390789104626	2.534219242981635	0	2	0.9997841119766235	0.14944744110107422	0.0025882895570248365	0.008170457556843758	1					
3	0.35761887241493573	1.8149183229966597	2.64078382470391	0.9034917760979045	0.347337840590626	0.35761887241493573	0.8777263056148182	0.47081832723184064	0.14508830269121312	0.3250966387091797	37.45497131347656	-0.18753059208393097	-0.07045149879757612	-0.029992794924665264	0.009729852983251807	-0.008735805080753133	0.06934327460740777	0.32556227095086465	1.6227451021021062	4.130124482241544	8.939171119169755	0.5606349029324271	0.7670746337283741	0.7870763106779619	-0.014674802099100569	0.26235023750500247	0.2236633219502189	0.304501701485027	0.4511110240762884	0.7763366943055933	0.820057673887773	46.5942549272017	0.6064295470714569	0.0008462421643674712	1.1728407861061834e-08	1.1784106157541885e-07	0.00026428543845792194	2.734015703201294	7.162033557891846	0.34733784198760986	1e-06	193.48791122436523	55.960195541381836	62.888671875	0.9999990463256836	0.0072577940300107	0.0	0.9999990463256836	0.0072577940300107	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	175769	175769	175769	175769.0	175769	0	2	2.0	2	0.20341423412616397	0.3180454062640083	964.7540992277652	91.0952335629845	175769	0.0	551.0	134.2265625	51.0	0.0	0.0234375	16384.0	1238.96875	2.0	0.0234375	16384.0	1238.96875	2.0	4.264890193939209	0.0028275251388549805	0.0011490177130326629	0.0008916127262637019	0.005244387313723564	0.0030049975030124187	0.12611150741577148	-0.029445648193359375	1.0031009912490845	2.603921413421631	144.2459716796875	2.606926441192627	146.28750610351562	0.00037888814286951913	0.448171422749055	0.07769945714498241	0.06659678998403251	0.04081998695619404	0.00767100410121202	0.003992029000073671	66.516347359051	5.163423371931458	0.1183978250483051	-1	-1.0	-1	0.020113604958169162	66.516347359051	-1	91	16384	0.0	0.0	0.0	0.0	71.07460959092714	3.4708996759727597	2.919510006904602e-05		5.3557916544377804e-05	91.0952335629845	5.1819952204823494e-05		13.657155882916413	2.3398503739153966	0	3	0.9997988343238831	0.17395344376564026	0.0029360451735556126	0.00848008506000042	1					
4	0.28371399734169245	1.0925596237182618	1.6002294212579726	0.5670422241091728	0.2821144482586533	0.28371399734169245	0.8449124008417129	0.5109527051448822	0.08155128572834655	0.2726721495389938	43.11109924316406	-0.181673064827919	-0.05571840503253043	-0.012048090898633745	0.006294781106043956	-0.0013229756775672286	0.042213705700123685	0.19553061017068102	1.3088146924972535	4.002066320180893	9.024458861351013	0.5152984440326691	0.8646787822246551	0.8808454990386962	-0.01187349968822673	0.1522678192704916	0.13073463104665278	0.17821600362658502	0.4336536228656769	0.8692653834819793	0.9034216821193695	47.994772338867186	0.5626633644104004	0.0008964936016127468	1.3267058918131625e-08	5.682482813185175e-08	0.0002823314007400768	1.6171475648880005	4.3233323097229	0.2821144461631775	1e-06	200.9519386291504	57.098511695861816	64.29296875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167655	167655	167655	167655.0	167655	0	2	2.0	2	0.202504006961934	0.28779116713694863	1061.1921942929973	78.9937020370271	167655	0.0	529.0	130.09375	47.0	0.0	0.0078125	16384.0	1179.7109375	2.0	0.0078125	16384.0	1179.7109375	2.0	25.374462127685547	0.0018253326416015625	0.0007519996142946184	0.0005934998043812811	0.005265664774924517	0.0015259846113622189	0.053873538970947266	-0.04582929611206055	1.0015767812728882	2.4018900394439697	128.88217163085938	2.403416395187378	129.85015869140625	0.0005581834779324656	0.3965291606661208	0.0743604656169459	0.09358225099276751	0.0277200659038499	0.006964174402128265	0.003985736984759569	57.47939617105294	5.016832722536492	0.06621877895668149	-1	-1.0	-1	0.010637714993208647	57.47939617105294	-1	212	16384	0.0	0.0	0.0	0.0	59.87709284806624	3.457852449035272	2.9977993108332157e-05		7.103895768523216e-05	78.9937020370271	8.79489816725254e-05		12.466903863009065	2.5802826170111075	0	4	0.9998241662979126	0.1468372344970703	0.0023298761807382107	0.007468149531632662	1					
5	0.24018266421949697	1.7289602710580867	2.3967959826631056	0.7203501894982764	0.2216212984494632	0.24018266421949697	0.8043213801251518	0.4264653687649924	0.10131526151235448	0.2204583654917466	40.158966064453125	-0.17641738057136536	-0.06261110770075046	-0.029121022312696976	0.004824230026852345	-0.009859127649930046	0.03933559369918132	0.21541301792199696	1.108824143299393	2.875101957680373	6.264498754301005	0.5071737534470029	0.7812156842814552	0.790208046634992	-0.009901770759016573	0.24251348566031083	0.21100889920813237	0.276433027852262	0.4148123065630595	0.7889910936355591	0.8157163742515776	48.33431879679362	0.5520525425672531	0.0005737094337140055	7.747764525624213e-09	8.543983876945324e-08	0.00019789982307985256	2.34635853767395	5.16135311126709	0.2216213047504425	1e-06	194.7591781616211	57.098511695861816	64.29296875	0.9999990463256836	0.007452309597283602	0.0	0.9999990463256836	0.007452309597283602	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	275733	275733	275733	275733.0	275733	0	2	2.0	2	0.21494933280841072	0.3229230301676352	1010.9766567158032	136.36961752199568	275733	0.0	975.0	141.3671875	41.0	0.0	0.0546875	16384.0	2012.796875	2.0	0.0546875	16384.0	2012.796875	2.0	31.318099975585938	0.001616358757019043	0.0008702372433617711	0.0009313243790529668	0.005314170382916927	0.0018924814648926258	0.04532670974731445	-0.055464744567871094	1.0019586086273193	2.5050740242004395	191.86676025390625	2.5069665908813477	193.6186065673828	0.0002906650529791399	0.41419500575253093	0.07702793702584236	0.08014594705309719	0.028847718029282987	0.006896680140926037	0.004016055027022958	98.24061607802287	10.968267993087466	0.057158653042279184	-1	-1.0	-1	0.01217572099994868	98.24061607802287	-1	76	16384	0.0	0.0	0.0	0.0	106.71237289207056	5.390676086070016	2.7562957257032394e-05		7.658498361706734e-05	136.36961752199568	5.9116980992257595e-05		21.23914415994659	2.4049785279203206	0	5	0.9998701810836792	0.21334674954414368	0.0020782644860446453	0.006935459095984697	1					
6	0.2510708051733673	1.4387679581840833	2.023631233163178	0.6320609475175539	0.24920878569537308	0.2510708051733673	0.8412623425324758	0.4251926387349764	0.10627687145170057	0.2607747383532114	40.05366516113281	-0.18306133151054382	-0.04336523410327886	-0.019951334780671667	0.006018788535705729	-0.004166712056747694	0.05313004671431069	0.22858362624247092	1.0934798527741805	3.026880230335519	7.06680671175321	0.5008483747641246	0.8158055961132049	0.8315417170524597	-0.0098670080731002	0.20557206547625054	0.17742938705875227	0.23557366138556973	0.4398125608762105	0.8225706179936727	0.8567435503005981	48.47011922200521	0.5478087604045868	0.0006244048905500677	9.125649167810817e-09	9.570502469714396e-08	0.00017943192825858507	2.040731191635132	4.5751051902771	0.24920879304409027	1e-06	196.98490524291992	57.098511695861816	64.29296875	0.9999990463256836	0.017200328409671783	0.0	0.9999990463256836	0.017200328409671783	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	232496	232496	232496	232496.0	232496	0	2	2.0	2	0.21106163621222124	0.317860814524303	1083.1090536932086	107.3280660000164	232496	0.0	756.0	125.8203125	53.0	0.0	0.0234375	16384.0	1690.5546875	2.0	0.0234375	16384.0	1690.5546875	2.0	0.0005147457122802734	0.001256704330444336	0.0008107816684059799	0.0009930178057402372	0.0044692885130643845	0.0020695324055850506	0.06707954406738281	-0.04103851318359375	1.0021116733551025	2.6243410110473633	126.66168212890625	2.626410484313965	127.05448150634766	0.0003270952055579654	0.3820507893720451	0.07496923787929878	0.07604832691140473	0.02758920402266085	0.006846552923889249	0.003694568993523717	78.15540176595096	8.040360179282288	0.1289610059466213	-1	-1.0	-1	0.011674460023641586	78.15540176595096	-1	153	16384	0.0	0.0	0.0	0.0	82.67235236300621	4.447356765973382	3.56889795511961e-05		5.899905227124691e-05	107.3280660000164	5.918892566114664e-05		17.43004792998545	2.201568938908167	0	6	0.9998777508735657	0.11929404735565186	0.0019437288865447044	0.00677345460280776	1					
7	0.26963443255850245	2.2698109378772124	3.067477146429675	0.8528914414346218	0.2629724554717541	0.26963443255850245	0.8259524405002594	0.5147821956447193	0.1316041316853703	0.2502097699658147	39.709205627441406	-0.21262365579605103	-0.06247411938016967	-0.03752342682095592	0.006434151532240711	-0.015401690240245054	0.05591068402074078	0.20694255389805352	1.1986574653003896	3.3158035278320312	7.757720163890293	0.5500961499554771	0.7159091383218765	0.7319242102759225	-0.010739499187496091	0.3123856286651322	0.2743059068119952	0.35351959456290516	0.4476008947406496	0.7256940667118345	0.7626922237021583	46.94381959097726	0.5955056164945874	0.0006475789099827775	9.66473346591152e-09	1.6079629213841935e-07	0.000268133977117811	3.1981868743896484	6.98856258392334	0.2629724442958832	1e-06	201.28802871704102	57.098511695861816	64.29296875	0.9999990463256836	0.030447563156485558	0.0	0.9999990463256836	0.030447563156485558	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	217940	217940	217940	217940.0	217940	0	2	2.0	2	0.21008442120733342	0.318276981056607	1066.2008464376454	102.2040081510786	217940	0.0	531.0	122.328125	54.0	0.0	0.0234375	16384.0	1580.328125	2.0	0.0234375	16384.0	1580.328125	2.0	1.908827304840088	0.0014805793762207031	0.0010637323139235377	0.0013866195222362876	0.004995719995349646	0.0019294784869998693	0.044788360595703125	-0.0347142219543457	1.0019729137420654	2.518049478530884	125.32975006103516	2.519979238510132	125.4922866821289	0.00028746803723599747	0.38865162802417985	0.07496451249443482	0.06265078403521329	0.04247758793644607	0.007106641119207779	0.003888077102601528	74.09459281805903	7.280896561844202	0.09299542696680874	-1	-1.0	-1	0.01575304300058633	74.09295283898246	-1	97	16384	0.0	0.0	0.0	0.0	78.61722861998715	4.128706513904035	3.1736912205815315e-05		6.370304618030787e-05	102.2040081510786	6.0327001847326756e-05		16.337765853037126	2.5548743789549917	0	7	0.9998785853385925	0.27694931626319885	0.0020774693693965673	0.006952052935957909	1					
8	0.2654929240899427	1.8187698466437203	2.6092079473393306	0.8460275988493647	0.256752212299034	0.2654929240899427	0.7612543925642967	0.4374235974890845	0.11450619617036344	0.23416402144981216	40.62861633300781	-0.16756083071231842	-0.06155588647402916	-0.02709555993517045	0.005342105420173279	-0.007752567140585143	0.04400284181870769	0.23034498650979782	1.2005070458565439	3.2197335085698535	7.358662784099579	0.5621329929147448	0.7681645367826734	0.7825179440634591	-0.010561819595750421	0.2642888592423073	0.22164122919951165	0.30759711124535116	0.4511580488511494	0.7783587787832532	0.8117331223828452	46.50442804609026	0.6092366235596793	0.0006369085850954954	9.291596853033823e-09	9.813616292217045e-08	0.00023201090011428147	2.7341439723968506	6.326858043670654	0.25675222277641296	1e-06	194.86684036254883	57.098511695861816	64.29296875	0.9999990463256836	0.011095431633293629	0.0	0.9999990463256836	0.011095431633293629	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	220912	220912	220912	220912.0	220912	0	2	2.0	2	0.2054076475977594	0.3199815774986876	1043.622824614721	105.83900370402262	220912	0.0	756.0	130.34375	44.0	0.0	0.03125	16384.0	1595.53125	2.0	0.03125	16384.0	1595.53125	2.0	1.3806188106536865	0.0018500089645385742	0.0010068763513118029	0.0010935312602669	0.003943766932934523	-0.000139061885420233	0.022395610809326172	-0.064239501953125	0.9998949766159058	2.579411745071411	118.11236572265625	2.579272508621216	117.95208740234375	0.0003508523980613188	0.398176603810133	0.07701341696213561	0.07750750496052206	0.027975650038570166	0.006640677188443078	0.0037110380362719297	76.10307475994341	7.330340376355707	0.07902561803348362	-1	-1.0	-1	0.01611584599595517	76.1003929390572	-1	86	16384	0.0	0.0	0.0	0.0	81.31881144293584	4.193048079032451	3.410398494452238e-05		5.657598376274109e-05	105.83900370402262	6.181490607559681e-05		17.013187967939302	2.7476077399915084	0	8	0.9998697638511658	0.15498346090316772	0.0022448168601840734	0.007401966489851475	1					
9	0.23257156471064425	1.8309915864511448	2.6266457589671894	0.8316114391474163	0.22740098816575482	0.23257156471064425	0.8072204414535972	0.4382460815318422	0.12383504060819499	0.2349046855721527	36.60996627807617	-0.17406882345676422	-0.06963692601280304	-0.033839800053208496	0.012836278725123574	-0.011440081354307682	0.05420703923857004	0.20156693344196194	0.9806264955687392	2.8337110564975507	7.1086192797212036	0.5425262188210207	0.7720189094543457	0.7906734207097221	-0.00942369070253335	0.2539864618961206	0.22000789562897646	0.2933963845785269	0.4640690035679761	0.779992121107438	0.8171788138501784	47.16674939323874	0.5885390972389895	0.0005625223532072542	7.310327173669444e-09	7.497535027137073e-08	0.0001592236787059044	2.6773157119750977	5.990193843841553	0.2274009883403778	1e-06	192.9839973449707	57.36441993713379	64.60546875	0.9999990463256836	0.0063124122098088264	0.0	0.9999990463256836	0.0063124122098088264	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	275963	275963	275963	275963.0	275963	0	2	2.0	2	0.21394430934546854	0.3233991931712285	1128.5807846437106	122.26107503997628	275963	0.0	538.0	136.1328125	51.0	0.0	0.03125	16384.0	2019.828125	2.0	0.03125	16384.0	2019.828125	2.0	1.76041579246521	0.0017828941345214844	0.0009709039586596191	0.001052430598065257	0.006160821299999952	0.0031603071838617325	0.08860492706298828	-0.03482198715209961	1.0032575130462646	2.7287304401397705	116.51783752441406	2.731890916824341	117.72535705566406	0.00027263429521110855	0.36120085713112293	0.07469919293877299	0.07523697800934315	0.029720532009378076	0.007578221324365586	0.003726207069121301	87.7377483289456	10.621641179256585	0.07411036500707269	-1	-1.0	-1	0.01224457600619644	87.7377483289456	-1	136	16384	0.0	0.0	0.0	0.0	93.38414720096625	5.190495742019266	3.702507819980383e-05		5.564093589782715e-05	122.26107503997628	5.1064067520201206e-05		20.61421338096261	2.489278084016405	0	9	0.9999015927314758	0.18181711435317993	0.0021544911433011293	0.006947895046323538	1					
10	0.2697779634573425	0.7182174971900307	1.1813509490054388	0.5218363120310152	0.2569253502879292	0.2697779634573425	0.7002806881299386	0.39174261666350785	0.16131627851595673	0.2381833773386181	35.456119537353516	-0.15456044673919678	-0.03155821707413968	-0.011599185085268223	0.005174444367394944	5.0564880010684785e-05	0.05302746537507538	0.25809910704881006	1.1683313591683355	3.193715710560075	7.205376818776131	0.5259247238819416	0.9087799191474915	0.9222578085385836	-0.011492813030669752	0.10716393346844527	0.08756015541551349	0.1324313165208038	0.4459689488777748	0.9124398506604708	0.9406481018433204	47.57871833214393	0.5756650337806115	0.0006552568773153885	7.1882723790422505e-09	2.730087198360211e-08	0.00022761441509079925	1.1080840826034546	3.509140968322754	0.2569253444671631	1e-06	193.7483787536621	57.36441993713379	64.60546875	0.9999990463256836	0.013860493898391724	0.0	0.9999990463256836	0.013860493898391724	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	205576	205576	205576	205576.0	205576	0	2	2.0	2	0.20919715057025884	0.3200466818116058	1004.4004609914386	102.33766708802432	205576	0.0	425.0	130.421875	46.0	0.0	0.03125	16384.0	1475.640625	2.0	0.03125	16384.0	1475.640625	2.0	4.420437812805176	0.0012680292129516602	0.0006870491779409349	0.0007418880122713745	0.004091143142431974	0.0021350488532334566	0.05725526809692383	-0.03015422821044922	1.0021696090698242	2.2700047492980957	79.15145111083984	2.2721402645111084	79.0863265991211	0.000462567434720595	0.42051478425194816	0.07861730912140621	0.09509276296012104	0.014913548016920686	0.006361284182275995	0.0037177479825913906	74.08745455997996	6.556683299367251	0.07494872098322958	-1	-1.0	-1	0.01160243502818048	74.08745455997996	-1	146	16384	0.0	0.0	0.0	0.0	79.42767347907647	3.96402905206196	2.5897054001688957e-05		5.773501470685005e-05	102.33766708802432	5.1758019253611565e-05		16.161831939942203	2.197619337006472	0	10	0.9997769594192505	0.20642787218093872	0.0024400651454925537	0.008059157989919186	1					
