step	actor/distillation/abs_loss	actor/distillation/e2_coverage	actor/distillation/e2_value_anchor	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.4375215508975089	0.7444956541061402	0.3054632440209389	2.1041892141103746	2.8681788831949233	0.8457975897938013	0.4607778362114914	0.4375215508975089	0.31467008143663405	0.22522904798388482	0.43235602813656443	0.40363565375082544	8.752683639526367	-2.145764938177308e-06	3.715249931701692e-06	0.000835126441447187	0.16521671829889328	0.023243142572872744	0.2958122655094485	0.5873345017338579	1.290125543810427	1.7424084797501564	3.44262752532959	0.5637043744325638	0.736433607339859	0.756334838271141	-0.01356010939925909	0.29282327913679185	0.2558570155873895	0.3326026705093682	0.46588726043701173	0.7444956541061402	0.7873062014579773	3.0053369998931885	14.658534049987793	0.46077781915664673	1e-06	179.2423210144043	32.110708236694336	34.390625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159527	159527	159527	159527.0	159527	0	2	2.0	2	0.2013127389843663	0.1518024778756606	807.1204901747894	98.82477395999013	159527	0.0	516.0	122.5234375	44.0	0.0	0.015625	16384.0	1123.78125	2.0	0.015625	16384.0	1123.78125	2.0	5.0367817878723145	0.002297639846801758	0.0011259682942181826	0.0011217431165277958	0.006525923497974873	0.002790359314531088	0.08069276809692383	-0.05054497718811035	1.0028828382492065	2.745913505554199	151.00314331054688	2.748703718185425	150.87997436523438	0.0006366350586989886	0.541039115903552	0.07731494145789541	0.10156048100907356	6.652882278023753	3.6211412459683743	0.005271333968266845	69.36215579899726	13.327773697487828	8.779037847009022	-1	-1.0	-1	0.01850101799936965	69.36215579899726	-1	134	16384	0.0	0.0	0.0	0.0	77.82523058803054	5.863081483053975	4.141201497986913e-05		0.0002670689718797803	98.82477395999013	5.913199856877327e-05		12.33382066595368	2.154110773000866	0	1	0.9998433589935303	0.1377251148223877	0.0024884550366550684	0.007941699586808681	1					
2	0.43097254261374474	0.7526778172362935	0.29669207063588227	2.0852034146135505	2.8231599547646264	0.813819172707471	0.44781147921457887	0.43097254261374474	0.422389648177407	0.2749583890492266	0.44935093117369845	0.3532767336476933	8.195091247558594	-2.145764938177308e-06	5.9402163866583244e-05	0.002857613466567634	0.17222557037840405	0.025596872811302195	0.28073926441191527	0.5498758765408472	1.3255182667212053	1.817575292153792	3.329040939157659	0.59223933653398	0.7452316121621565	0.7670712118799036	-0.012830064039338718	0.28018686547875404	0.24764578383077274	0.3174663572148843	0.4822326031598178	0.7526778145269915	0.7956494661894712	2.9188222885131836	15.299602508544922	0.447811484336853	1e-06	184.68855667114258	43.05597400665283	45.328125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184339	184339	184339	184339.0	184339	0	2	2.0	2	0.2038142740860295	0.31517113316842893	981.6300406535754	93.89433511899551	184339	0.0	743.0	127.7265625	47.0	0.0	0.0234375	16384.0	1312.421875	2.0	0.0234375	16384.0	1312.421875	2.0	0.1252443790435791	0.0024567842483520508	0.001127370516769588	0.0010313729289919138	0.007948359474539757	0.004295904189348221	0.078765869140625	-0.03930473327636719	1.0044424533843994	2.8678858280181885	211.97674560546875	2.8721821308135986	214.51669311523438	0.00042038541507915584	0.43182594098462684	0.07768096456529461	0.07749342703027651	0.046536630019545555	0.00908361745541697	0.003665539959911257	67.92516488698311	5.614214065374654	0.08428147697122768	-1	-1.0	-1	0.019291661970783025	67.92451101803454	-1	218	16384	0.0	0.0	0.0	0.0	72.54243982600747	4.187259815982543	4.9502996262162924e-05		6.0830963775515556e-05	93.89433511899551	4.87689976580441e-05		14.319631327001844	2.2518864479498006	0	2	0.9998248219490051	0.22652798891067505	0.0026900218799710274	0.00808576587587595	1					
3	0.24262509842972374	0.8544332318835788	0.29706310998234486	1.2337481662010152	1.768794015981257	0.6177124223516633	0.24193294908036478	0.24262509842972374	0.3394414931535721	0.1635253357494043	0.2822123544166162	0.2055428553568264	11.412273406982422	-2.1306623239070177e-06	7.049492966062745e-06	2.8383217315624482e-05	0.006447450003583476	0.0002489905819800242	0.0961984449572305	0.3224629671870692	0.9877435300780538	1.559200783053206	3.292563537756602	0.5541170835494995	0.8495395713382297	0.8634633156988356	-0.013082194720886441	0.17078047508322117	0.14594060458734426	0.19943123358017248	0.4288901653554704	0.8544332517517937	0.8863735265201993	1.7701184749603271	7.715881824493408	0.2419329583644867	1e-06	186.61687850952148	43.05597400665283	45.330078125	0.9999990463256836	0.02245417796075344	0.0	0.9999990463256836	0.02245417796075344	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	143438	143438	143438	143438.0	143438	0	2	2.0	2	0.1985822762605231	0.30076599032979107	1097.8460995441333	65.32700715499232	143438	0.0	551.0	134.2265625	51.0	0.0	0.0	13287.0	986.3828125	2.0	0.0	13287.0	986.3828125	2.0	4.799279689788818	0.0014312267303466797	0.0009017218253575265	0.001094317645765841	0.006809902377426624	0.003456745995208621	0.08618402481079102	-0.040357112884521484	1.003557801246643	2.6025002002716064	100.49758911132812	2.60595703125	101.98590087890625	0.0004479569989963386	0.38585679750828006	0.07537579323466076	0.06425405602203682	0.05300187796819955	0.008011773227281083	0.0038037740159779787	46.677306491008494	3.98093080460103	0.075847820029594	-1	-1.0	-1	0.011799454980064183	46.677306491008494	-1	88	13287	0.0	0.0	0.0	0.0	48.717121683002915	2.897123383998405	2.711900742724538e-05		5.651300307363272e-05	65.32700715499232	4.729896318167448e-05		10.81175302999327	2.3616079399944283	0	3	0.9997447729110718	0.46148228645324707	0.0030562265310436487	0.009143300354480743	1					
4	0.5670393109321594	0.6767915139595667	0.334757832189401	2.7528037329514823	3.6413833101590476	0.9910949145754179	0.5583412917330861	0.5670393109321594	0.3589378073811531	0.23528339341282845	0.7221236511444052	0.4550056606531143	9.76003646850586	-2.1454543457366526e-06	0.0001876488461836819	0.003707982310605947	0.19185992604142635	0.02787006448538894	0.4004496463749092	0.8409338490261385	1.5409495284159977	1.938916176557541	3.211937646071116	0.601534329354763	0.6670197496811548	0.6840802431106567	-0.03057052625808865	0.3647868297994137	0.3235413674265146	0.414090462649862	0.5009507189194361	0.6767915288607279	0.7187031929691633	3.6013989448547363	18.43667221069336	0.5583412647247314	1e-06	183.01570892333984	43.05597400665283	45.330078125	0.9999990463256836	0.009071508422493935	0.0	0.9999990463256836	0.009071508422493935	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	187296	187296	187296	187296.0	187296	0	2	2.0	2	0.2061623557765547	0.3125881921563348	1013.6879230527225	92.38346227700822	187296	0.0	529.0	130.09375	47.0	0.0	0.015625	16384.0	1333.15625	2.0	0.015625	16384.0	1333.15625	2.0	5.649089336395264	0.0028095245361328125	0.001266235951334238	0.001135122962296009	0.007399444468319416	0.003656314918771386	0.06422758102416992	-0.05295991897583008	1.003763198852539	2.8203012943267822	168.30517578125	2.823957681655884	170.6744842529297	0.00048532288455354695	0.4193786758165354	0.0758900467922777	0.09089903498534113	0.04178113501984626	0.009183176806345728	0.0035283020115457475	68.29420444800053	5.814437754237133	0.18371763202594593	-1	-1.0	-1	0.013547485985327512	68.29420444800053	-1	109	16384	0.0	0.0	0.0	0.0	71.56445475603687	3.64367887401022	2.9999995604157448e-05		5.4421951062977314e-05	92.38346227700822	4.7933950554579496e-05		14.213902204006445	2.39935299300123	0	4	0.9998418092727661	0.2011852264404297	0.002481672214344144	0.007585191633552313	1					
5	0.34003784305726487	0.79849440852801	0.28870952501893044	1.6941241046297364	2.3156139370209226	0.7012042937955508	0.3531985778681701	0.34003784305726487	0.3179682744666934	0.19459586140389243	0.38441241828089306	0.3085430893196038	9.283672332763672	-2.145764938177308e-06	7.991028321067499e-05	0.0008930813457656561	0.14176391637374763	0.026521560284190098	0.21896622990000955	0.43058197126598924	1.0118957082816753	1.511456191945399	3.049633039472004	0.5544140140215555	0.7924011747042338	0.8047318905591965	-0.012632813795789843	0.23072875400733514	0.20181373957408746	0.26321649343784276	0.4473721956213315	0.7984944184621176	0.8310736020406088	2.381197690963745	11.781198501586914	0.3531985878944397	1e-06	186.1166763305664	43.05597400665283	45.330078125	0.9999990463256836	0.01810658723115921	0.0	0.9999990463256836	0.01810658723115921	0.0	1.0	0.0390625	0.0	1.0	0.0390625	0.0	184167	184167	184167	184167.0	184167	0	2	2.0	2	0.20552915525439994	0.3119922643885236	1038.3844364291258	88.67958414001623	184167	0.0	975.0	141.3671875	41.0	0.0	0.015625	16384.0	1297.4375	2.0	0.015625	16384.0	1297.4375	2.0	0.11416327953338623	0.0020520687103271484	0.0009605219820514321	0.0008976891986094415	0.008402412757277489	0.004762981086969376	0.08544921875	-0.03785109519958496	1.0049049854278564	2.4886136054992676	98.26953887939453	2.4933767318725586	99.2127914428711	0.00034850586689448126	0.4112774254962745	0.07524064936716078	0.06418327998835593	0.042277664004359394	0.008121839587602153	0.0037101859925314784	64.76990461704554	5.573413369334958	0.06174864497734234	-1	-1.0	-1	0.013339940982405096	64.76990177400876	-1	115	16384	0.0	0.0	0.0	0.0	68.3016646070173	3.5965678979991935	3.633700544014573e-05		5.9003010392189026e-05	88.67958414001623	7.339997682720423e-05		13.856844672001898	2.3618510239757597	0	5	0.9998359680175781	0.31995153427124023	0.0023916473146528006	0.00788726843893528	1					
6	0.21148901626002042	0.8620879173278808	0.30063081844709816	1.1285491368733347	1.783745108731091	0.740445835981518	0.21744946115359198	0.21148901626002042	0.3334821417927742	0.13290953662944957	0.2099392897953294	0.2164208034038893	10.03915786743164	-2.0265558760002023e-06	-6.66724054099177e-07	7.548361099907197e-06	0.036622356363295694	0.0013932566662617774	0.06803694570044172	0.21291854064329527	0.9741538588285039	1.5136987017525825	3.2293442368507383	0.5809570699930191	0.8572085797786713	0.8750570774078369	-0.013699641071434598	0.16730185226770117	0.13824548199772835	0.20308079867390916	0.46824685037136077	0.8620879352092743	0.8985369205474854	1.8289611339569092	7.641049861907959	0.21744945645332336	1e-06	186.60654067993164	43.05597400665283	45.330078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157085	157085	157085	157085.0	157085	0	2	2.0	2	0.20216448394041273	0.30481299715651783	970.8389196099669	80.90168040600838	157085	0.0	756.0	125.8203125	53.0	0.0	0.015625	16384.0	1101.40625	2.0	0.015625	16384.0	1101.40625	2.0	1.6562647819519043	0.001969456672668457	0.0009823516011238098	0.0009870838839560747	0.0076297856867313385	0.0019922952633351088	0.07882833480834961	-0.12772607803344727	1.0021531581878662	2.510429859161377	98.55953979492188	2.5124220848083496	98.90601348876953	0.00042344321841454374	0.4464516192506678	0.07605812065441467	0.0665165779646486	0.06307432398898527	0.008581659548781317	0.003869350010063499	59.5706331100082	4.515322556368574	0.08324647700646892	-1	-1.0	-1	0.011971635045483708	59.5706331100082	-1	482	16384	0.0	0.0	0.0	0.0	62.94074928195914	3.163328041031491	3.0581955797970295e-05		6.260897498577833e-05	80.90168040600838	5.589396459981799e-05		11.947589882998727	2.3049437180161476	0	6	0.999767541885376	0.33921682834625244	0.003046165918931365	0.008920286782085896	1					
7	0.23221934270113706	0.8559807687997818	0.3187585797160864	1.2006634429097176	1.7158515140414239	0.6197919484227896	0.23744327016174793	0.23221934270113706	0.3104796528816223	0.22790842428803443	0.2556299801728528	0.19569467469300433	8.955910682678223	-2.1457190086948685e-06	0.00013727362397730758	0.0039841730079473335	0.0740036394920935	0.025017299550859205	0.10619384043548052	0.27388345376493817	0.8150910131691489	1.412188348174095	3.1138700604438783	0.5092569708824157	0.8507478058338165	0.8622120261192322	-0.015315818006638438	0.16985913813114167	0.14435339807532727	0.1989254377782345	0.39811857752501967	0.8559807747602463	0.8865738332271575	1.7481062412261963	8.07486343383789	0.23744326829910278	1e-06	187.43805694580078	43.05597400665283	45.330078125	0.9999990463256836	0.011877442710101604	0.0	0.9999990463256836	0.011877442710101604	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	155166	155166	155166	155166.0	155166	0	2	2.0	2	0.20092846639518244	0.30714635101773563	967.1184334547877	80.22078508301638	155166	0.0	531.0	122.328125	54.0	0.0	0.0078125	16384.0	1089.90625	3.0	0.0078125	16384.0	1089.90625	3.0	0.9489454030990601	0.0016385316848754883	0.0008593247621320188	0.0009005227475427091	0.00636300491169095	0.0016376548446714878	0.04896974563598633	-0.07039356231689453	1.0017169713974	2.6447768211364746	158.4891815185547	2.646414279937744	158.3485870361328	0.00047571970661109954	0.4464442212921726	0.07710440521767076	0.07381552399601787	0.058017985022161156	0.009331477641353558	0.0036991950473748147	59.87860233098036	4.381570560678938	0.15612310997676104	-1	-1.0	-1	0.01066678698407486	59.87860233098036	-1	124	16384	0.0	0.0	0.0	0.0	62.28254042402841	3.1442843200056814	2.9839982744306326e-05		5.133997183293104e-05	80.22078508301638	4.849198739975691e-05		11.9639821400051	2.232050709950272	0	7	0.9997859597206116	0.14100590348243713	0.002724996069446206	0.008528092876076698	1					
8	0.20508434944151138	0.870065916668285	0.31762027918276464	1.0957654765383764	1.672530060126023	0.676544067015956	0.19642225142160896	0.20508434944151138	0.2864314317703247	0.12579883600516373	0.2524098007697004	0.13941277165047888	10.029182434082031	-2.1457190086948685e-06	-2.5274774822553975e-07	1.100737839866316e-06	0.00145170272563436	5.715039252668868e-06	0.06014591440180084	0.24699791890452616	0.9021738001359733	1.5032509700262877	2.904688847674565	0.5621210770173506	0.8657084540887312	0.8782911842519586	-0.014697097935078835	0.15488344586496663	0.1302296491498551	0.1857736071741039	0.45809720050204883	0.8700659112496809	0.9014881361614574	1.612817645072937	6.411182403564453	0.1964222639799118	1e-06	190.53533935546875	43.05597400665283	45.330078125	0.9999990463256836	0.0061015901155769825	0.0	0.9999990463256836	0.0061015901155769825	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	167792	167792	167792	167792.0	167792	0	2	2.0	2	0.20138674458876604	0.305995285458682	1068.5925724087726	78.5107459720457	167792	0.0	756.0	130.34375	44.0	0.0	0.0078125	16384.0	1180.53125	2.0	0.0078125	16384.0	1180.53125	2.0	0.9925501346588135	0.0016360282897949219	0.0009393825894221663	0.0010662432760000229	0.0042073847725987434	0.0013688351027667522	0.08079051971435547	-0.033461570739746094	1.0014138221740723	2.1484081745147705	122.20246887207031	2.1497769355773926	121.77197265625	0.0003713565065361267	0.39632263205769397	0.07443702908973539	0.06231065094470978	0.043741405999753624	0.007653353052319289	0.004017396015115082	57.54385719797574	5.007391614047265	0.08336236397735775	-1	-1.0	-1	0.012043484020978212	57.54385719797574	-1	69	16384	0.0	0.0	0.0	0.0	59.887520284974016	3.2101938310079277	2.7660978958010674e-05		5.262903869152069e-05	78.5107459720457	5.3729978390038013e-05		12.48993798502488	2.3895239930134267	0	8	0.9997375011444092	0.19969409704208374	0.003261920064687729	0.009206023067235947	1					
9	0.1717347013098853	0.8815281902040754	0.4653368038790567	0.9695741619382586	1.6978165081569128	0.8723237216472626	0.1697762832045555	0.1717347013098853	0.20898048153945378	0.13688964822462626	0.19941240232271543	0.16027940756508283	7.0528435707092285	-2.145764938177308e-06	-1.854496304076747e-06	-1.2157059947932275e-06	0.0026777574361663676	4.0737900357206466e-06	0.03893015217701239	0.19494874429489886	0.7940119760377067	1.4707079104014806	3.002683537346976	0.6024653911590576	0.8769555177007403	0.8926397391727993	-0.022649885820490972	0.1507014169224671	0.11885283940604754	0.19404959678649902	0.4973031963620867	0.8815281902040754	0.9225692663873944	1.6754331588745117	5.44516134262085	0.1697762906551361	1e-06	184.60811614990234	43.05597400665283	45.330078125	0.9999990463256836	0.00932419952005148	0.0	0.9999990463256836	0.00932419952005148	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	110516	110516	110516	110516.0	110516	0	2	2.0	2	0.18636708528514748	0.29264648821453926	1348.6972076496113	40.97139052901184	110516	0.0	538.0	136.1328125	51.0	0.0	0.0	8173.0	727.2734375	2.0	0.0	8173.0	727.2734375	2.0	1.2756409645080566	0.00293886661529541	0.001253683352842927	0.0010476817842572927	0.004713599570095539	0.0012868271442130208	0.05901622772216797	-0.02829265594482422	1.0013270378112793	2.1945993900299072	80.90628051757812	2.1958861351013184	82.23152160644531	0.0005670615839048718	0.29082051211182974	0.08079686430938768	0.06266937800683081	0.046922898036427796	0.007323369557980186	0.0037071980186738074	25.441302080987953	2.991244566047044	0.12687241099774837	-1	-1.0	-1	0.01103152905125171	25.441302080987953	-1	166	8173	0.0	0.0	0.0	0.0	27.072772293002345	2.2358656579745	2.673798007890582e-05		7.57130328565836e-05	40.97139052901184	5.1597016863524914e-05		8.929346256016288	2.2014314589905553	0	9	0.999610185623169	0.15686500072479248	0.004527741577476263	0.01087938342243433	1					
10	0.1545025175225667	0.8925652341409163	0.383382709146562	0.8928476667708971	1.52119206010618	0.7613536545329473	0.15395444354362553	0.1545025175225667	0.20501564307646317	0.11364531141324816	0.18199920068995692	0.11916066733101616	8.554131507873535	-2.1457190086948685e-06	3.487503942200088e-08	5.9636958507202174e-05	0.024709620469118156	0.0017604169525472198	0.059471441905770916	0.14272455272029302	0.7034579515615902	1.2725540823938155	2.5007217634807932	0.5772185813296925	0.888336951082403	0.9050471674312245	-0.018495307360849852	0.13546489025677808	0.10765078827865761	0.1708131930261681	0.4683318327773701	0.8925652341409163	0.9292537732557817	1.512787938117981	4.389139175415039	0.15395444631576538	1e-06	186.78678512573242	43.05597400665283	45.330078125	0.9999990463256836	0.028439853340387344	0.0	0.9999990463256836	0.028439853340387344	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	165253	165253	165253	165253.0	165253	0	2	2.0	2	0.2040474600217195	0.30835768421322085	1041.6822150540793	79.32025603001239	165253	0.0	425.0	130.421875	46.0	0.0	0.0078125	16384.0	1160.6171875	2.0	0.0078125	16384.0	1160.6171875	2.0	1.259065866470337	0.00219571590423584	0.0010643198620527983	0.0010338512947782874	0.004220702685415745	0.002319865860044956	0.09314298629760742	-0.033606529235839844	1.0023859739303589	1.6664944887161255	36.16685485839844	1.6688144207000732	36.644004821777344	0.00039522221703689516	0.4108374859686054	0.07458823884580966	0.06531165703199804	0.01533327397191897	0.0058382226866342535	0.00405001500621438	58.699963472026866	4.831475977688569	0.059870488999877125	-1	-1.0	-1	0.01025117700919509	58.699963472026866	-1	95	16384	0.0	0.0	0.0	0.0	61.03360607801005	3.229265623027459	2.9669958166778088e-05		5.7876051869243383e-05	79.32025603001239	5.167804192751646e-05		12.325930233986583	2.193286720023025	0	10	0.9996322393417358	0.31727007031440735	0.003978605382144451	0.010417434386909008	1					
