arm	light_jsonl_lines	n_ids_parquet	n_summary_parquet	n_step_parquet	n_div_rank_jsonl	n_tok_parquet	has_run_manifest	n_val_gen_files
vanilla_te	41856	250	10	10	1	0	1	10
c2_qb_fixed8_corr	36096	200	8	8	1	0	1	7
c2_qb_perseq_corr	34432	200	8	8	1	0	1	8
c5_union_rkl	40832	156	6	6	1	0	1	6
c5_union_fkl	50176	209	8	8	1	0	1	8
n2_corr	48128	250	10	10	1	0	1	8
b1_skew_kl_corr	33792	200	8	8	1	0	1	7
b2_forward_kl_corr	39936	200	8	8	1	0	1	8
c3_intersection_corr	27648	200	8	8	1	0	1	7
d2_selectkd_corr	30464	200	8	8	1	0	1	6
d3_teachability_corr	35456	200	8	8	1	0	1	6
e2_set_coverage_a0_corr	27648	148	5	5	1	0	1	5
f2_hard_clip_corr	32896	200	8	8	1	0	1	7
f3_power_corr	28800	200	8	8	1	0	1	7
g6_seqmean_corr	25856	140	5	5	1	0	1	5
g1_verified_only_corr	37504	200	8	8	1	0	1	8
h1_first_segment_corr	29696	200	8	8	1	0	1	8
h2_last_segment_corr	24320	113	4	4	1	0	1	4
h3_random_segment_corr	35328	200	8	8	1	0	1	8
h4_random_scatter_corr	30464	200	8	8	1	0	1	8
a1_gkd_mix0.5_n0	25984	200	8	8	1	0	1	8
a3_offpolicy_n0	27648	200	8	8	1	0	1	7
a4_dagger_anneal_n0	27648	200	8	8	1	0	1	7
a5_aggrevate_n0	29056	200	8	8	1	0	1	8
