arm	node
vanilla_te	w0
c2_qb_fixed8_corr	w1
c2_qb_perseq_corr	w2
c5_union_rkl	w0
c5_union_fkl	w0
n2_corr	w0
b1_skew_kl_corr	w0
b2_forward_kl_corr	w0
c3_intersection_corr	w2
d2_selectkd_corr	w2
d3_teachability_corr	w3
e2_set_coverage_a0_corr	w2
f2_hard_clip_corr	w3
f3_power_corr	w3
g6_seqmean_corr	w2
g1_verified_only_corr	w1
h1_first_segment_corr	w3
h2_last_segment_corr	w2
h3_random_segment_corr	w3
h4_random_scatter_corr	w3
a1_gkd_mix0.5_n0	w1
a3_offpolicy_n0	w1
a4_dagger_anneal_n0	w1
a5_aggrevate_n0	w1
