step	actor/distillation/abs_loss	actor/distillation/entropy_gap_abs	actor/distillation/entropy_student	actor/distillation/entropy_teacher_topk	actor/distillation/loss	actor/distillation/loss_absmean	actor/distillation/loss_absmean_pos0_100	actor/distillation/loss_absmean_pos100_500	actor/distillation/loss_absmean_pos2k_up	actor/distillation/loss_absmean_pos500_2k	actor/distillation/loss_max	actor/distillation/loss_min	actor/distillation/loss_p0_1	actor/distillation/loss_p1	actor/distillation/loss_p25	actor/distillation/loss_p5	actor/distillation/loss_p50	actor/distillation/loss_p75	actor/distillation/loss_p95	actor/distillation/loss_p99	actor/distillation/loss_p99_9	actor/distillation/overlap_ratio	actor/distillation/overlap_student_mass	actor/distillation/overlap_teacher_mass	actor/distillation/overlap_token_advantage	actor/distillation/pi_tail_k16	actor/distillation/pi_tail_k32	actor/distillation/pi_tail_k8	actor/distillation/rank_kendall_tau	actor/distillation/student_mass	actor/distillation/teacher_mass	actor/distillation/un_budget	actor/distillation/un_dup_frac	actor/distillation/un_p_eot	actor/distillation/un_p_imend	actor/distillation/un_q_eot	actor/distillation/un_q_imend	actor/entropy	actor/grad_norm	actor/loss	actor/lr	actor/perf/cpu_memory_used_gb	actor/perf/max_memory_allocated_gb	actor/perf/max_memory_reserved_gb	critic/advantages/max	critic/advantages/mean	critic/advantages/min	critic/returns/max	critic/returns/mean	critic/returns/min	critic/rewards/max	critic/rewards/mean	critic/rewards/min	critic/score/max	critic/score/mean	critic/score/min	global_seqlen/balanced_max	global_seqlen/balanced_min	global_seqlen/max	global_seqlen/mean	global_seqlen/min	global_seqlen/minmax_diff	num_turns/max	num_turns/mean	num_turns/min	perf/mfu/actor	perf/mfu/actor_infer	perf/throughput	perf/time_per_step	perf/total_num_tokens	prompt_length/clip_ratio	prompt_length/max	prompt_length/mean	prompt_length/min	response/aborted_ratio	response_length/clip_ratio	response_length/max	response_length/mean	response_length/min	response_length_non_aborted/clip_ratio	response_length_non_aborted/max	response_length_non_aborted/mean	response_length_non_aborted/min	rollout_corr/chi2_seq	rollout_corr/chi2_token	rollout_corr/k3_kl	rollout_corr/kl	rollout_corr/log_ppl_abs_diff	rollout_corr/log_ppl_diff	rollout_corr/log_ppl_diff_max	rollout_corr/log_ppl_diff_min	rollout_corr/ppl_ratio	rollout_corr/rollout_log_ppl	rollout_corr/rollout_ppl	rollout_corr/training_log_ppl	rollout_corr/training_ppl	timing_per_token_ms/adv	timing_per_token_ms/gen	timing_per_token_ms/update_actor	timing_s/adv	timing_s/agent_loop/compute_score/max	timing_s/agent_loop/compute_score/mean	timing_s/agent_loop/compute_score/min	timing_s/agent_loop/generate_sequences/max	timing_s/agent_loop/generate_sequences/mean	timing_s/agent_loop/generate_sequences/min	timing_s/agent_loop/num_preempted/max	timing_s/agent_loop/num_preempted/mean	timing_s/agent_loop/num_preempted/min	timing_s/agent_loop/slowest/compute_score	timing_s/agent_loop/slowest/generate_sequences	timing_s/agent_loop/slowest/num_preempted	timing_s/agent_loop/slowest/prompt_length	timing_s/agent_loop/slowest/response_length	timing_s/agent_loop/slowest/tool_calls	timing_s/agent_loop/tool_calls/max	timing_s/agent_loop/tool_calls/mean	timing_s/agent_loop/tool_calls/min	timing_s/gen	timing_s/old_log_prob	timing_s/reward	timing_s/save_checkpoint	timing_s/start_profile	timing_s/step	timing_s/stop_profile	timing_s/testing	timing_s/update_actor	timing_s/update_weights	training/epoch	training/global_step	training/rollout_actor_probs_pearson_corr	training/rollout_probs_diff_max	training/rollout_probs_diff_mean	training/rollout_probs_diff_std	training/rollout_probs_diff_valid	val-aux/DigitalLearningGmbH/MATH-lighteval/reward/mean@1	val-aux/num_turns/max	val-aux/num_turns/mean	val-aux/num_turns/min	val-core/DigitalLearningGmbH/MATH-lighteval/acc/mean@1
1	0.28146928247924036	1.3070201345432837	1.9374907556204841	0.6989026571838901	0.2713165260211099	0.28146928247924036	0.9330819891049311	0.44088524516421157	0.14107509134247756	0.236923151031638	31.22054672241211	1.0434734853959071e-08	0.0007542135089889913	0.001122464562478434	0.017158479622314468	0.0029293558895565532	0.07200248479449119	0.2526250438128885	1.2185662427935033	3.1755795441747	7.335610910103871	0.510199153652558	0.8374047508606544	0.8499780274354495	-0.010906889976188093	0.18231501907575876	0.1570032648742199	0.21513354561578196	0.43908472473804766	0.8429967302542466	0.8726505820567791	48.18993935218224	0.5565643998292776	0.0007221642484252627	1.0654126510510299e-08	7.820009695027095e-08	0.0002738202246282876	1.8884450197219849	4.235352516174316	0.2713165283203125	1e-06	193.65729141235352	43.004310131073	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202588	202588	202588	202588.0	202588	0	2	2.0	2	0.20811406040364772	0.15166217761475617	783.2542294355488	129.3245490330737	202588	0.0	516.0	122.5234375	44.0	0.0	0.03125	16384.0	1460.1953125	2.0	0.03125	16384.0	1460.1953125	2.0	4.696496963500977	0.0018728971481323242	0.000854520418215543	0.000777229608502239	0.005646129604429007	0.0012333017075434327	0.06762027740478516	-0.07242059707641602	1.0013154745101929	2.4542078971862793	102.68891906738281	2.4554409980773926	103.11280822753906	0.0004438089376421135	0.5508192370290349	0.07684175554849182	0.08991036505904049	7.008417328004725	3.2083728698735285	0.005034517962485552	81.69121362490114	14.778603570015548	7.4822981539182365	-1	-1.0	-1	0.013106571976095438	81.69121362490114	-1	85	16384	0.0	0.0	0.0	0.0	102.95086949691176	7.543672674917616	8.7546999566257e-05		0.0002621409948915243	129.3245490330737	6.939598824828863e-05		15.56721757305786	2.581114469910972	0	1	0.9998322129249573	0.12097734212875366	0.002490236656740308	0.007712388411164284	1					
2	0.39373388001695275	2.041812299285084	2.876121616922319	0.9093056726269424	0.3792934468947351	0.39373388001695275	1.0599762350320816	0.5204248856753111	0.2017229392658919	0.3227434689179063	26.276599884033203	3.4458160769190727e-09	0.0002998823477842194	0.0007876155501378435	0.050144697626819834	0.005813534790263475	0.15619327066815458	0.40701808384619653	1.5302201276645064	3.7525964751839638	8.417472928762436	0.5548956841230392	0.7431585490703583	0.7680922076106071	-0.015503918260947103	0.2850194255152019	0.24814907742256764	0.32686334871686995	0.45734507590532303	0.7518509402871132	0.8034923523664474	46.81503486633301	0.5995301753282547	0.0010925488322754973	2.0111532939015575e-08	1.189260492029387e-07	0.00034239462581808766	2.8340258598327637	5.891819477081299	0.37929344177246094	1e-06	201.10913848876953	55.710665702819824	62.65625	0.9999990463256836	0.00539480522274971	0.0	0.9999990463256836	0.00539480522274971	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	127567	127567	127567	127567.0	127567	0	2	2.0	2	0.1937010789822743	0.30394229891823016	843.7955483533719	75.59117860300466	127567	0.0	743.0	127.7265625	47.0	0.0	0.015625	16384.0	868.890625	2.0	0.015625	16384.0	868.890625	2.0	0.38691413402557373	0.002358078956604004	0.0011397189227864146	0.0011038249358534813	0.008034765720367432	0.0023657316341996193	0.10845613479614258	-0.11785125732421875	1.00253164768219	3.1404523849487305	208.8573455810547	3.142817735671997	207.84909057617188	0.0004893588627508311	0.5316793815563144	0.08087576775355956	0.06242604204453528	0.06771130603738129	0.010769038288344746	0.004361364990472794	55.436153169954196	3.369059483185083	0.12900169100612402	-1	-1.0	-1	0.013391081942245364	55.436153169954196	-1	67	16384	0.0	0.0	0.0	0.0	59.132317457930185	3.2872849410632625	7.815996650606394e-05		6.798002868890762e-05	75.59117860300466	5.996006075292826e-05		10.317079065018333	2.2480668779462576	0	2	0.9998084902763367	0.194996178150177	0.002947502536699176	0.008346726186573505	1					
3	0.3058349498762534	2.06940530326504	2.818070137443451	0.7908239063735192	0.2999753679614514	0.3058349498762534	0.9400126131681296	0.45366682809589504	0.16430294033713067	0.2888540980907587	24.578777313232422	1.2832950702090784e-08	0.00035757824026369723	0.0028195340651284194	0.04451871039614511	0.011797840573518233	0.11422665809424451	0.2881032954901457	1.195625392290262	3.088670322528252	7.734848187519954	0.5283753482195047	0.7406163284411797	0.7634577934558575	-0.010860517495669998	0.2847015790354747	0.25075394814260876	0.32075958082882255	0.4409380784401527	0.7492460516782907	0.7947153792931483	47.66031001164363	0.573115314428623	0.0007678759530580675	1.1400029224036738e-08	9.65424296820108e-08	0.00023570398018189456	2.678337574005127	5.130595684051514	0.2999753952026367	1e-06	201.7294807434082	55.710665702819824	62.7734375	0.9999990463256836	0.010527956299483776	0.0	0.9999990463256836	0.010527956299483776	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	189294	189294	189294	189294.0	189294	0	2	2.0	2	0.19805867471877875	0.3053910218732864	1025.9242438944484	92.2553498109337	189294	0.0	551.0	134.2265625	51.0	0.0	0.0078125	16384.0	1344.6328125	2.0	0.0078125	16384.0	1344.6328125	2.0	4.360783576965332	0.002126455307006836	0.001260591670870781	0.0012903662864118814	0.006670799106359482	0.004368542227894068	0.0677175521850586	-0.019584357738494873	1.0044728517532349	2.9007434844970703	216.1716766357422	2.9051120281219482	218.76507568359375	0.0005202051410599229	0.4091740724812808	0.0785920479833944	0.09847171197179705	0.040615808917209506	0.008163992734807834	0.0035884359385818243	68.03086362499744	5.961441306469169	0.1295488909818232	-1	-1.0	-1	0.012413199990987778	68.03086362499744	-1	89	16384	0.0	0.0	0.0	0.0	70.42417713697068	3.757413008948788	3.316404763609171e-05		7.117597851902246e-05	92.2553498109337	5.385198164731264e-05		14.87700313096866	2.595514312037267	0	3	0.9997880458831787	0.9920760989189148	0.002308562630787492	0.009072413668036461	1					
4	0.33127088167450647	2.6201075505126608	3.4221211184154856	0.8605956706133756	0.3330254927277565	0.33127088167450647	1.0308550596237183	0.4742081558162516	0.168048829856244	0.31731258061799134	28.445758819580078	5.888909360152184e-10	0.0020129768755623445	0.0038772652187617496	0.03966074787736447	0.008619675383008805	0.10614653583616018	0.2993704243139787	1.333485316146504	3.6126761436462402	8.748427521098744	0.5603660426356576	0.6807926527478478	0.6961752542040565	-0.01173710734160109	0.3470683954656124	0.30902383984489873	0.3876681612296538	0.4538894241506403	0.6909761266274885	0.7291706339879469	46.63642779263583	0.605111609805714	0.0008948096775301648	1.4980799954080547e-08	1.415590308407776e-07	0.000302913322560595	3.3460047245025635	5.440432071685791	0.3330254852771759	1e-06	196.33516693115234	55.710665702819824	62.7734375	0.9999990463256836	0.00107588863465935	0.0	0.9999990463256836	0.00107588863465935	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	169084	169084	169084	169084.0	169084	0	2	2.0	2	0.20341194151606937	0.29568048352434223	1192.6250102504825	70.88732776301913	169084	0.0	529.0	130.09375	47.0	0.0	0.0	13305.0	1190.875	2.0	0.0	13305.0	1190.875	2.0	2.2385730743408203	0.0023992061614990234	0.0011162870796397328	0.001035022083669901	0.006102109327912331	0.002567928982898593	0.0925593376159668	-0.04624748229980469	1.002662181854248	2.8243136405944824	231.54685974121094	2.8268818855285645	234.4474639892578	0.000542255985576999	0.341003326755268	0.07371655299149323	0.0916868110653013	0.028429974103346467	0.007229207862110343	0.0037621589144691825	49.80337734695058	5.161682958154415	0.032166247023269534	-1	-1.0	-1	0.012124522007070482	49.80337734695058	-1	250	13305	0.0	0.0	0.0	0.0	51.97981910395902	3.4440554520115256	4.9269990995526314e-05		7.174198981374502e-05	70.88732776301913	5.956203676760197e-05		12.46428964601364	2.2863487659487873	0	4	0.9998642802238464	0.11729052662849426	0.0023019337095320225	0.00732527207583189	1					
5	0.32901300267817885	2.1875852468566825	2.9709488816845875	0.8723546209601829	0.32322611700510606	0.32901300267817885	1.0418755045303931	0.4919299175962806	0.15563568452265686	0.2846160208304914	26.670970916748047	-2.4290562894435652e-09	0.0004682407098313818	0.0031550890399347944	0.04521351441284283	0.007103059472333721	0.12079663312313361	0.30093796762566155	1.3192621477736304	3.475531031520894	7.888871958622565	0.5653263399234185	0.7317584363313822	0.747621279496413	-0.013448893947777553	0.2950767675289311	0.25947445819978243	0.3355718827448212	0.4525332267467792	0.7405255620296185	0.7786699625161978	46.4510498046875	0.6109047348682697	0.0006883150339350463	1.1632339990814016e-08	1.691485541905005e-07	0.00030998643518824584	2.9526524543762207	4.170494079589844	0.32322609424591064	1e-06	195.518798828125	55.77624273300171	62.7734375	0.9999990463256836	0.011983981356024742	0.0	0.9999990463256836	0.011983981356024742	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	200505	200505	200505	200505.0	200505	0	2	2.0	2	0.20615436476204826	0.3167934542012996	1109.9547564093946	90.32124906091485	200505	0.0	975.0	141.3671875	41.0	0.0	0.0078125	16384.0	1425.078125	2.0	0.0078125	16384.0	1425.078125	2.0	0.3952062129974365	0.002053499221801758	0.0011104508303105831	0.001196732628159225	0.004594527184963226	0.0016457290621474385	0.04798126220703125	-0.03615522384643555	1.0016875267028809	2.438589572906494	129.92562866210938	2.440235137939453	130.35244750976562	0.0003480754690920857	0.3765238092430418	0.07435665125537447	0.06979087193030864	0.027485733036883175	0.006725136924615072	0.004079866921529174	65.82530833000783	6.396223778659987	0.05716380709782243	-1	-1.0	-1	0.010775358998216689	65.82530833000783	-1	129	16384	0.0	0.0	0.0	0.0	68.68170804402325	3.840989629039541	2.8835958801209927e-05		9.405403397977352e-05	90.32124906091485	8.975400123745203e-05		14.908880359958857	2.2145465760258958	0	5	0.9998347163200378	0.12235590815544128	0.0026243524625897408	0.007957080379128456	1					
6	0.27461460966836004	2.2881838334724307	3.0746757120770565	0.8300079852342606	0.2692109834169969	0.27461460966836004	0.9948977828025818	0.46923179842312546	0.16799355131190488	0.26912779804757414	27.39555549621582	-2.5436510675547197e-09	0.0008951998686830406	0.003936031265472112	0.052251063907854535	0.00780054851840278	0.12076593251549639	0.26881150882143307	0.9994670492870843	2.606762691455729	6.426301219884087	0.5267205019207561	0.7135300951845506	0.7297252925003276	-0.009328585550332825	0.31364862007595706	0.2764359114636831	0.35247616322286535	0.42969519951764273	0.7235641006161185	0.7608979554737315	47.718989428351904	0.5712815943886252	0.0005311545225113685	9.388336216285902e-09	1.2528699515260406e-07	0.00016653719387370395	2.9781653881073	4.273716449737549	0.2692109942436218	1e-06	203.91237258911133	55.77624273300171	62.7734375	0.9999990463256836	0.015894435346126556	0.0	0.9999990463256836	0.015894435346126556	0.0	1.0	0.0390625	0.0	1.0	0.0390625	0.0	264934	264934	264934	264934.0	264934	0	2	2.0	2	0.21415344659891533	0.3257359317913366	1114.4412116657302	118.86405367404222	264934	0.0	756.0	125.8203125	53.0	0.0	0.03125	16384.0	1943.9765625	2.0	0.03125	16384.0	1943.9765625	2.0	-0.1604527235031128	0.0021790266036987305	0.000995031325146556	0.0009013058734126389	0.004961972590535879	0.0019891869742423296	0.1048884391784668	-0.05991554260253906	1.0020751953125	2.78625750541687	148.8292236328125	2.7882463932037354	148.68695068359375	0.0004650274747055777	0.36626028162302743	0.07464646420247024	0.12320158898364753	0.021276450948789716	0.006832405815657694	0.004074854077771306	85.74542015697807	9.857365404624943	0.07958179200068116	-1	-1.0	-1	0.013506572926416993	85.74542015697807	-1	97	16384	0.0	0.0	0.0	0.0	91.13617961597629	4.997251898050308	6.717396900057793e-05		5.454104393720627e-05	118.86405367404222	5.2928109653294086e-05		19.77638634701725	2.295133240055293	0	6	0.999884307384491	0.11527407169342041	0.001954911509528756	0.006593652535229921	1					
7	0.26343828986088436	1.4512545804182688	2.0099811692722143	0.6298906137856345	0.26558438083156943	0.26343828986088436	0.9765751620133718	0.4760256220897039	0.13010226593663296	0.25136925602952637	27.100605010986328	-3.150481120428594e-08	5.190823419359466e-05	0.0002697042210987396	0.017455719809125487	0.0031968863954110324	0.057448774411265426	0.20332151364030626	1.1375454217350731	3.5694498221079507	7.997908735275269	0.5157563785711924	0.8221552491188049	0.8324721614519756	-0.010868509269009034	0.1979957827386291	0.17186369317738961	0.22795837988766532	0.435969748099645	0.8281363169352214	0.8547479589780171	47.971745300292966	0.5633829931418101	0.0005489168029119659	9.369587143185735e-09	5.996848632348432e-08	0.00018531000399282978	2.082885265350342	3.461585521697998	0.26558437943458557	1e-06	194.03776168823242	56.47563600540161	63.5703125	0.9999990463256836	0.004862021654844284	0.0	0.9999990463256836	0.004862021654844284	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	238816	238816	238816	238816.0	238816	0	2	2.0	2	0.21187799479239156	0.3211147839460285	1095.0197318765279	109.04643681203015	238816	0.0	531.0	122.328125	54.0	0.0	0.0234375	16384.0	1743.421875	3.0	0.0234375	16384.0	1743.421875	3.0	0.6901565790176392	0.0018794536590576172	0.0008478311938233674	0.0007584379054605961	0.003780336119234562	0.001393883372657001	0.03696489334106445	-0.04329967498779297	1.0014283657073975	2.206298351287842	87.98544311523438	2.2076923847198486	88.02413940429688	0.00044643076266928693	0.37486864125444985	0.07491850923756121	0.10661480901762843	0.02807258698157966	0.006562576849319157	0.003728242008946836	79.11745776294265	8.429150010982994	0.10451996407937258	-1	-1.0	-1	0.011955858091823757	79.11745776294265	-1	112	16384	0.0	0.0	0.0	0.0	83.65493624506053	4.555133188026957	3.250990994274616e-05		5.504197906702757e-05	109.04643681203015	8.10499768704176e-05		17.89173870207742	2.289192605065182	0	7	0.9998529553413391	0.1725819706916809	0.002152648288756609	0.007559323683381081	1					
8	0.3441954789062341	2.157990792145332	2.9305507577955723	0.8551367359856764	0.34613327868282795	0.3441954789062341	0.9910663366317749	0.5281955624620119	0.20108919645038745	0.28749322520646575	28.50821304321289	-5.3964129165251506e-08	0.0008765459107567727	0.003366029124639643	0.03813981103060845	0.011140397096861912	0.106339078124923	0.3289652362776299	1.4034045313795407	3.6452196687459946	8.469149519999823	0.5680539061625799	0.7375515773892403	0.7575539201498032	-0.013761832223584255	0.2889693328955521	0.25433614710345864	0.3284216998144984	0.4610826422770818	0.7456638465325037	0.7888631050785383	46.33551470438639	0.6145151654879252	0.000719705267935448	1.202875078709642e-08	7.260804168324198e-08	0.000250280084098146	2.939199686050415	4.631165504455566	0.346133291721344	1e-06	199.70537567138672	56.681429862976074	63.708984375	0.9999990463256836	0.007300626952201128	0.0	0.9999990463256836	0.007300626952201128	0.0	1.0	0.015625	0.0	1.0	0.015625	0.0	188039	188039	188039	188039.0	188039	0	2	2.0	2	0.19969030654735107	0.3020580084326651	1070.7117842943283	87.81027852604166	188039	0.0	756.0	130.34375	44.0	0.0	0.0078125	16384.0	1338.7109375	2.0	0.0078125	16384.0	1338.7109375	2.0	0.20202231407165527	0.002295255661010742	0.0011392793385311961	0.0011375457979738712	0.005234507378190756	0.002205527387559414	0.05738115310668945	-0.023614883422851562	1.0022536516189575	2.5701904296875	125.4825439453125	2.5723958015441895	126.48466491699219	0.0003733823938581944	0.38980783121576923	0.07709152139715278	0.07021045195870101	0.030540868057869375	0.007290963206287415	0.0036412000190466642	64.34432823793031	5.822813950441741	0.11381882301066071	-1	-1.0	-1	0.0135810780338943	64.34432823793031	-1	155	16384	0.0	0.0	0.0	0.0	66.79552091797814	3.7526914830086753	2.683803904801607e-05		7.75019871070981e-05	87.81027852604166	6.37369230389595e-05		14.49621259199921	2.184319408959709	0	8	0.9998267889022827	0.1948675513267517	0.00266808713786304	0.008271726779639721	1					
9	0.25996026158099994	1.9025506462203339	2.672585601346024	0.846947357582394	0.25513069141015876	0.25996026158099994	0.9172429125756025	0.410686207197917	0.14476214870228432	0.24342582285559425	27.33309555053711	-6.877310720909691e-09	0.0014957034951897559	0.0030419363051616224	0.02972479336555504	0.007614000302851309	0.08572589070051133	0.24908095518670356	1.0613562357223902	2.628667951716731	6.4227219093590975	0.5616850641866525	0.7669881222148737	0.783019382506609	-0.01125029345363752	0.2621005456700611	0.22512253395446655	0.3034277656515769	0.4707301917175452	0.7748774662613869	0.8083833095928034	46.546568075815834	0.6079197513560454	0.00040414986384954926	5.459105712618539e-09	9.401215784086735e-08	0.00018559553079455782	2.723296880722046	3.0335724353790283	0.25513067841529846	1e-06	195.93336486816406	56.681429862976074	63.708984375	0.9999990463256836	0.0007857598830014467	0.0	0.9999990463256836	0.0007857598830014467	0.0	1.0	0.0078125	0.0	1.0	0.0078125	0.0	372495	372495	372495	372495.0	372495	0	2	2.0	2	0.21856310829428635	0.3313850431121162	1142.5652193974202	163.00820017803926	372495	0.0	538.0	136.1328125	51.0	0.0	0.0546875	16384.0	2773.984375	3.0	0.0546875	16384.0	2773.984375	3.0	2.0324203968048096	0.002041339874267578	0.000982689787633717	0.0009468916687183082	0.002243997994810343	0.0009877983247861266	0.028002262115478516	-0.03847169876098633	1.0010013580322266	2.0295820236206055	106.55339813232422	2.030569553375244	107.31156921386719	0.00026600962699337307	0.3524340212380113	0.07522651954260633	0.0990872560068965	0.03724994289223105	0.007013774271399598	0.004103570012375712	116.83053512801416	17.68818851762353	0.10246387298684567	-1	-1.0	-1	0.012536735041067004	116.83053512801416	-1	157	16384	0.0	0.0	0.0	0.0	125.13874792098068	6.972295089974068	4.041404463350773e-05		7.890292908996344e-05	163.00820017803926	5.959300324320793e-05		28.02150239702314	2.2347470209933817	0	9	0.9998682141304016	0.12245899438858032	0.002212783321738243	0.007392892614006996	1					
10	0.22423514499045585	1.7703586896759984	2.424094426627878	0.7084921999713001	0.21900189174630214	0.22423514499045585	0.8487800580003987	0.4287188586212047	0.12162716935247021	0.23919544500582243	29.669456481933594	-4.857808733049751e-08	0.0006563226017091525	0.002485365798644006	0.023965085467194593	0.008900950767581337	0.06363503811561437	0.20881221812147566	0.9215945639323605	2.36796507421557	5.876080590745677	0.5065789507782977	0.7770162004491558	0.7886388677617778	-0.008381524012530344	0.24445021587282256	0.2138618373694202	0.27612259924543375	0.4185810134462688	0.786138170439264	0.8152329001737677	48.33500124060589	0.5520312138225721	0.0003378381223465903	6.198135374511854e-09	1.1793103730035712e-07	0.0001818468283051081	2.432230234146118	2.6007025241851807	0.2190018892288208	1e-06	197.18838500976562	56.681429862976074	63.708984375	0.9999990463256836	0.007952515967190266	0.0	0.9999990463256836	0.007952515967190266	0.0	1.0	0.0234375	0.0	1.0	0.0234375	0.0	369035	369035	369035	369035.0	369035	0	2	2.0	2	0.21726396707308102	0.33231900642253437	1100.2026217024325	167.7122889549937	369035	0.0	425.0	130.421875	46.0	0.0	0.078125	16384.0	2752.6640625	2.0	0.078125	16384.0	2752.6640625	2.0	0.4896695613861084	0.0016701221466064453	0.0008466998115181923	0.000857423641718924	0.0032644057646393776	0.0023100185208022594	0.04850959777832031	-0.011649370193481445	1.0023448467254639	2.0322341918945312	95.64802551269531	2.0345442295074463	97.1971435546875	0.0002689339329142593	0.365670684558514	0.07611982254797628	0.09924603393301368	0.022045881021767855	0.0069617120507246	0.0039500059792771935	117.19831669994164	17.55740166038504	0.09702591598033905	-1	-1.0	-1	0.019165461999364197	117.19831669994164	-1	96	16384	0.0	0.0	0.0	0.0	128.84077466803137	7.611866845982149	6.793707143515348e-05		6.58910721540451e-05	167.7122889549937	5.784898530691862e-05		28.090878713992424	2.4417180620366707	0	10	0.9998902678489685	0.38127100467681885	0.001921693328768015	0.006914312951266766	1					
