arm	target_steps	ckpt_max_step	n_checkpoints	launch_max_step	n_steps_logged	reached_target	n_launch_files
vanilla_te	250	250	6	250	250	1	11
c2_qb_fixed8_corr	200	200	5	199	199	1	11
c2_qb_perseq_corr	200	200	5	200	200	1	9
c5_union_rkl	250	150	2	156	156	0	20
c5_union_fkl	250	200	2	209	209	0	19
n2_corr	250	250	6	250	248	1	15
b1_skew_kl_corr	200	200	5	200	199	1	7
b2_forward_kl_corr	200	200	5	200	200	1	10
c3_intersection_corr	200	200	5	200	199	1	6
d2_selectkd_corr	200	200	5	200	198	1	9
d3_teachability_corr	200	200	5	199	198	1	9
e2_set_coverage_a0_corr	200	125	4	148	148	0	10
f2_hard_clip_corr	200	200	5	200	199	1	8
f3_power_corr	200	200	5	199	198	1	5
g6_seqmean_corr	200	125	4	140	140	0	8
g1_verified_only_corr	200	200	6	200	200	1	9
h1_first_segment_corr	200	200	5	200	200	1	4
h2_last_segment_corr	200	100	3	113	113	0	7
h3_random_segment_corr	200	200	6	200	200	1	8
h4_random_scatter_corr	200	200	6	200	200	1	7
a1_gkd_mix0.5_n0	200	200	3	200	200	1	3
a3_offpolicy_n0	200	200	3	200	199	1	3
a4_dagger_anneal_n0	200	200	5	200	199	1	3
a5_aggrevate_n0	200	200	7	200	200	1	3
