arm	step	n_rows	tch_lp_nan_mean	tch_lp_sum_mean	tch_lp_last_mean
vanilla_te	25	128	0	-1215.13	-24.868
vanilla_te	50	128	0	-5218.61	-12.5463
vanilla_te	75	128	0	-7295.82	-44.14
vanilla_te	100	128	0	-7661.79	-63.6369
vanilla_te	125	128	0	-7293.29	-65.4627
vanilla_te	150	128	0	-7394.2	-66.6196
vanilla_te	175	128	0	-7439.76	-67.9857
vanilla_te	200	128	0	-7057.11	-62.7422
vanilla_te	225	128	0	-7644.54	-59.5414
vanilla_te	250	128	0	-7876.44	-57.4311
c2_qb_fixed8_corr	25	128	0	-5518.65	-21.0876
c2_qb_fixed8_corr	50	128	0	-21938.5	-30.8404
c2_qb_fixed8_corr	75	128	0	-28705.6	-41.7169
c2_qb_fixed8_corr	100	128	0	-28679.6	-45.7003
c2_qb_fixed8_corr	125	128	0	-104151	-12.4793
c2_qb_fixed8_corr	150	128	0	-120093	-10.7274
c2_qb_fixed8_corr	175	128	0	-117791	-11.685
c2_qb_fixed8_corr	200	128	0	-109574	-12.4312
c2_qb_perseq_corr	25	128	0	-3769.09	-23.0131
c2_qb_perseq_corr	50	128	0	-7084.39	-24.4475
c2_qb_perseq_corr	75	128	0	-7498.07	-60.4526
c2_qb_perseq_corr	100	128	0	-8008.06	-65.0295
c2_qb_perseq_corr	125	128	0	-7832.95	-66.0607
c2_qb_perseq_corr	150	128	0	-8110.33	-64.0757
c2_qb_perseq_corr	175	128	0	-8116.22	-58.1193
c2_qb_perseq_corr	200	128	0	-7410.79	-43.5359
c5_union_rkl	25	128	0	-4487.97	-24.7202
c5_union_rkl	50	128	0	-6120.15	-20.3476
c5_union_rkl	75	128	0	-7024.02	-53.055
c5_union_rkl	100	128	0	-10332.6	-0.00681914
c5_union_rkl	125	128	0	-9015.38	-0.0109805
c5_union_rkl	150	128	0	-8931.81	-0.16228
c5_union_fkl	25	128	0	-3342.12	-21.3604
c5_union_fkl	50	128	0	-19934.9	-30.1393
c5_union_fkl	75	128	0	-20699.1	-62.4281
