run	node	teacher	student	method	start_cst	end_cst	wall_h	rc	steps_logged	last_step	mean_s_per_step	latest_ckpt	stop_contract	wandb_id	val50	val100	val150	val200	val250
t32_s1.7_ours_seed0	w0	32	1.7	ours	2026-09-23_00:02:52	2026-09-23_06:05:10	6.04	0	250	250	77.4	250	off	s9f0mn9w	0.612	0.614	0.626	0.646	0.638
t32_s1.7_vanilla_seed0	w1	32	1.7	vanilla	2026-09-22_22:21:35	2026-09-23_05:07:19	6.76	0	250	250	89.6	250	off	za6tbsa6	0.578	0.614	0.648	0.636	0.64
t32_s4_ours_seed0	w1	32	4	ours	2026-09-21_15:22:11	2026-09-21_22:48:52	7.44	0	250	250	99.7	250	off	wgsogcap	0.752	0.76	0.752	0.748	0.754
t32_s4_vanilla_seed0	w0	32	4	vanilla	2026-09-21_15:25:38	2026-09-22_00:45:18	9.33	0	250	250	127.3	250	off	0ghs8mb4	0.756	0.734	0.75	0.762	0.754
t32_s8_ours_seed0	w3	32	8	ours	2026-09-21_15:25:19	2026-09-22_01:47:34	10.37	0	250	250	140.4	250	off	kwemihsw	0.78	0.776	0.776	0.772	0.776
t32_s8_vanilla_seed0	w2	32	8	vanilla	2026-09-21_15:24:29	2026-09-22_03:47:47	12.39	0	250	250	169.8	250	off	2d6kmure	0.796	0.762	0.762	0.762	0.778
t4_s1.7_ours_seed0	w3	4	1.7	ours	2026-09-23_06:40:07	2026-09-23_13:38:18	6.97	0	250	250	91.7	250	off	tfvdpzh2	0.636	0.616	0.628	0.65	0.642
t4_s1.7_vanilla_seed0	w2	4	1.7	vanilla	2026-09-23_09:15:04	2026-09-23_18:23:52	9.15	0	250	250	124.2	250	off	vgeo2iay	0.626	0.632	0.634	0.646	0.674
t4_s4_ours_seed0	w1	4	4	ours	2026-09-22_11:14:33	2026-09-22_22:20:00	11.09	0	250	250	152.6	250	off	pxj2g112	0.754	0.774	0.766	0.766	0.776
t4_s4_vanilla_seed0	w0	4	4	vanilla	2026-09-22_11:52:44	2026-09-23_00:01:16	12.14	0	250	250	168.1	250	off	csk2p4sw	0.764	0.774	0.776	0.774	0.784
t4_s8_ours_seed0	w3	4	8	ours	2026-09-22_16:36:21	2026-09-23_06:38:32	14.04	0	250	250	191.6	250	off	5q24c4c3	0.772	0.774	0.762	0.77	0.762
t4_s8_vanilla_seed0	w2	4	8	vanilla	2026-09-22_17:13:27	2026-09-23_09:13:29	16.0	0	250	250	220.8	250	off	22jw14kx	0.792	0.762	0.78	0.772	0.782
t8_s1.7_ours_seed0	w1	8	1.7	ours	2026-09-23_05:08:54	2026-09-23_11:38:42	6.5	0	250	250	85.7	250	off	644wmyty	0.64	0.634	0.644	0.674	0.642
t8_s1.7_vanilla_seed0	w0	8	1.7	vanilla	2026-09-23_06:06:45	2026-09-23_14:31:08	8.41	0	250	250	114.1	250	off	yjma6vr6	0.614	0.62	0.656	0.644	0.656
t8_s4_ours_seed0	w0	8	4	ours	2026-09-22_00:46:53	2026-09-22_11:51:09	11.07	0	250	250	151.7	250	off	3c2ja4jv	0.752	0.76	0.764	0.772	0.77
t8_s4_vanilla_seed0	w1	8	4	vanilla	2026-09-21_22:50:27	2026-09-22_11:12:58	12.38	0	250	250	171.3	250	off	12wq20oo	0.772	0.748	0.752	0.752	0.774
t8_s8_ours_seed0	w2	8	8	ours	2026-09-22_03:49:22	2026-09-22_17:11:52	13.38	0	250	250	183.4	250	off	bg86bh18	0.792	0.766	0.778	0.788	0.78
t8_s8_vanilla_seed0	w3	8	8	vanilla	2026-09-22_01:49:10	2026-09-22_16:34:46	14.76	0	250	250	203.8	250	off	ju79uss0	0.79	0.776	0.774	0.784	0.79
